Date	Open	High	Low	Close	Volume
20130923	52.07	52.47	51.62	51.80	3183400
20130920	51.87	52.96	51.68	52.31	12323000
20130919	52.05	52.40	51.58	51.87	7125600
20130918	51.68	52.67	51.06	52.58	15267900
20130917	48.19	48.49	47.92	48.14	6791600
20130916	48.17	48.70	47.97	48.14	4474800
20130913	47.66	47.96	47.64	47.76	2571600
20130912	48.07	48.09	47.56	47.64	3024100
20130911	48.00	48.33	47.95	48.20	2625100
20130910	47.62	48.06	47.51	48.02	2831100
20130909	47.11	47.27	46.99	47.25	1931700
20130906	46.89	47.30	46.26	46.87	3140900
20130905	46.88	47.34	46.68	46.73	2379800
20130904	45.76	47.17	45.76	46.93	5402200
20130903	46.21	46.57	45.70	45.88	1955500
20130830	45.88	46.11	45.57	45.75	2211500
20130829	45.50	46.14	45.35	45.93	1738900
20130828	45.58	45.91	45.49	45.53	1971500
20130827	45.55	45.88	45.27	45.50	2287600
20130826	46.25	46.61	46.01	46.06	2590500
20130823	45.85	45.88	45.41	45.77	2410900
20130822	45.10	45.71	45.09	45.68	1699600
20130821	45.01	45.51	44.80	45.14	2515500
20130820	44.77	45.45	44.70	45.07	2213900
20130819	45.44	45.52	44.88	44.89	2185800
20130816	45.94	45.95	45.30	45.40	2829200
20130815	46.37	46.39	45.70	45.87	2616800
20130814	47.14	47.14	46.68	46.84	2115100
20130813	47.37	47.41	46.92	47.14	1960300
20130812	46.87	47.33	46.85	47.20	1807900
20130809	47.38	47.77	47.09	47.18	1891300
20130808	47.32	47.66	47.03	47.51	2974200
20130807	47.17	47.48	46.83	47.10	2396700
20130806	47.55	47.85	47.37	47.39	1642800
20130805	47.45	47.84	47.35	47.63	2172200
20130802	47.38	47.82	47.13	47.45	3761000
20130801	47.62	47.82	47.41	47.70	3497600
20130731	47.50	47.71	47.18	47.28	3813500
20130730	47.19	47.50	47.12	47.36	2758000
20130729	47.51	47.77	47.11	47.17	2352400
20130726	47.77	47.86	47.40	47.64	2918000
20130725	47.80	47.96	47.45	47.79	2242800
20130724	48.38	48.58	47.65	47.80	2407400
20130723	48.35	48.45	47.95	48.07	1708600
20130722	48.52	48.52	47.92	48.28	1782900
20130719	48.26	48.47	47.93	48.07	2764000
20130718	48.04	48.52	48.01	48.19	2641600
20130717	48.17	48.40	47.78	48.04	3135800
20130716	48.05	48.13	47.36	47.49	2473100
20130715	48.25	48.46	48.10	48.12	2122800
20130712	48.35	48.63	48.08	48.39	4135700
20130711	47.62	48.00	47.50	47.99	3293500
20130710	47.09	47.33	46.64	47.25	2684700
20130709	46.76	47.31	46.73	47.26	2578900
20130708	47.03	47.49	46.44	46.63	2813100
20130705	46.69	47.10	46.55	47.00	1614600
20130703	45.71	46.82	45.66	46.42	1597300
20130702	46.00	46.48	45.72	46.03	3025100
20130701	45.23	47.19	44.88	46.24	6341400
20130628	45.99	45.99	45.39	45.56	4052600
20130627	45.90	46.27	45.59	45.93	2916500
20130626	44.95	45.92	44.90	45.68	5356400
20130625	44.04	44.44	43.46	44.37	3366300
20130624	44.34	44.60	43.37	43.60	4492900
20130621	44.92	45.00	44.23	44.77	6294400
20130620	45.28	45.29	44.45	44.90	5488700
20130619	46.43	46.44	45.35	45.78	12566000
20130618	43.55	44.20	43.22	43.36	5433900
20130617	43.22	43.76	42.97	43.39	2677100
20130614	43.33	43.57	42.70	42.84	2320100
20130613	42.74	43.36	42.39	43.30	2002400
20130612	43.31	43.46	42.61	42.72	2124500
20130611	43.60	43.85	43.10	43.12	2487100
20130610	44.30	44.34	43.84	44.09	1833900
20130607	43.86	44.41	43.66	44.12	2895300
20130606	43.84	44.05	43.26	43.57	3760900
20130605	44.39	44.58	43.81	43.84	3385600
20130604	43.67	44.80	43.53	44.39	5249400
20130603	42.98	43.48	42.76	43.46	2884800
20130531	42.92	43.55	42.66	42.91	3133200
20130530	42.65	43.38	42.50	43.19	2755500
20130529	42.75	42.87	42.39	42.60	3280900
20130528	42.78	43.13	42.65	42.91	2655900
20130524	42.32	42.53	41.91	42.43	3766200
20130523	42.66	43.14	42.57	42.77	3339700
20130522	44.12	44.31	42.95	43.17	3026400
20130521	44.21	44.48	43.89	44.02	1828200
20130520	44.55	44.68	44.15	44.29	1491100
20130517	44.60	44.76	44.33	44.61	3688200
20130516	44.96	45.34	44.48	44.56	2609100
20130515	44.06	45.11	43.95	45.07	3646000
20130514	43.70	44.10	43.60	44.04	4305000
20130513	43.98	44.01	43.49	43.61	2768000
20130510	44.12	44.20	43.75	44.02	4571200
20130509	45.22	45.25	43.47	43.97	9319000
20130508	45.51	45.64	45.16	45.32	3318900
20130507	46.46	46.68	45.29	45.60	6863000
20130506	47.00	47.14	46.48	46.49	3078200
20130503	46.00	47.17	45.82	47.01	4226500
20130502	44.65	45.88	44.63	45.69	2738500
20130501	45.14	45.73	44.61	44.71	3817600
20130430	44.76	45.15	44.55	45.08	4313200
20130429	44.89	45.59	44.82	45.06	3553200
20130426	44.84	45.18	44.78	44.91	2300100
20130425	44.75	45.21	44.56	45.05	2131900
20130424	44.91	45.05	44.52	44.67	2223500
20130423	44.84	45.36	44.44	44.87	2163800
20130422	45.00	45.20	44.33	44.53	2026400
20130419	44.60	44.81	44.31	44.74	2746900
20130418	45.18	45.20	44.34	44.46	2995900
20130417	44.86	45.17	44.51	44.90	3421200
20130416	44.77	45.35	44.77	45.28	2226500
20130415	44.81	45.46	44.59	44.60	3553100
20130412	45.15	45.16	44.74	45.03	2817700
20130411	45.04	45.53	44.80	45.21	5896300
20130410	44.42	45.40	44.33	44.70	5795400
20130409	43.71	44.26	43.34	44.17	2529400
20130408	43.27	43.80	43.13	43.79	2814100
20130405	43.42	43.86	43.21	43.38	4307900
20130404	43.74	44.25	43.44	44.21	5109900
20130403	43.78	43.84	43.49	43.70	5043100
20130402	43.50	43.89	43.36	43.85	3371600
20130401	43.36	43.78	43.23	43.38	3398000
20130328	42.54	43.59	42.42	43.52	4075200
20130327	42.60	42.88	42.38	42.66	1707000
20130326	42.66	42.95	42.46	42.75	2125400
20130325	42.90	43.42	42.41	42.49	5296600
20130322	42.17	43.23	42.11	42.97	5619500
20130321	41.99	42.63	41.90	42.18	5659400
20130320	42.70	43.23	41.99	42.46	10733400
20130319	41.10	41.37	40.49	40.75	4767400
20130318	41.08	41.48	40.21	41.06	3311300
20130315	41.45	41.79	41.32	41.38	5424200
20130314	41.82	41.93	41.44	41.62	2762900
20130313	41.50	41.81	41.30	41.59	2892500
20130312	41.53	41.53	41.15	41.40	3454800
20130311	41.12	41.54	40.96	41.48	4632400
20130308	41.75	41.91	41.32	41.50	3330300
20130307	41.40	41.59	41.20	41.50	2678600
20130306	41.47	41.77	41.13	41.29	2835600
20130305	40.76	41.49	40.68	41.46	4236600
20130304	39.74	40.47	39.45	40.46	2423600
20130301	39.30	39.88	38.96	39.83	2328200
20130228	39.54	39.94	39.29	39.31	3637600
20130227	38.32	39.75	38.10	39.60	5285300
20130226	38.14	38.66	38.09	38.59	2925000
20130225	38.66	39.09	38.10	38.11	2738700
20130222	38.54	38.87	38.37	38.55	2835500
20130221	38.82	38.82	38.30	38.34	2872700
20130220	39.05	39.28	38.75	38.77	3129600
20130219	38.58	39.00	38.52	38.99	2056500
20130215	38.51	38.76	38.38	38.63	2367900
20130214	38.70	38.92	38.30	38.61	4929700
20130213	38.90	39.15	38.67	38.81	2491000
20130212	38.55	39.13	38.12	38.89	3279500
20130211	38.99	39.05	38.53	38.64	2333800
20130208	38.31	39.45	38.15	39.12	5104600
20130207	38.26	38.39	37.66	38.07	3110300
20130206	38.36	38.65	38.26	38.40	2567800
20130205	38.20	38.57	38.01	38.51	2355600
20130204	38.19	38.44	37.82	38.10	2928000
20130201	38.20	38.48	37.91	38.34	2416100
20130131	38.00	38.23	37.68	37.83	3291900
20130130	38.50	38.51	37.88	37.94	2693600
20130129	38.11	38.56	37.81	38.52	2935900
