Date	Open	High	Low	Close	Volume
20130923	48.09	48.23	47.44	47.56	1543000
20130920	48.39	48.64	47.93	47.99	3518300
20130919	48.73	48.75	48.24	48.38	1683800
20130918	48.43	48.54	47.96	48.50	1842300
20130917	48.35	48.55	48.25	48.49	1089200
20130916	48.57	48.62	48.05	48.30	950500
20130913	48.01	48.14	47.60	47.95	754300
20130912	48.27	48.38	47.86	47.96	1276700
20130911	47.62	48.29	47.60	48.24	1710400
20130910	47.73	47.95	47.52	47.88	1686200
20130909	47.24	47.46	47.00	47.30	1011700
20130906	47.43	47.55	46.70	47.04	1253200
20130905	47.51	47.68	47.21	47.29	1705300
20130904	46.60	47.66	46.57	47.45	1555900
20130903	46.97	47.38	46.55	46.66	1808700
20130830	46.49	47.09	45.99	46.28	1441000
20130829	46.05	46.77	45.93	46.49	1064400
20130828	46.01	46.37	45.75	46.17	1825700
20130827	46.81	46.91	46.04	46.16	2064300
20130826	47.26	47.63	47.14	47.22	1302200
20130823	47.34	47.56	46.91	47.33	1770100
20130822	47.00	47.59	46.84	47.24	1154300
20130821	46.65	47.29	46.42	46.95	4024900
20130820	47.84	48.23	47.71	47.85	2313400
20130819	48.35	48.57	47.78	47.78	1424800
20130816	47.77	48.51	47.77	48.30	1333700
20130815	48.46	48.48	47.80	47.83	1385400
20130814	49.40	49.40	48.87	48.88	914300
20130813	49.40	49.69	48.83	49.58	1000600
20130812	48.92	49.55	48.89	49.41	1374000
20130809	49.07	49.23	48.76	49.00	1187900
20130808	49.52	49.61	48.79	49.10	836500
20130807	49.45	49.45	48.82	49.15	1114500
20130806	49.54	49.65	49.25	49.42	1087200
20130805	49.74	49.79	49.47	49.58	801400
20130802	49.73	49.88	49.26	49.87	1384100
20130801	49.57	50.00	49.57	49.94	1448500
20130731	49.14	49.67	48.98	49.38	2615800
20130730	48.83	49.02	48.64	48.93	1250700
20130729	48.52	48.71	48.21	48.50	1132100
20130726	48.34	48.56	48.05	48.56	1439300
20130725	48.11	48.79	48.04	48.75	1601500
20130724	48.73	48.78	47.96	48.23	2520900
20130723	48.52	48.83	48.18	48.38	3267200
20130722	48.49	48.49	47.76	47.94	2275600
20130719	48.40	48.40	47.84	47.98	2554400
20130718	48.79	48.83	47.95	48.34	3021700
20130717	48.57	48.93	48.48	48.66	2189600
20130716	48.47	48.64	48.28	48.52	1201100
20130715	48.27	48.53	48.12	48.40	1594900
