Date	Open	High	Low	Close	Volume
20130923	40.57	41.14	40.35	40.76	3129800
20130920	40.96	41.13	40.68	41.00	3318400
20130919	40.61	41.19	40.42	40.94	4134700
20130918	39.50	40.68	39.41	40.62	4679600
20130917	39.09	39.38	38.89	39.31	2514400
20130916	38.55	39.11	38.55	39.07	4699200
20130913	38.06	38.33	38.00	38.18	1970900
20130912	38.26	38.44	37.84	37.88	2063000
20130911	38.03	38.34	37.78	38.31	3108300
20130910	37.89	38.15	37.87	38.08	2078800
20130909	37.18	37.83	37.14	37.70	1867300
20130906	37.25	37.33	36.68	37.14	3792100
20130905	37.10	37.29	36.95	37.04	1969200
20130904	37.05	37.41	36.90	37.12	3630800
20130903	37.11	37.71	36.83	37.13	1981300
20130830	37.04	37.12	36.56	36.75	1859400
20130829	36.75	37.29	36.72	37.02	2335600
20130828	36.95	37.21	36.68	36.90	3196200
20130827	37.38	37.60	36.95	36.99	4619700
20130826	38.59	39.24	37.74	37.89	6671300
20130823	38.90	41.72	38.75	38.91	16680800
20130822	35.71	36.22	35.70	36.13	2767800
20130821	35.69	36.04	35.57	35.62	2227300
20130820	35.45	35.99	35.05	35.69	1893100
20130819	35.96	36.36	35.40	35.41	1759900
20130816	36.00	36.13	35.53	35.94	2803700
20130815	36.46	36.46	35.86	36.04	2470500
20130814	36.60	36.81	36.17	36.74	2123300
20130813	36.06	36.81	35.92	36.68	2446500
20130812	35.68	36.11	35.58	35.95	1549800
20130809	35.63	36.00	35.48	35.85	1845600
20130808	35.10	35.72	35.08	35.60	1856600
20130807	34.90	34.98	34.31	34.89	1847800
20130806	35.25	35.30	34.76	34.90	2054500
20130805	34.95	35.51	34.90	35.26	3241600
20130802	34.42	35.14	34.16	35.03	5530100
20130801	34.79	35.14	34.22	34.27	6839500
20130731	36.51	36.68	34.73	35.39	4517500
20130730	36.27	36.72	36.06	36.58	1604600
20130729	36.40	36.64	36.05	36.16	1363900
20130726	36.37	36.72	35.95	36.51	1296900
20130725	36.90	37.05	36.45	36.73	1036500
20130724	36.80	37.22	36.80	36.86	1828700
