Date	Open	High	Low	Close	Volume
20130923	15.87	16.07	15.83	15.99	10665700
20130920	16.07	16.24	15.89	15.93	12211300
20130919	16.28	16.43	16.08	16.09	7989400
20130918	15.89	16.23	15.82	16.21	10672500
20130917	15.95	16.00	15.87	15.90	10549000
20130916	16.08	16.16	15.91	15.95	10413600
20130913	15.94	16.02	15.76	15.91	7920600
20130912	15.95	16.00	15.83	15.93	8891700
20130911	15.99	16.03	15.76	15.93	11350700
20130910	15.67	15.99	15.64	15.98	8639400
20130909	15.53	15.62	15.46	15.59	10043300
20130906	15.69	15.70	15.35	15.51	10748200
20130905	15.63	15.70	15.52	15.68	9344700
20130904	15.09	15.62	15.08	15.62	15005000
20130903	15.20	15.29	14.99	15.11	8697700
20130830	15.10	15.12	14.85	15.01	9689300
20130829	14.92	15.15	14.90	15.14	12229800
20130828	15.05	15.14	14.96	14.96	12505900
20130827	15.30	15.32	15.02	15.07	10480900
20130826	15.60	15.68	15.41	15.45	7602600
20130823	15.74	15.75	15.54	15.62	7075900
20130822	15.61	15.74	15.58	15.66	9568300
20130821	15.50	15.73	15.44	15.55	11539300
20130820	15.49	15.62	15.38	15.56	9276000
20130819	15.50	15.68	15.34	15.55	16067100
20130816	15.22	16.06	15.04	15.62	30578100
20130815	15.42	15.59	15.28	15.32	11225700
20130814	15.64	15.78	15.52	15.73	12888500
20130813	15.76	15.79	15.42	15.73	7797600
20130812	15.62	15.75	15.58	15.65	8656600
20130809	15.56	15.69	15.47	15.67	10719500
20130808	16.02	16.02	15.58	15.65	19917900
20130807	16.07	16.16	15.88	15.89	11614700
20130806	16.13	16.29	16.07	16.16	8928000
20130805	16.18	16.34	16.05	16.10	8098300
20130802	16.36	16.41	16.22	16.32	10730300
20130801	16.45	16.64	16.38	16.49	10080400
20130731	16.27	16.46	16.18	16.32	10145000
20130730	16.20	16.46	16.15	16.27	10455500
20130729	16.05	16.21	16.00	16.02	5858000
20130726	15.97	16.13	15.92	16.13	6531300
20130725	16.06	16.19	15.92	16.13	6567900
20130724	16.33	16.44	16.05	16.10	8419600
20130723	16.38	16.51	16.23	16.26	9116600
20130722	16.71	16.71	16.27	16.35	8969400
20130719	16.64	16.64	16.39	16.56	8097400
20130718	16.64	16.70	16.41	16.56	10658200
20130717	16.64	16.78	16.57	16.69	7863900
20130716	16.55	16.71	16.50	16.58	8318800
20130715	16.61	16.72	16.45	16.47	9482200
20130712	16.46	16.66	16.43	16.66	10329400
20130711	16.47	16.50	16.28	16.49	14302300
20130710	15.60	16.47	15.60	16.30	30007600
20130709	15.41	15.73	15.37	15.66	26328800
20130708	15.36	15.41	15.04	15.14	10152800
20130705	15.12	15.31	14.97	15.22	8382900
20130703	14.75	15.05	14.67	15.00	5556600
20130702	14.78	14.99	14.68	14.82	9789100
20130701	15.06	15.18	14.79	14.82	8993800
20130628	14.87	14.99	14.62	14.92	25016600
20130627	15.13	15.14	14.88	14.91	9374800
20130626	15.37	15.42	14.92	14.97	18520800
20130625	15.10	15.32	15.02	15.27	12763100
20130624	14.96	15.06	14.81	14.98	14138800
20130621	15.07	15.19	14.79	15.08	22344300
20130620	15.51	15.53	15.02	15.07	18635500
20130619	15.97	16.05	15.66	15.70	19500400
20130618	15.77	16.09	15.77	15.97	13865400
20130617	15.56	15.90	15.56	15.78	13251000
20130614	15.62	15.75	15.38	15.41	10417700
20130613	15.29	15.61	15.24	15.60	11424400
20130612	15.61	15.81	15.16	15.25	24026500
20130611	15.34	15.44	15.17	15.19	8689400
20130610	15.50	15.60	15.37	15.46	9489600
20130607	15.03	15.52	15.01	15.49	12485500
20130606	15.20	15.24	14.88	14.95	16828700
20130605	15.52	15.54	15.12	15.15	16748800
20130604	15.45	15.64	15.40	15.54	19216700
20130603	15.21	15.50	15.20	15.43	21290400
20130531	15.17	15.39	15.16	15.20	22089500
20130530	14.85	15.43	14.84	15.25	19744900
20130529	14.78	14.94	14.72	14.80	12546100
20130528	14.66	14.91	14.62	14.87	12792800
20130524	14.50	14.60	14.46	14.50	10009200
20130523	14.43	14.63	14.34	14.60	15548800
20130522	14.66	14.90	14.45	14.54	10787500
20130521	14.83	14.91	14.66	14.67	13243200
20130520	14.90	15.03	14.84	14.91	9654300
20130517	14.56	14.96	14.44	14.96	22522900
20130516	14.84	14.93	14.32	14.66	22150900
20130515	14.77	15.00	14.69	14.80	15612700
20130514	14.95	15.00	14.73	14.79	16563900
20130513	14.92	14.95	14.68	14.69	8557300
20130510	14.85	14.98	14.85	14.97	6112100
20130509	14.86	15.00	14.82	14.92	9214100
20130508	14.70	14.98	14.56	14.85	14143900
20130507	14.84	14.85	14.70	14.72	8008900
20130506	14.84	14.92	14.71	14.81	8393500
20130503	14.89	15.18	14.79	14.83	15303800
20130502	14.47	14.80	14.41	14.79	14534600
20130501	14.50	14.75	14.44	14.47	13788200
20130430	14.37	14.51	14.29	14.51	10094900
20130429	14.15	14.44	14.07	14.40	16446800
20130426	13.91	14.22	13.80	14.14	17233900
20130425	13.74	14.20	13.67	14.15	20829700
20130424	13.41	13.66	13.39	13.63	10010100
20130423	13.18	13.49	13.14	13.43	10313800
20130422	12.94	13.15	12.85	13.08	11135400
20130419	12.83	13.02	12.65	12.93	12634800
20130418	13.17	13.23	12.89	12.92	13911400
20130417	13.27	13.43	13.00	13.05	16516400
20130416	13.37	13.50	13.34	13.46	10697100
20130415	13.49	13.65	13.23	13.31	16472400
20130412	13.77	13.79	13.51	13.63	6933300
20130411	13.73	13.97	13.70	13.80	11024700
20130410	13.30	13.83	13.27	13.81	15002400
20130409	13.34	13.48	13.20	13.30	13917200
20130408	13.17	13.42	12.96	13.38	15210500
20130405	13.02	13.22	12.91	13.20	10349000
20130404	13.10	13.24	13.03	13.22	7399800
20130403	13.24	13.24	13.02	13.15	14428100
20130402	13.46	13.46	13.19	13.24	8535600
20130401	13.48	13.49	13.27	13.36	11026400
20130328	13.42	13.54	13.33	13.48	11878200
20130327	13.30	13.42	13.09	13.41	10585500
20130326	13.40	13.49	13.32	13.40	10751100
20130325	13.37	13.40	13.23	13.32	10630700
20130322	13.00	13.28	13.00	13.26	13933500
20130321	13.10	13.13	12.92	12.96	10005400
20130320	13.03	13.22	12.93	13.18	12832900
20130319	13.05	13.09	12.80	12.96	18027200
20130318	13.13	13.20	13.00	13.05	9798200
20130315	13.60	13.71	13.26	13.31	17885900
20130314	13.63	13.76	13.63	13.68	7978700
20130313	13.45	13.65	13.34	13.63	10364600
20130312	13.45	13.55	13.34	13.40	8362800
20130311	13.48	13.56	13.44	13.52	7355400
20130308	13.64	13.67	13.40	13.54	11335000
20130307	13.65	13.78	13.45	13.55	15011300
20130306	13.80	13.87	13.65	13.67	11513200
20130305	13.65	13.78	13.62	13.74	9723400
20130304	13.56	13.60	13.43	13.57	8107000
20130301	13.58	13.68	13.40	13.59	12821000
20130228	13.74	13.86	13.67	13.71	13483900
20130227	13.60	13.83	13.55	13.74	15463200
20130226	13.50	13.67	13.37	13.63	22783500
20130225	13.67	13.80	13.22	13.23	15608600
20130222	13.33	13.60	13.30	13.57	9134300
20130221	13.51	13.52	13.09	13.25	17873600
20130220	13.90	13.91	13.56	13.59	13893400
20130219	13.71	13.95	13.67	13.89	10944100
20130215	13.83	13.90	13.63	13.74	10918200
20130214	13.86	13.99	13.65	13.89	20125200
