Date	Open	High	Low	Close	Volume
20130923	314.01	315.90	308.77	311.49	1884900
20130920	312.54	320.57	312.41	316.34	5302300
20130919	313.77	314.54	311.04	312.06	2350900
20130918	304.06	312.74	302.91	312.03	2946400
20130917	297.63	304.65	296.01	304.17	2296500
20130916	299.82	301.00	295.26	296.06	1808400
20130913	300.14	300.22	296.20	297.92	1350600
20130912	299.39	302.00	297.66	298.86	1606200
20130911	298.91	301.86	297.84	299.64	1742600
20130910	300.55	301.00	297.22	300.36	1778400
20130909	297.22	299.96	296.60	299.71	1643600
20130906	295.33	298.88	290.80	295.86	2292000
20130905	293.63	297.00	292.71	294.10	1816600
20130904	288.33	295.23	287.58	293.64	2438600
20130903	284.73	291.39	284.17	288.80	2897600
20130830	284.59	284.87	280.00	280.98	1534700
20130829	281.45	285.98	280.00	283.98	1566400
20130828	280.36	283.00	279.33	281.58	1457100
20130827	283.87	285.28	279.74	280.93	2476000
20130826	290.43	291.05	285.62	286.21	1711700
20130823	291.21	291.50	287.90	290.01	1961900
20130822	284.80	289.87	284.80	289.73	1422600
20130821	285.09	288.50	283.83	284.57	1815300
20130820	285.88	289.51	285.74	287.09	1586300
20130819	285.19	289.56	283.48	285.57	2477400
20130816	286.55	288.33	284.50	284.82	2422500
20130815	288.79	289.30	285.15	286.47	2261400
20130814	294.29	294.29	290.54	291.34	1415000
20130813	295.88	296.37	290.67	293.97	2349900
20130812	295.79	299.08	295.26	296.69	1504500
20130809	295.68	299.27	294.30	297.26	1950300
20130808	298.52	298.52	292.55	295.74	2343400
20130807	300.15	300.99	296.15	296.91	1961000
20130806	300.51	301.36	297.52	300.75	1849000
20130805	303.40	303.62	298.30	300.99	2233200
20130802	304.63	305.33	301.50	304.21	2502600
20130801	303.08	306.21	298.90	305.57	2971700
20130731	303.91	305.15	301.00	301.22	1891300
20130730	307.72	309.78	301.57	302.41	3053400
20130729	311.07	313.00	305.90	306.10	3211800
20130726	299.55	313.62	295.55	312.01	8817500
20130725	299.00	304.50	296.75	303.40	5405800
20130724	303.02	303.84	298.04	298.94	2000500
20130723	303.16	305.06	300.56	301.06	1999600
20130722	309.25	309.25	302.00	303.48	2520700
20130719	304.39	305.79	301.91	305.23	2973100
20130718	306.27	306.34	301.87	304.11	3063800
20130717	306.97	308.80	305.69	308.69	2029700
20130716	307.30	309.39	305.51	306.87	2660200
20130715	307.27	307.99	304.35	306.57	2245600
20130712	298.69	307.55	298.50	307.55	4539300
20130711	294.99	300.69	292.10	299.66	4007300
20130710	291.41	293.34	289.40	292.33	1810200
20130709	291.00	292.57	288.01	291.53	2775600
20130708	286.42	291.67	286.14	290.59	3046700
20130705	285.00	286.38	282.07	285.88	1985400
20130703	282.00	285.40	282.00	284.03	1373000
20130702	281.04	286.58	280.59	283.73	3238200
20130701	279.00	283.29	277.16	282.10	2888200
20130628	276.19	279.83	276.19	277.69	3193300
20130627	279.18	280.20	274.54	277.55	2519500
20130626	273.98	277.98	273.50	277.57	3029500
20130625	272.30	273.47	269.00	272.09	2449600
20130624	271.29	273.16	265.00	270.61	3863800
20130621	274.57	275.84	269.79	273.36	4201000
20130620	275.14	278.60	272.39	273.44	2984000
20130619	281.26	283.34	277.87	278.16	2827500
20130618	279.08	282.91	278.11	281.76	2146100
20130617	276.35	280.20	275.65	278.06	2884000
20130614	275.00	277.07	273.44	273.99	2150800
20130613	271.50	276.80	270.29	275.79	2649800
20130612	276.60	276.80	270.45	271.67	2238900
20130611	276.00	278.41	274.24	274.78	3097800
20130610	276.68	282.47	275.24	281.07	3086500
20130607	269.74	280.10	269.13	276.87	4632600
20130606	267.75	270.50	264.21	267.83	2476300
20130605	265.81	271.66	265.02	267.17	3512300
20130604	267.00	268.88	263.02	265.70	2088600
20130603	268.96	269.11	262.95	266.88	2543900
20130531	266.00	271.91	265.94	269.20	3374300
20130530	265.71	268.57	265.61	266.83	1667500
20130529	265.46	268.25	264.84	265.53	1903400
20130528	266.48	271.10	266.00	267.29	3471000
20130524	259.85	261.93	258.34	261.74	1696300
20130523	260.49	263.17	259.59	261.80	2000300
20130522	267.39	267.59	260.80	262.96	3332000
20130521	268.74	270.77	267.66	268.86	1741200
20130520	269.00	271.79	266.50	267.63	2209000
20130517	265.83	269.98	265.00	269.90	2527300
20130516	265.96	268.43	263.85	264.12	1643500
20130515	267.07	269.05	264.56	266.56	2720500
20130514	264.50	269.40	264.03	268.33	2700000
20130513	262.77	265.88	262.00	264.51	2149500
20130510	260.88	263.65	260.21	263.63	3145300
20130509	258.73	263.55	256.88	260.16	2769300
20130508	256.87	260.30	255.33	258.68	2677000
20130507	256.31	259.74	252.91	257.73	3133700
20130506	258.09	259.50	253.42	255.72	2347800
20130503	256.14	259.25	254.70	258.05	3514000
20130502	248.94	252.93	245.78	252.55	3936200
20130501	253.90	254.20	245.75	248.23	4391400
20130430	249.37	254.68	248.56	253.81	4248800
20130429	254.90	257.01	249.15	249.74	7117000
20130426	269.97	272.02	252.81	254.81	14030000
20130425	271.53	275.80	270.50	274.70	6116500
20130424	269.50	271.47	266.81	268.78	1852800
20130423	264.50	269.87	264.50	268.90	2270600
20130422	259.35	264.60	258.03	263.55	2119100
20130419	258.16	262.88	257.50	260.32	2602500
20130418	266.81	266.99	256.60	259.42	3137600
20130417	270.80	270.85	264.25	267.40	3135100
20130416	269.31	272.80	268.06	272.34	2137200
20130415	271.08	275.12	267.10	267.72	3326000
20130412	270.12	273.27	267.02	272.87	2866300
20130411	264.74	270.97	264.74	269.85	3090500
20130410	261.78	265.98	259.32	264.77	2322500
20130409	258.85	262.61	257.00	261.14	2156600
20130408	255.92	259.68	255.63	258.95	2295600
20130405	255.72	256.18	253.67	255.48	2557400
20130404	259.23	260.41	256.12	259.08	1964400
20130403	262.12	263.67	257.75	259.03	2413800
20130402	262.40	265.89	260.55	263.32	2631100
20130401	266.98	267.40	261.01	261.61	2524800
20130328	265.82	267.38	264.06	266.49	2473700
20130327	258.75	265.93	257.90	265.30	2874900
20130326	257.05	261.48	256.28	260.31	2421000
20130325	258.58	259.43	254.50	256.02	2513900
20130322	254.55	257.77	252.07	257.75	3124600
20130321	256.11	257.00	252.68	253.39	2806400
20130320	258.05	259.76	254.55	257.28	2738900
20130319	258.40	259.50	252.62	256.41	3738500
20130318	259.30	261.49	257.12	257.89	2720200
20130315	264.98	267.26	260.05	261.82	4865900
20130314	269.67	270.00	263.53	265.74	5226700
20130313	275.24	276.50	272.64	275.10	1884200
20130312	271.00	277.40	270.36	274.13	3246200
20130311	273.43	273.99	270.40	271.24	1904900
20130308	275.00	275.44	271.50	274.19	1879800
20130307	274.10	274.80	271.85	273.88	1939000
20130306	275.76	276.49	271.83	273.79	2050700
20130305	274.00	276.68	269.99	275.59	3686200
20130304	265.36	273.30	264.14	273.11	3453000
20130301	263.27	266.60	261.04	265.74	2957000
20130228	261.81	267.00	260.63	264.27	2667200
20130227	259.40	265.83	256.86	263.25	2908100
20130226	260.89	262.04	255.73	259.36	3348600
20130225	266.94	268.69	259.65	259.87	3032400
20130222	266.62	267.11	261.61	265.42	3124800
20130221	265.12	269.48	263.25	265.94	3637400
20130220	270.20	274.30	266.37	266.41	3528900
20130219	265.91	270.11	264.50	269.75	2854200
20130215	267.63	268.92	263.11	265.09	3979900
20130214	267.37	270.65	265.40	269.24	3463000
20130213	261.53	269.96	260.30	269.47	5293000
20130212	259.19	260.16	257.00	258.70	2943700
20130211	263.20	263.25	256.60	257.21	3403700
20130208	261.40	265.25	260.55	261.95	3879200
20130207	264.10	264.10	255.11	260.23	3975700
20130206	265.16	266.89	261.11	262.22	2770400
20130205	262.00	268.03	261.46	266.89	4012900
20130204	262.78	264.68	259.07	259.98	3723600
20130201	268.93	268.93	262.80	265.00	6115000
20130131	271.04	275.94	263.70	265.50	6772100
20130130	283.00	284.20	267.11	272.76	13075400
20130129	275.35	275.46	258.35	260.35	10172600
20130128	283.78	284.48	274.40	276.04	4321400
20130125	275.00	284.72	274.40	283.99	4968100
20130124	269.37	276.65	269.37	273.46	3417000
20130123	270.57	271.09	266.65	268.11	2508900
20130122	271.62	272.10	269.23	270.19	2137700
20130118	270.83	274.50	269.60	272.12	2942000
20130117	271.50	271.97	269.21	270.48	1884600
20130116	270.53	271.24	267.83	268.93	2065600
20130115	270.68	272.73	269.30	271.90	2326900
20130114	268.00	274.26	267.54	272.73	4275000
20130111	265.10	268.43	264.11	267.94	2413300
20130110	268.54	268.74	262.30	265.34	2863400
20130109	268.17	269.50	265.40	266.35	2265600
20130108	267.07	268.98	263.57	266.38	3010700
20130107	262.97	269.73	262.67	268.46	4910000
20130104	257.58	259.80	256.65	259.15	1874200
20130103	257.27	260.88	256.37	258.48	2750900
20130102	256.08	258.10	253.26	257.31	3271000
20121231	243.75	252.41	242.75	250.87	3419000
20121228	245.85	247.44	245.05	245.18	1858700
20121227	248.28	249.35	242.86	248.31	3639300
20121226	257.15	257.42	248.04	248.63	4152700
20121224	257.30	259.50	256.96	258.62	984400
