Date	Open	High	Low	Close	Volume
20130923	42.58	42.69	41.49	41.87	2971100
20130920	41.16	42.58	40.83	41.62	8719200
20130919	40.75	40.80	40.15	40.75	2501700
20130918	40.22	40.68	39.84	40.67	2364800
20130917	39.75	40.36	39.50	40.12	3724700
20130916	39.37	39.68	39.04	39.28	2155600
20130913	39.16	39.28	38.70	38.99	1448000
20130912	39.33	39.45	38.61	39.03	2000600
20130911	39.23	39.47	38.68	39.25	2392700
20130910	39.00	39.67	38.95	39.66	2434400
20130909	38.87	39.00	38.63	38.77	1636400
20130906	39.18	39.18	38.23	38.56	1715500
20130905	39.15	39.20	38.72	38.79	1437200
20130904	38.58	39.13	38.16	38.98	1258800
20130903	38.82	39.13	38.04	38.35	1735100
20130830	38.96	38.99	38.29	38.51	2507300
20130829	38.40	39.00	38.13	38.95	3595500
20130828	38.93	39.45	37.90	38.28	6780600
20130827	37.84	37.84	36.35	36.55	2986300
20130826	36.95	37.72	36.85	37.48	1389000
20130823	36.79	37.05	36.48	36.74	1831200
20130822	36.22	37.13	36.08	36.61	994000
20130821	36.64	36.99	36.38	36.59	1442500
20130820	36.34	37.10	36.28	36.79	1741700
20130819	36.32	36.41	36.08	36.25	2338900
20130816	35.97	36.35	35.89	36.25	1354300
20130815	36.14	36.94	35.75	36.02	2511100
20130814	37.90	37.94	37.15	37.22	1527100
20130813	37.84	38.12	37.32	38.02	1375400
20130812	36.84	37.80	36.74	37.70	988000
20130809	37.18	37.24	36.74	36.83	1385800
20130808	37.60	37.60	37.28	37.32	1939600
20130807	36.97	37.31	36.68	37.29	1803500
20130806	36.93	36.95	36.70	36.86	1073000
20130805	37.22	37.40	36.96	37.02	1177300
20130802	37.29	37.49	36.93	37.49	1518300
20130801	37.03	37.52	36.83	37.40	1949900
20130731	37.01	37.06	36.56	36.68	1312400
20130730	36.75	37.00	36.34	36.85	1165100
20130729	36.62	36.90	36.38	36.59	1309400
20130726	36.53	36.85	36.35	36.78	1225600
20130725	36.50	36.98	36.30	36.90	2551200
20130724	37.27	37.99	36.86	36.89	2050600
20130723	38.08	38.16	37.51	37.61	1650100
20130722	38.23	38.23	37.54	37.79	986900
20130719	37.75	38.15	37.51	37.85	1775700
20130718	38.75	38.88	37.45	37.60	3705000
20130717	39.01	39.74	38.86	38.92	2399200
20130716	38.16	39.14	38.16	38.87	3125400
20130715	38.98	39.08	37.96	38.01	2155100
20130712	38.69	38.98	38.68	38.95	1834200
20130711	37.53	38.60	37.48	38.59	1676900
20130710	37.58	38.35	37.44	38.33	1736300
20130709	37.72	37.97	37.38	37.58	1385500
20130708	38.93	39.03	37.19	37.27	2264300
20130705	38.62	39.18	38.16	38.81	1444700
20130703	38.39	38.87	38.13	38.59	1520300
20130702	37.95	38.98	37.82	38.48	4037700
20130701	37.85	37.87	37.34	37.61	2714700
20130628	37.00	37.62	36.76	37.38	2299800
20130627	37.48	37.84	37.29	37.32	2635900
20130626	37.39	37.72	36.99	37.25	2066100
20130625	37.13	37.59	36.81	37.10	2601900
20130624	36.98	36.99	36.10	36.69	3685800
20130621	37.04	37.48	36.62	37.38	8003000
20130620	37.71	37.94	36.92	37.06	3163800
20130619	38.69	38.87	38.07	38.07	2403500
20130618	38.04	38.80	37.98	38.75	2738300
20130617	37.80	38.34	37.73	38.09	2472700
20130614	37.14	37.80	37.05	37.59	2176200
20130613	35.74	37.16	35.62	37.11	2910600
20130612	36.66	36.68	35.72	35.98	2130700
20130611	36.43	36.76	36.26	36.29	2169900
20130610	37.50	37.51	36.79	36.83	2636000
20130607	36.76	37.33	36.15	37.29	3073300
20130606	37.19	37.22	36.44	36.75	2973100
20130605	37.74	37.77	36.82	37.00	1501900
20130604	37.40	38.19	37.39	37.80	3312000
20130603	37.68	37.73	36.59	37.30	2721000
20130531	37.33	38.27	37.11	37.73	3343200
20130530	36.20	38.23	36.10	37.82	8260700
20130529	34.37	34.70	34.15	34.43	2285800
20130528	34.53	34.61	34.01	34.44	2091900
20130524	33.86	34.10	33.68	34.10	1511800
20130523	34.24	34.35	33.84	33.97	2851300
20130522	34.98	35.24	34.23	34.56	3387300
20130521	34.61	35.13	34.44	35.09	2074300
20130520	34.24	34.55	34.24	34.44	1388100
20130517	34.49	34.78	34.36	34.43	2744300
20130516	34.17	34.52	33.90	34.21	2474900
20130515	33.66	34.19	33.54	34.18	1694700
20130514	33.58	33.82	33.33	33.70	1593800
20130513	33.83	34.13	33.59	33.62	1495200
20130510	33.96	34.14	33.83	34.06	1564400
20130509	33.48	34.08	33.40	33.87	2976900
20130508	32.63	33.52	32.58	33.50	2543700
20130507	32.92	32.95	32.47	32.54	1609300
20130506	32.05	32.90	31.96	32.80	3284800
20130503	32.16	32.39	31.85	31.88	4690100
20130502	31.55	32.23	31.31	32.09	3253600
