Date	Open	High	Low	Close	Volume
20130923	72.06	75.19	71.88	74.20	2008600
20130920	75.83	76.64	75.12	75.47	2418400
20130919	75.96	76.34	75.38	75.59	2168300
20130918	76.02	77.30	75.29	76.97	1878000
20130917	74.68	76.34	74.68	75.82	1897100
20130916	74.60	74.66	73.79	74.51	1694700
20130913	72.50	73.95	72.42	73.63	1606200
20130912	72.18	72.55	71.76	72.10	1396200
20130911	71.81	72.55	71.47	72.29	1934000
20130910	73.00	73.27	71.64	71.78	1807200
20130909	71.93	73.02	71.80	72.45	2388300
20130906	73.03	73.03	71.65	71.84	1470900
20130905	72.52	73.00	72.16	72.68	1990100
20130904	73.49	73.80	71.73	72.36	2555300
20130903	74.42	75.25	73.40	73.76	950100
20130830	73.97	74.27	73.59	73.74	989700
20130829	73.89	75.09	73.86	74.00	1106500
20130828	73.73	74.83	73.52	74.36	1394700
20130827	74.23	74.56	73.48	73.56	1311300
20130826	74.67	75.28	74.52	74.63	957700
20130823	74.04	74.52	73.49	74.41	1205100
20130822	73.73	75.01	73.73	74.39	775200
20130821	74.00	74.38	73.32	73.60	1054100
20130820	73.73	74.76	73.65	74.36	1423700
20130819	73.43	74.16	73.07	73.26	1438000
20130816	73.62	74.46	73.16	73.45	1299100
20130815	74.10	75.00	73.45	73.76	1899900
20130814	75.50	75.85	74.09	74.61	2263400
20130813	75.97	76.16	75.24	75.84	1022600
20130812	75.57	76.96	75.50	75.97	1771500
20130809	76.45	77.25	75.94	76.03	1402800
20130808	76.35	77.01	76.05	76.78	841000
20130807	77.38	77.43	76.01	76.19	1287000
20130806	78.22	78.25	76.95	77.58	1841200
20130805	77.32	78.20	77.05	78.18	1149800
20130802	76.54	77.78	76.17	77.51	1416100
20130801	77.03	77.40	76.24	76.60	1289000
20130731	75.93	77.26	75.55	76.47	2018700
20130730	75.30	76.00	75.23	75.36	1417400
20130729	74.78	75.68	74.38	75.11	1065200
20130726	74.70	75.37	74.47	75.30	1617600
20130725	76.30	76.75	76.01	76.39	1660200
20130724	76.30	76.49	75.74	75.94	1162500
20130723	76.40	76.71	75.55	76.11	1425900
20130722	77.07	77.07	76.21	76.61	1592200
20130719	75.89	76.53	75.64	76.18	1208500
20130718	76.02	76.12	75.44	75.71	1273500
20130717	75.88	76.26	75.11	75.61	1366400
20130716	76.76	76.92	75.25	75.68	1574900
20130715	76.81	77.00	76.44	76.59	947900
20130712	76.52	76.94	76.27	76.74	1606300
20130711	76.30	76.70	75.87	76.63	1604200
