Date	Open	High	Low	Close	Volume
20130923	145.61	149.95	145.22	149.26	3128000
20130920	148.02	149.14	145.56	146.25	3223000
20130919	146.33	149.74	146.06	147.70	3433200
20130918	143.81	145.95	143.20	145.70	2722700
20130917	142.21	143.93	141.32	143.81	2130900
20130916	143.85	147.38	141.29	142.59	3194400
20130913	145.48	146.01	141.28	142.64	2923000
20130912	147.37	147.60	143.60	144.50	2922400
20130911	139.80	148.25	139.80	147.31	6915300
20130910	137.82	140.90	137.51	140.60	4432000
20130909	137.46	137.73	134.40	136.58	2790100
20130906	133.28	136.69	132.62	135.67	5224100
20130905	134.82	134.95	132.31	132.99	3481400
20130904	137.20	137.20	133.70	134.49	3037900
20130903	137.89	139.42	135.83	136.17	3164100
20130830	139.70	140.09	135.10	135.53	2607500
20130829	139.00	140.69	138.53	139.76	2417800
20130828	134.84	139.59	133.65	138.98	2968100
20130827	137.35	138.00	134.70	135.12	2713900
20130826	139.40	140.93	138.13	139.02	3097600
20130823	140.58	140.58	137.65	138.64	2104600
20130822	137.54	142.35	137.54	139.54	2816700
20130821	134.56	136.62	134.08	135.99	2373600
20130820	134.75	136.50	134.33	134.96	1950600
20130819	134.48	137.79	133.24	135.01	2294600
20130816	135.17	135.79	132.69	134.64	2908700
20130815	137.00	138.43	134.32	134.92	2846600
20130814	140.55	143.12	138.11	138.51	3496600
20130813	137.56	142.50	136.76	141.53	4750500
20130812	137.07	139.39	135.66	136.73	3235100
20130809	137.78	139.50	137.11	138.19	2969500
20130808	136.79	136.95	134.39	135.74	2275500
20130807	134.49	135.75	132.64	135.33	2394400
20130806	133.07	135.87	132.96	134.56	3520800
20130805	138.75	139.18	132.18	133.89	5522900
20130802	134.50	139.85	133.84	139.70	6860200
20130801	133.65	135.00	132.18	134.93	4080300
20130731	131.00	133.35	130.41	132.31	4320000
20130730	129.30	132.00	127.60	131.69	4590800
20130729	126.34	130.33	126.33	129.33	5778400
20130726	125.08	129.60	124.27	127.56	8069500
20130725	129.09	132.86	120.26	125.85	21631300
20130724	109.76	113.88	109.37	113.37	7538500
20130723	111.31	111.31	108.47	109.84	3329200
20130722	110.00	112.07	109.80	110.01	4251900
20130719	110.32	111.88	108.42	111.08	4099100
20130718	107.52	111.59	107.52	111.20	6282500
20130717	105.43	108.92	104.62	108.53	4970900
20130716	107.25	108.05	104.61	105.69	9535300
20130715	97.09	102.28	97.08	101.59	5720100
20130712	96.58	97.05	95.18	96.85	3337300
20130711	94.40	97.25	94.01	97.08	3812700
20130710	92.61	94.18	92.40	93.43	1767300
20130709	91.24	93.12	90.16	92.69	3185600
20130708	91.52	92.48	90.41	90.50	2810700
20130705	90.96	92.40	89.44	91.52	2922400
20130703	89.78	90.60	88.89	89.22	2011000
20130702	92.10	93.45	89.67	90.31	3176100
20130701	95.35	95.50	92.22	92.50	2608600
20130628	93.64	95.09	92.57	94.60	2218700
20130627	94.99	95.22	93.76	94.19	2159100
20130626	91.95	94.50	91.28	93.72	3233700
20130625	90.74	91.75	89.51	91.09	4494100
20130624	91.16	91.28	88.08	89.89	5475400
20130621	93.45	94.20	92.52	93.41	3656900
20130620	93.99	94.50	92.84	93.23	5011500
20130619	95.60	95.97	94.18	94.55	4052100
20130618	96.25	97.33	96.01	96.30	3289900
20130617	98.90	99.00	96.15	96.76	3888700
20130614	99.41	100.04	97.07	98.00	3059600
20130613	97.52	99.77	96.70	99.66	2970300
20130612	100.08	100.29	96.50	97.51	3638600
20130611	100.91	101.76	99.03	99.43	3502500
20130610	102.48	103.58	100.26	102.99	3790900
20130607	99.57	103.61	99.30	102.67	6804500
20130606	94.86	99.22	94.46	98.89	3630700
20130605	95.98	96.12	94.23	94.95	3004900
20130604	96.18	97.20	95.67	96.06	2284300
20130603	97.04	97.38	95.50	96.35	3066200
20130531	97.50	98.32	96.60	96.64	3758300
20130530	96.18	98.24	95.73	97.77	3553900
20130529	96.94	97.50	95.58	96.55	2932800
20130528	97.88	98.50	96.55	97.28	5206600
20130524	93.75	97.27	93.75	96.45	4487200
20130523	92.81	95.44	92.30	93.89	4227600
20130522	98.80	100.49	93.80	95.14	6932000
20130521	100.30	100.40	97.83	99.03	4906700
20130520	94.72	100.68	94.68	100.49	6853100
20130517	93.60	95.17	92.52	94.72	4206600
20130516	93.49	94.21	92.52	92.69	3021500
20130515	92.11	95.15	92.10	93.55	4525000
20130514	92.81	93.00	90.16	92.84	4422300
20130513	95.50	95.50	92.84	93.14	4213100
20130510	94.84	95.56	93.67	95.45	4699100
