Date	Open	High	Low	Close	Volume
20130923	248.40	248.40	241.52	242.67	1059900
20130920	248.28	248.75	246.05	248.13	1673300
20130919	247.03	248.95	244.62	247.98	1395600
20130918	245.99	246.49	240.05	246.35	1606300
20130917	238.98	241.00	236.23	240.05	797900
20130916	238.03	240.38	236.31	239.57	1042600
20130913	234.95	236.07	231.54	234.71	650400
20130912	236.77	238.50	233.08	234.11	1112200
20130911	228.50	236.54	227.79	236.27	1220800
20130910	230.00	230.35	224.79	228.69	932200
20130909	226.09	229.00	224.94	228.86	891600
20130906	229.50	230.00	224.43	225.18	1256400
20130905	229.81	231.72	226.02	227.70	1074700
20130904	223.64	231.65	223.00	230.59	1905400
20130903	216.00	222.45	213.05	221.79	1223400
20130830	213.99	214.56	210.87	213.02	1002300
20130829	209.19	217.07	209.03	214.13	859700
20130828	208.27	211.29	206.60	209.71	809600
20130827	210.09	211.71	207.39	207.65	725900
20130826	212.02	214.92	210.99	212.34	803100
20130823	211.49	212.25	210.02	211.38	608700
20130822	208.35	212.77	208.01	211.48	612400
20130821	205.61	210.98	203.55	208.08	999500
20130820	206.81	209.25	206.24	206.55	736400
20130819	207.15	209.95	206.84	206.87	639800
20130816	205.61	208.92	205.28	206.89	1252200
20130815	209.41	209.86	205.73	206.53	814900
20130814	210.93	214.16	210.65	211.52	1054800
20130813	206.88	213.49	206.15	211.25	1775900
20130812	210.79	210.79	203.55	206.89	1958700
20130809	214.75	217.10	212.01	212.35	1028900
20130808	219.70	220.00	215.87	216.89	807800
20130807	220.64	223.00	217.13	217.76	1114500
20130806	227.21	227.36	221.70	221.82	771200
20130805	228.00	229.00	225.10	227.57	969800
20130802	220.38	227.80	220.30	227.76	1529600
20130801	218.82	221.58	218.03	220.20	1119600
20130731	217.49	221.70	216.06	218.13	1202900
20130730	216.98	217.99	214.21	216.93	1798000
20130729	221.86	224.11	215.96	215.96	1429100
20130726	226.40	227.76	218.16	223.23	1403400
20130725	233.53	233.97	222.20	227.48	2392700
20130724	222.73	226.97	221.18	226.61	1455800
20130723	231.55	231.83	221.91	222.65	1723300
20130722	234.69	234.74	222.09	231.67	2486000
20130719	224.33	230.62	220.10	230.27	1592600
20130718	225.33	226.99	222.62	223.12	813700
20130717	224.06	227.12	223.32	225.10	1025100
20130716	223.94	225.53	220.03	222.85	1063500
20130715	228.01	228.01	222.50	224.33	810500
