Date	Open	High	Low	Close	Volume
20130923	58.33	58.65	57.65	57.74	643700
20130920	57.90	58.69	57.67	58.56	1439000
20130919	58.37	58.39	57.63	57.67	1254200
20130918	58.59	58.71	57.85	58.05	860600
20130917	58.40	58.81	58.09	58.54	634600
20130916	58.28	58.95	57.95	58.21	985000
20130913	58.09	58.19	57.46	57.98	789500
20130912	58.33	58.33	57.61	57.78	653300
20130911	58.76	58.92	58.13	58.37	608800
20130910	57.09	58.67	57.09	58.45	996500
20130909	56.47	57.47	56.47	56.89	1139600
20130906	57.17	57.69	56.28	56.30	888900
20130905	56.60	57.14	56.30	56.88	389400
20130904	56.33	56.84	56.00	56.64	537300
20130903	56.50	56.94	56.05	56.33	476800
20130830	56.58	56.63	55.74	56.07	455200
20130829	55.90	56.67	55.66	56.42	361100
20130828	55.50	56.28	55.38	55.92	586100
20130827	56.44	56.56	55.42	55.50	1096500
20130826	57.65	57.67	56.76	56.89	572400
20130823	57.31	57.85	57.16	57.72	671600
20130822	56.83	57.63	56.57	57.26	465100
20130821	56.48	57.17	56.20	56.36	696000
20130820	56.32	57.17	55.96	56.70	612700
20130819	56.57	57.37	56.45	56.45	682200
20130816	56.83	56.87	56.22	56.53	1136300
20130815	57.14	57.68	56.69	56.84	1329000
20130814	58.70	58.84	57.69	57.72	1110300
20130813	58.69	59.16	58.36	58.78	758000
20130812	58.50	58.95	58.33	58.87	554600
20130809	58.51	58.90	58.29	58.65	771800
20130808	58.25	58.87	57.90	58.52	1093000
20130807	58.44	58.80	57.47	57.90	1781600
20130806	58.94	59.10	57.98	58.89	1718000
20130805	58.36	59.49	58.10	59.19	2124100
20130802	57.84	58.73	57.55	58.64	2149000
20130801	56.92	57.64	56.27	57.52	1909000
20130731	56.57	57.29	56.24	56.32	2125700
20130730	56.26	56.79	56.08	56.44	1738000
20130729	56.19	56.86	55.89	56.66	1978200
20130726	55.30	56.50	54.81	56.48	2368600
20130725	54.83	55.87	54.67	55.86	1842800
20130724	54.23	55.20	53.85	55.15	1818500
20130723	55.00	55.38	53.76	53.83	2685100
20130722	56.62	56.62	54.78	55.12	2845200
20130719	56.11	57.09	56.11	56.44	1932000
20130718	55.01	57.11	54.55	56.40	4237800
20130717	53.42	54.28	53.35	53.50	1587900
20130716	53.87	53.96	53.44	53.51	1761800
20130715	53.94	53.99	53.38	53.76	968100
20130712	54.00	54.58	53.79	54.15	1506500
20130711	52.78	54.23	52.70	54.15	2283700
20130710	51.83	52.85	51.77	52.52	1851100
20130709	50.92	51.87	50.92	51.83	1312300
20130708	51.72	51.77	50.66	50.90	1416800
20130705	50.08	52.23	50.01	51.45	1674700
20130703	49.21	50.19	48.83	50.01	1162500
20130702	50.14	50.58	49.69	49.78	1257200
20130701	49.81	50.67	49.67	50.27	1024200
20130628	50.13	50.75	49.34	49.68	1891100
20130627	50.91	51.16	50.50	50.56	1435900
20130626	49.87	50.92	49.70	50.68	1224700
20130625	49.39	49.71	48.69	49.50	1057400
20130624	49.00	49.76	48.68	49.30	1508200
20130621	49.10	49.50	48.57	49.19	2274800
20130620	48.87	49.46	48.77	49.05	1163100
20130619	49.65	49.88	49.22	49.23	1133300
20130618	49.81	49.99	49.15	49.78	1121300
20130617	48.84	49.70	48.78	49.53	1247700
20130614	48.76	49.10	48.38	48.48	683400
20130613	49.00	49.35	48.00	48.69	1857200
20130612	49.76	49.90	48.98	49.16	905700
20130611	49.97	50.19	49.19	49.32	1127100
20130610	50.77	50.97	50.19	50.51	1489100
20130607	49.57	51.01	49.30	50.91	1939900
20130606	49.27	49.39	48.73	49.12	1535700
20130605	49.12	49.60	48.97	49.13	657200
20130604	49.70	49.77	48.96	48.99	1658100
20130603	49.77	49.97	49.53	49.79	1130500
20130531	50.00	50.54	49.79	50.08	1325400
20130530	49.81	51.04	49.74	50.93	1219500
