Date	Open	High	Low	Close	Volume
20130923	117.08	118.17	117.05	117.57	1762600
20130920	119.36	119.45	117.61	117.94	2587100
20130919	119.07	119.47	118.64	119.20	1219500
20130918	117.68	119.06	116.96	118.64	1858800
20130917	117.30	118.52	117.09	117.91	990900
20130916	118.36	118.46	116.96	117.35	1767100
20130913	118.53	118.57	116.91	117.03	1661000
20130912	119.06	119.33	117.86	118.19	1371000
20130911	117.57	119.34	117.50	119.25	1808600
20130910	115.85	117.56	115.53	117.32	1665400
20130909	114.17	115.47	113.93	115.35	1262000
20130906	114.30	115.01	113.12	114.35	2232000
20130905	113.00	115.10	113.00	114.62	2564100
20130904	111.99	112.28	111.35	111.50	1397900
20130903	112.81	113.13	111.55	111.98	1204600
20130830	111.74	112.19	111.15	111.87	1207700
20130829	110.29	111.89	110.19	111.39	1388000
20130828	111.72	111.72	110.36	110.46	1648900
20130827	111.23	111.87	111.03	111.67	1415500
20130826	113.00	113.12	111.84	111.87	1031500
20130823	112.59	113.49	111.66	113.07	1444900
20130822	112.05	112.58	111.90	112.24	998500
20130821	112.63	112.87	111.85	111.96	1329300
20130820	112.24	113.29	112.10	112.84	1448500
20130819	111.90	112.94	111.80	112.08	1259500
20130816	111.77	112.51	111.65	111.90	1651000
20130815	112.46	112.78	111.51	111.79	1656600
20130814	115.15	115.25	113.59	113.78	1656500
20130813	116.34	116.35	114.75	115.65	1230300
20130812	115.59	116.21	115.02	115.73	1596800
20130809	116.86	117.25	115.37	115.63	1676800
20130808	118.06	118.91	116.08	117.39	2372700
20130807	119.15	119.52	118.46	119.34	1297600
20130806	119.24	119.92	119.02	119.50	1308500
20130805	119.45	120.20	118.94	120.07	1336700
20130802	118.30	119.50	117.92	119.37	1503600
20130801	118.07	118.60	117.65	118.34	1255700
20130731	117.55	118.10	116.97	117.42	1925200
20130730	117.84	118.31	116.77	116.93	1162500
20130729	116.48	117.70	116.24	117.14	1198100
20130726	116.77	117.00	115.54	116.57	1863100
20130725	117.09	117.68	116.66	117.45	1352200
20130724	119.00	119.39	117.25	117.90	1726900
20130723	118.37	119.15	118.29	119.10	1079600
20130722	118.82	118.83	117.65	118.05	1158000
20130719	117.58	118.14	116.57	118.07	1639200
20130718	117.34	117.60	116.40	117.06	1180700
20130717	116.96	117.70	116.35	117.40	1276900
20130716	116.17	116.74	115.55	116.53	1295200
20130715	116.00	116.24	115.12	115.89	1156500
20130712	115.47	116.88	115.20	116.46	2233300
20130711	114.84	115.94	114.34	115.89	1549900
20130710	113.48	114.04	113.31	113.65	1274300
20130709	113.09	113.60	112.75	113.35	1360800
20130708	112.34	112.97	112.07	112.62	1525200
20130705	112.24	112.31	110.71	111.76	1366700
20130703	110.43	111.29	110.06	110.91	752200
20130702	110.63	111.87	110.45	110.85	1279700
20130701	111.55	111.81	110.32	110.43	1112700
20130628	111.21	112.22	110.52	110.57	1853600
20130627	111.57	112.35	111.24	111.49	922200
20130626	110.45	111.47	110.10	111.18	1539200
20130625	110.68	110.68	109.24	110.25	1607800
20130624	107.46	110.60	107.44	109.64	1832300
20130621	108.39	109.58	107.90	108.65	3111500
20130620	109.73	109.73	107.38	107.56	2211900
20130619	112.23	112.59	110.14	110.19	1458600
20130618	111.54	112.20	111.20	112.09	1250200
20130617	111.75	112.50	110.94	111.70	1441700
20130614	110.37	111.62	110.33	111.00	1318000
20130613	109.17	111.14	109.02	110.88	1230500
20130612	110.75	110.82	109.11	109.40	1320200
20130611	109.75	111.00	109.52	110.02	1066300
20130610	110.93	111.03	109.64	110.31	1563900
20130607	111.24	111.95	110.17	110.58	2013400
20130606	109.54	111.13	109.38	111.09	2186800
20130605	110.12	110.59	108.88	109.17	2018400
20130604	110.86	111.81	109.90	110.66	1855200
20130603	109.92	111.05	108.57	110.88	2341400
20130531	112.12	112.74	109.63	109.63	3537200
20130530	114.28	115.49	111.87	111.88	3459400
20130529	114.53	114.65	112.74	112.95	1834000
20130528	115.10	115.77	114.03	114.83	2693700
20130524	112.48	114.69	112.25	114.39	1769800
20130523	112.73	114.20	111.85	113.19	2225200
20130522	113.33	114.72	112.93	113.38	2524300
20130521	112.48	113.96	112.21	113.48	1946000
20130520	113.06	113.13	111.95	112.02	1664300
20130517	112.21	113.19	111.64	113.05	1678300
20130516	112.59	113.00	111.22	111.51	1533600
20130515	110.86	112.95	110.69	112.82	1810600
20130514	110.29	111.72	109.89	111.39	1932800
20130513	109.69	110.32	109.60	110.01	1246600
20130510	109.41	110.15	109.17	109.99	1239600
20130509	109.88	110.15	108.88	109.14	1306300
20130508	109.90	110.25	109.40	109.61	863800
20130507	109.02	109.78	108.66	109.71	1617400
20130506	109.71	110.25	109.03	109.09	1112700
20130503	109.93	110.41	109.01	109.75	1407600
20130502	108.17	109.29	107.72	108.69	1442900
20130501	108.13	109.00	107.96	108.22	1199400
20130430	108.12	108.57	107.68	108.43	1561400
20130429	109.30	109.47	108.47	108.63	1728300
20130426	108.90	109.75	108.38	109.27	2146700
20130425	108.35	109.34	107.80	109.13	1848100
20130424	107.46	108.35	107.30	107.83	2234300
20130423	105.74	107.35	105.54	107.25	1731100
20130422	104.43	105.78	104.27	105.16	2048400
20130419	103.20	104.65	103.20	104.45	2215600
20130418	104.76	105.12	103.33	103.61	1854300
20130417	104.77	105.25	104.34	104.77	1882600
20130416	104.73	105.79	104.55	105.55	2796500
20130415	105.45	106.22	104.13	104.21	1818400
20130412	106.14	106.79	105.65	106.13	1437700
20130411	105.88	106.40	105.19	106.01	2319400
20130410	105.73	106.52	105.53	105.75	1757200
20130409	107.25	107.28	105.59	105.79	1947300
20130408	106.45	107.09	105.87	107.04	1077600
20130405	105.30	105.97	104.45	105.80	1678900
20130404	106.26	106.89	105.46	106.36	1575700
20130403	107.50	107.74	106.00	106.36	1833200
20130402	106.27	107.75	106.03	107.68	1831900
20130401	106.00	106.59	105.38	105.81	1005700
20130328	106.66	107.06	105.61	106.11	1672900
20130327	105.24	106.77	105.04	106.64	1971500
20130326	105.69	106.01	105.44	105.97	1452800
20130325	105.19	105.77	104.56	105.47	2315300
20130322	103.46	105.12	103.44	105.11	2036100
20130321	102.85	103.97	102.68	103.52	2216900
20130320	102.44	103.36	102.34	103.08	2316400
20130319	101.86	102.54	101.13	102.12	2240300
20130318	101.34	102.01	101.01	101.68	2138000
20130315	102.55	102.99	101.51	101.75	4001800
20130314	103.27	104.03	102.91	102.91	2316700
20130313	103.99	104.19	102.91	103.42	2459100
20130312	103.61	105.52	103.26	103.75	3795000
20130311	103.55	103.69	102.35	102.44	2120800
20130308	102.58	103.26	101.86	103.04	1549200
20130307	103.55	103.98	101.90	101.97	2603300
20130306	103.15	103.49	102.36	102.56	1254400
20130305	103.68	103.88	102.75	103.15	1611700
20130304	101.26	103.46	101.16	103.43	1942000
20130301	100.82	101.65	100.26	101.42	1790100
20130228	101.07	102.37	100.79	101.29	2213200
20130227	99.67	101.54	98.95	100.73	2511000
20130226	100.10	100.76	99.31	99.45	2915100
20130225	101.64	102.13	100.06	100.09	1644000
20130222	101.07	101.30	100.23	101.16	1576200
20130221	101.17	101.42	100.26	100.69	2730500
20130220	102.18	102.63	101.05	101.08	1915100
20130219	102.35	102.40	101.47	101.90	1894200
20130215	101.79	103.13	101.03	102.17	4239800
20130214	101.04	102.06	101.01	102.02	2211200
20130213	101.98	102.37	100.95	101.63	1224400
20130212	102.21	102.23	101.53	101.76	1203200
20130211	102.87	102.94	101.76	101.99	1457400
20130208	102.38	102.96	101.81	102.79	1726400
20130207	101.77	102.31	101.20	101.85	3007300
20130206	102.88	103.19	100.94	101.70	3192000
20130205	102.75	103.97	102.28	103.31	1842400
20130204	104.11	104.11	102.34	102.48	1728600
20130201	102.89	104.35	102.59	104.15	2316000
20130131	102.50	103.15	102.11	102.34	1656300
20130130	103.00	103.11	102.30	102.53	1939800
20130129	102.15	103.53	102.10	103.36	2073100
20130128	102.62	102.75	102.00	102.49	1631700
20130125	102.96	103.13	102.01	102.36	1612800
20130124	102.39	103.53	102.29	102.89	1515400
20130123	102.30	102.75	101.77	102.12	1442800
20130122	101.43	102.17	101.17	102.15	2004500
20130118	100.90	101.45	100.62	101.20	2341600
20130117	101.57	101.75	100.96	100.96	2095400
20130116	100.73	101.61	100.65	101.53	1201700
20130115	99.85	101.52	99.81	101.15	1725200
20130114	100.34	101.90	99.70	100.37	2155100
20130111	101.00	101.49	100.07	100.28	2206300
20130110	101.35	101.50	100.13	100.74	2328500
20130109	101.03	101.50	100.75	101.23	1834400
20130108	101.00	101.79	100.73	101.18	2189900
20130107	101.09	101.73	100.90	101.37	1663900
20130104	102.55	102.91	101.55	102.16	1989000
20130103	102.11	103.02	101.76	102.49	3872400
20130102	100.60	101.45	100.21	101.45	3153800
20121231	96.85	98.93	96.51	98.73	2412700
20121228	97.17	97.89	96.94	96.97	1651300
20121227	98.52	98.72	97.13	97.92	2057400
20121226	99.26	99.70	98.12	98.68	1456300
20121224	99.12	99.94	98.78	99.44	933700
20121221	98.43	99.55	97.64	99.49	4167700
20121220	99.22	99.43	98.14	99.20	1964100
20121219	99.49	100.22	98.64	98.68	3153300
20121218	98.90	99.96	98.64	99.86	2900500
20121217	97.01	98.90	97.00	98.78	2847800
20121214	97.00	97.96	96.85	96.92	2160800
20121213	98.05	98.87	97.34	97.85	2715100
20121212	99.02	99.39	97.25	97.72	5390300
20121211	99.00	99.65	98.07	98.31	4021200
20121210	98.90	99.27	98.55	98.95	2317000
20121207	98.88	99.01	98.17	98.56	3093800
20121206	98.44	99.63	98.08	98.47	5057500
20121205	104.56	105.97	104.30	105.95	8470800
20121204	104.55	104.92	104.02	104.40	3850200
20121203	104.82	104.82	103.90	104.59	4268800
20121130	102.48	104.50	101.66	103.92	4951400
20121129	103.08	103.21	101.56	101.88	6360500
20121128	100.44	102.62	100.00	102.58	10407800
20121127	96.30	97.33	95.77	96.51	2428000
20121126	97.36	97.53	95.83	96.26	1531200
20121123	97.00	97.93	96.56	97.92	671900
20121121	97.22	97.40	96.47	96.74	1045500
20121120	96.79	97.12	96.20	97.12	1783200
20121119	96.68	96.83	95.37	96.57	2877500
20121116	95.52	96.23	94.64	95.69	3105400
20121115	94.00	95.88	93.51	95.70	2445500
20121114	95.60	95.97	94.16	94.47	3587500
20121113	95.46	96.63	95.25	95.69	2328400
20121112	95.42	96.16	95.09	95.98	1632800
20121109	94.51	96.20	94.43	95.46	2542800
20121108	96.96	97.44	94.74	94.74	2906000
20121107	97.93	98.12	96.06	97.30	2620100
20121106	97.98	99.60	97.92	98.79	2410300
20121105	95.76	97.80	95.45	97.73	2199500
20121102	97.85	98.12	96.04	96.12	2025500
20121101	98.59	98.80	97.13	97.13	2941200
20121031	97.89	98.78	97.40	98.43	3534300
20121026	96.42	97.52	96.12	96.94	2998900
20121025	96.00	96.63	95.77	96.62	2734800
20121024	95.04	96.25	94.50	95.62	4327600
20121023	94.47	95.81	93.84	95.18	3357400
20121022	94.68	95.32	94.13	95.00	3097700
20121019	96.10	96.23	94.46	94.78	3859900
20121018	96.87	97.36	96.25	96.33	2804300
20121017	97.15	97.36	95.78	96.78	4113700
20121016	96.97	97.52	96.51	97.00	3788300
20121015	98.07	98.13	96.44	96.51	4005200
20121012	98.06	98.48	96.18	97.55	7552500
20121011	101.83	102.00	98.30	98.32	4753200
20121010	102.40	104.43	101.30	101.56	5739800
20121009	101.35	101.77	99.56	99.64	1606500
20121008	101.59	101.77	101.06	101.35	813100
20121005	101.80	102.40	101.54	101.79	1192300
20121004	100.00	101.69	99.96	101.48	2051800
20121003	99.25	99.96	98.75	99.62	2787900
20121002	100.86	101.37	99.33	99.49	2050700
20121001	100.63	101.87	100.29	100.51	1873600
20120928	100.22	100.46	99.75	100.16	1788700
20120927	101.06	101.70	100.13	100.30	1821100
20120926	101.86	102.77	100.96	101.00	1635200
20120925	102.48	103.11	101.43	101.44	1790400
20120924	102.75	102.95	102.22	102.61	1223800
20120921	102.76	103.51	102.08	102.36	3328600
20120920	101.58	102.68	101.50	102.64	1356100
20120919	102.40	102.42	101.71	101.88	1664000
20120918	102.20	102.21	101.70	101.99	1464100
20120917	102.10	102.78	101.98	102.25	1306900
20120914	102.68	102.88	101.95	102.18	3195300
20120913	100.79	102.89	100.54	102.75	1901900
20120912	99.99	100.96	99.50	100.89	1770600
20120911	100.37	100.54	99.46	99.52	1626900
20120910	99.49	100.71	99.34	100.45	1288500
20120907	100.00	100.00	99.17	99.72	937600
20120906	98.72	99.99	98.72	99.98	1462500
20120905	98.25	98.48	97.77	98.22	1156500
20120904	97.79	98.61	97.07	98.15	1184800
20120831	99.28	99.28	97.71	97.87	1692600
20120830	97.56	99.06	96.55	98.59	2426400
20120829	95.60	97.27	95.60	97.11	1494700
20120828	96.32	97.13	96.21	96.57	908000
20120827	96.15	96.85	95.83	96.64	1112100
