Date	Open	High	Low	Close	Volume
20130923	82.03	82.68	81.62	82.43	1671200
20130920	82.68	83.35	82.25	82.30	2696000
20130919	84.03	84.17	82.61	82.64	2605000
20130918	81.92	83.75	81.80	83.59	3531800
20130917	81.04	81.83	80.63	81.10	1968600
20130916	80.43	81.14	80.43	80.85	2128200
20130913	78.77	79.79	78.75	79.69	1640200
20130912	79.60	79.70	78.73	78.81	1746700
20130911	79.03	80.23	79.03	79.86	2894500
20130910	79.00	79.49	78.69	79.26	1769600
20130909	77.81	78.50	77.53	78.32	2478100
20130906	76.56	77.99	76.11	77.50	4085700
20130905	75.54	76.30	75.42	76.00	2726800
20130904	74.50	76.29	74.17	75.70	3271400
20130903	74.00	74.90	73.58	74.49	2064800
20130830	74.21	74.21	73.15	73.30	1871200
20130829	73.60	74.25	73.03	74.02	1668800
20130828	72.41	74.00	72.19	73.78	3046400
20130827	72.89	73.08	72.01	72.19	1780700
20130826	73.59	73.80	73.09	73.62	1836200
20130823	72.76	74.00	71.78	73.75	1672900
20130822	72.26	72.97	72.26	72.76	1292100
20130821	70.26	72.93	70.00	72.50	2893900
20130820	71.07	71.18	70.44	70.65	1183000
20130819	71.24	72.28	70.79	70.99	1726500
20130816	70.80	71.81	70.37	71.46	2173700
20130815	71.65	71.84	70.37	70.86	1893500
20130814	72.99	73.24	72.37	72.38	1477300
20130813	73.49	73.84	72.69	73.34	1350400
20130812	72.78	73.63	72.78	73.39	1589000
20130809	72.74	73.70	72.74	73.16	1259200
20130808	73.80	73.97	72.87	72.89	1829200
20130807	74.38	74.38	72.83	73.81	3250700
20130806	75.72	76.08	73.81	74.01	7593900
20130805	74.26	74.26	73.04	73.41	3243800
20130802	73.90	73.90	73.00	73.51	1897400
20130801	72.73	74.20	72.73	73.48	2011700
20130731	72.83	73.51	72.32	72.39	2092500
20130730	72.90	73.10	72.23	72.37	2585300
20130729	72.59	73.22	72.30	72.57	1676500
20130726	72.10	72.76	72.02	72.74	1549000
20130725	71.70	73.15	71.61	72.62	2197700
20130724	72.89	73.21	71.69	71.75	2019300
20130723	73.05	73.05	72.24	72.30	1935900
20130722	74.91	74.92	72.71	72.87	2370500
20130719	72.32	72.75	71.64	72.36	3970900
20130718	71.96	73.32	71.95	72.49	3376300
20130717	71.11	71.68	70.94	71.21	2988600
20130716	71.15	71.76	70.63	71.01	2745000
20130715	71.41	71.70	70.67	70.95	2775200
20130712	72.52	72.71	71.01	71.43	3795000
20130711	70.43	71.19	70.01	71.05	5456900
20130710	66.74	69.78	66.65	69.69	4936700
20130709	66.31	66.81	65.97	66.55	1834200
20130708	65.04	66.37	64.95	66.07	2203500
20130705	65.22	65.50	64.61	65.26	1003600
20130703	64.00	65.20	63.95	64.76	1053700
20130702	64.30	64.57	63.68	64.35	2161200
20130701	63.40	64.83	63.14	64.07	3046400
20130628	61.54	63.37	61.47	62.64	4732300
20130627	64.13	64.29	62.86	63.10	3366500
20130626	63.32	64.15	62.95	63.85	2562000
20130625	62.12	62.89	61.46	62.80	2413200
20130624	61.87	62.11	60.92	61.70	2048500
20130621	62.76	63.25	61.99	62.31	4479200
20130620	62.58	63.40	62.41	62.71	3428700
20130619	64.17	64.67	63.39	63.54	3077100
20130618	63.64	64.45	63.25	64.04	3308800
20130617	63.60	64.21	63.37	63.46	3332000
20130614	63.75	64.15	62.49	62.98	3020400
20130613	63.85	64.27	63.18	63.91	3108700
20130612	64.73	65.14	63.85	64.00	2717600
20130611	63.40	64.73	63.25	64.43	2078700
20130610	66.61	66.64	64.00	64.11	3534600
20130607	65.79	66.66	65.60	66.58	3592700
20130606	64.20	65.36	63.44	65.35	4098700
20130605	64.49	64.76	63.30	63.88	2425700
20130604	65.30	65.89	64.73	64.82	2934600
20130603	64.86	65.20	64.20	64.87	2633100
20130531	64.72	65.17	64.13	64.65	2351300
20130530	64.37	65.00	63.78	64.80	2535900
20130529	63.29	64.71	62.86	64.28	3692100
20130528	64.69	64.69	63.50	63.74	3215000
20130524	63.77	63.85	62.91	63.77	2930500
20130523	64.89	65.20	63.68	64.11	4659200
20130522	63.89	66.40	63.85	65.15	8462600
20130521	64.74	64.89	64.07	64.61	5989200
20130520	65.50	66.43	64.05	64.53	4702700
20130517	63.72	65.57	62.83	65.50	5682700
20130516	64.23	64.57	63.14	63.22	2878200
20130515	62.34	64.90	62.01	64.44	8350600
20130514	63.12	63.63	61.89	62.39	5851600
20130513	65.05	65.18	62.63	62.88	7742600
20130510	68.71	68.73	64.21	65.03	5893300
20130509	68.48	68.67	67.69	68.45	5765200
20130508	68.00	68.23	65.16	68.15	6502400
20130507	65.74	66.40	64.16	64.88	4875700
20130506	66.78	66.78	65.55	65.65	3679000
20130503	65.10	66.67	64.75	66.61	4881800
20130502	63.60	64.41	62.94	64.34	3843000
20130501	64.46	64.85	63.41	63.49	2768400
20130430	62.90	65.22	62.83	64.80	7185200
20130429	62.27	63.16	62.15	62.93	5114000
20130426	61.31	62.36	61.30	61.96	6408000
20130425	62.79	63.76	61.29	61.35	9065300
20130424	64.99	65.19	61.77	61.93	15804900
20130423	67.05	67.18	64.87	64.99	8838200
20130422	68.16	68.54	66.40	66.70	4954500
20130419	70.29	70.36	67.71	67.81	5866200
20130418	71.24	71.28	70.30	70.48	2442700
20130417	72.19	72.19	70.66	70.95	4991100
20130416	73.61	74.20	72.59	72.63	4476400
