Date	Open	High	Low	Close	Volume
20130923	75.81	75.99	74.34	74.38	1201800
20130920	76.73	77.16	75.94	76.08	1488800
20130919	75.50	76.73	75.29	76.33	1807600
20130918	74.07	75.12	73.83	74.95	870200
20130917	73.81	74.27	73.38	74.00	1076100
20130916	74.51	74.68	73.44	73.64	996400
20130913	73.86	73.86	72.82	73.79	955200
20130912	72.91	74.31	72.70	73.72	1672900
20130911	71.75	72.91	71.75	72.50	1113600
20130910	72.44	72.62	71.44	71.86	1256700
20130909	71.68	72.14	71.21	71.96	756900
20130906	71.10	71.84	70.01	71.38	1042400
20130905	71.14	71.70	70.86	71.07	721800
20130904	71.13	71.52	70.50	71.30	852900
20130903	71.56	72.40	70.51	71.20	861700
20130830	71.48	72.02	70.55	70.77	1027100
20130829	70.29	71.81	69.85	71.18	775400
20130828	70.48	71.05	70.20	70.26	715500
20130827	71.42	71.56	70.17	70.34	1137200
20130826	73.46	73.46	71.93	72.00	1160600
20130823	72.74	73.44	72.50	72.71	1415900
20130822	71.85	73.34	71.80	73.23	882400
20130821	71.42	72.19	71.17	71.70	1527800
20130820	71.52	72.21	71.18	71.74	1234200
20130819	71.72	72.60	71.36	71.50	1928600
20130816	72.47	72.73	71.59	71.60	1265200
20130815	72.55	72.73	72.06	72.57	1758100
20130814	73.74	73.80	72.87	73.55	1026800
20130813	73.62	74.06	72.67	73.67	977400
20130812	72.45	73.60	72.37	73.34	1075800
20130809	72.65	73.19	72.34	72.96	1110600
20130808	72.44	73.17	72.18	72.81	1159400
20130807	72.34	72.84	71.77	71.98	1108100
20130806	72.86	73.19	72.25	72.70	1468400
20130805	72.94	73.51	72.71	73.09	1193900
20130802	73.05	73.75	72.82	73.12	2266700
20130801	72.28	73.73	72.28	72.81	2615000
20130731	70.63	72.25	70.30	72.02	4050600
20130730	69.37	70.87	69.04	70.57	3157600
20130729	67.41	69.09	67.41	68.98	2483000
20130726	67.91	67.91	66.55	67.78	3222800
20130725	70.45	70.66	66.98	67.98	6669300
20130724	67.02	68.25	67.00	67.49	3619300
20130723	66.08	66.61	65.86	66.07	1565500
20130722	65.66	66.07	65.07	66.00	1290000
20130719	64.65	65.25	64.55	65.07	1905400
20130718	64.69	65.60	64.44	64.76	2169400
20130717	66.71	66.96	65.38	65.41	1758300
20130716	66.48	66.62	65.77	66.48	1791300
20130715	67.22	67.27	65.80	66.56	2162700
20130712	66.95	67.73	66.81	67.41	1654400
20130711	66.05	67.07	65.72	66.81	1845600
20130710	64.07	65.32	63.87	65.29	1753200
20130709	63.56	64.29	63.33	64.16	1795200
20130708	63.71	63.71	63.01	63.31	1390100
20130705	62.31	63.38	61.96	63.36	1534000
20130703	60.59	62.09	60.50	61.90	1155900
20130702	61.29	61.94	60.60	61.10	2302600
20130701	60.68	61.65	60.55	61.19	2981200
20130628	60.51	60.86	59.36	60.36	1789900
20130627	59.83	60.94	59.81	60.79	1525700
20130626	59.09	60.61	58.92	59.64	1839200
20130625	58.69	59.53	58.42	58.54	1989700
