Date	Open	High	Low	Close	Volume
20130923	13.87	13.88	13.87	13.88	5585100
20130920	13.87	13.90	13.86	13.88	15341600
20130919	13.87	13.87	13.86	13.87	6201100
20130918	13.86	13.87	13.85	13.87	10748300
20130917	13.86	13.87	13.85	13.85	15104000
20130916	13.86	13.86	13.85	13.85	16160700
20130913	13.84	13.86	13.84	13.85	10376000
20130912	13.85	13.88	13.83	13.85	88642800
20130911	13.86	13.87	13.80	13.85	19667100
20130910	13.85	13.86	13.84	13.85	21983300
20130909	13.82	13.86	13.82	13.84	19173100
20130906	13.83	13.84	13.81	13.84	9003100
20130905	13.81	13.84	13.80	13.82	10285500
20130904	13.78	13.82	13.76	13.81	14715600
20130903	13.79	13.80	13.76	13.77	10382700
20130830	13.76	13.79	13.75	13.77	6181800
20130829	13.80	13.80	13.75	13.75	31770800
20130828	13.78	13.80	13.78	13.78	24135400
20130827	13.79	13.81	13.77	13.78	15716600
20130826	13.80	13.82	13.79	13.80	5686000
20130823	13.79	13.81	13.78	13.81	7421700
20130822	13.78	13.80	13.78	13.79	4458800
20130821	13.77	13.80	13.77	13.79	5308300
20130820	13.78	13.80	13.76	13.76	10171600
20130819	13.80	13.83	13.78	13.79	13416700
20130816	13.70	13.85	13.69	13.82	29129100
20130815	13.73	13.73	13.52	13.71	13850200
20130814	13.72	13.74	13.71	13.72	8288800
20130813	13.72	13.75	13.71	13.72	7849300
20130812	13.72	13.75	13.71	13.73	8076500
20130809	13.73	13.75	13.71	13.74	14068000
20130808	13.71	13.75	13.71	13.75	13251800
20130807	13.71	13.74	13.69	13.71	15209400
20130806	13.67	13.74	13.66	13.73	23458900
20130805	13.66	13.68	13.65	13.68	12136700
20130802	13.61	13.68	13.54	13.68	108752400
20130801	12.85	13.04	12.74	12.96	40696500
20130731	12.66	12.98	12.28	12.66	60233000
20130730	12.89	12.92	12.82	12.86	10911500
20130729	12.90	12.95	12.71	12.87	21070900
20130726	12.95	12.97	12.90	12.94	11370800
20130725	12.85	12.99	12.84	12.98	15418800
20130724	12.83	13.25	12.66	12.92	94670700
20130723	13.04	13.05	12.85	12.88	21616600
20130722	12.97	13.12	12.95	13.02	36477400
20130719	13.16	13.17	12.99	13.14	34726600
20130718	13.12	13.22	13.07	13.12	42562000
20130717	12.80	12.99	12.75	12.88	51980000
20130716	13.19	13.19	12.92	13.02	62402700
20130715	13.29	13.30	13.14	13.15	18365100
20130712	13.37	13.39	13.28	13.32	20144200
20130711	13.36	13.46	13.34	13.35	24035800
20130710	13.40	13.40	13.33	13.33	31077100
20130709	13.43	13.48	13.36	13.36	26878000
20130708	13.36	13.44	13.28	13.44	50012300
20130705	13.25	13.25	12.70	13.03	53008200
20130703	13.31	13.37	13.29	13.31	27334000
20130702	13.32	13.39	13.31	13.38	21957900
20130701	13.37	13.39	13.30	13.31	19970100
20130628	13.33	13.40	13.32	13.33	16860700
20130627	13.38	13.44	13.34	13.34	8502600
20130626	13.44	13.48	13.38	13.46	11711200
20130625	13.39	13.45	13.36	13.43	10213000
20130624	13.36	13.37	13.28	13.34	10615200
20130621	13.38	13.38	13.32	13.35	22960500
20130620	13.38	13.40	13.33	13.37	17173600
20130619	13.47	13.48	13.40	13.41	13706500
20130618	13.41	13.74	13.40	13.48	98983700
20130617	13.41	13.43	13.39	13.41	8444300
20130614	13.42	13.50	13.38	13.39	11630900
20130613	13.38	13.58	13.36	13.45	8737200
20130612	13.39	13.41	13.36	13.37	13689600
20130611	13.40	13.43	13.36	13.37	7789900
20130610	13.46	13.48	13.40	13.42	7518600
20130607	13.52	13.53	13.46	13.49	11453200
20130606	13.42	13.50	13.40	13.49	13827700
20130605	13.44	13.46	13.38	13.43	6908400
20130604	13.43	13.50	13.40	13.42	13909900
20130603	13.36	13.46	13.33	13.45	10932200
20130531	13.30	13.47	13.29	13.36	27805600
20130530	13.33	13.38	13.27	13.27	23639400
20130529	13.35	13.40	13.34	13.36	9864500
20130528	13.39	13.40	13.35	13.36	7331700
20130524	13.37	13.40	13.33	13.34	16089400
20130523	13.39	13.42	13.35	13.35	8923500
20130522	13.39	13.43	13.37	13.37	12795100
20130521	13.40	13.43	13.38	13.39	12035000
20130520	13.40	13.44	13.38	13.41	10819700
20130517	13.41	13.45	13.39	13.40	16125400
20130516	13.44	13.45	13.41	13.43	13510500
20130515	13.44	13.49	13.43	13.45	12360300
20130514	13.48	13.51	13.40	13.47	33785800
20130513	13.44	13.52	13.40	13.52	33488600
20130510	13.38	13.51	13.37	13.45	91706500
20130509	13.23	13.32	13.19	13.32	13340200
20130508	13.28	13.29	13.20	13.23	13694600
20130507	13.30	13.33	13.23	13.26	16469700
20130506	13.33	13.36	13.27	13.29	8321900
20130503	13.32	13.33	13.25	13.31	15270000
20130502	13.33	13.39	13.31	13.33	10591400
20130501	13.37	13.38	13.31	13.33	14783300
20130430	13.36	13.40	13.33	13.40	10214500
20130429	13.39	13.40	13.33	13.34	8566100
20130426	13.33	13.39	13.33	13.35	14587400
20130425	13.30	13.38	13.28	13.34	17668100
20130424	13.12	13.31	13.11	13.30	49635000
20130423	13.27	13.29	13.07	13.09	51413700
20130422	13.40	13.42	13.20	13.24	55579100
