Date	Open	High	Low	Close	Volume
20130923	55.01	55.30	54.28	54.76	7240200
20130920	54.60	55.25	54.54	54.95	11460400
20130919	54.98	55.10	54.13	54.45	6311300
20130918	54.31	54.75	53.76	54.68	10318400
20130917	53.96	55.07	53.86	54.63	10345100
20130916	54.48	54.65	53.44	53.65	6976300
20130913	54.19	54.22	53.40	53.82	5218700
20130912	54.46	54.61	53.50	54.03	7936700
20130911	53.00	54.47	53.00	54.28	10001700
20130910	53.05	53.54	52.96	53.49	8747100
20130909	52.78	53.29	52.10	52.67	8989600
20130906	52.53	53.24	52.28	52.83	12072200
20130905	51.48	52.23	51.29	51.95	6752700
20130904	50.75	51.65	50.41	51.45	9501000
20130903	50.58	51.09	50.08	50.32	8137800
20130830	51.09	51.10	49.62	49.99	11121700
20130829	50.22	51.48	50.20	50.99	7109200
20130828	50.75	51.01	50.42	50.43	8136000
20130827	51.24	51.49	50.42	50.61	10341800
20130826	51.67	52.13	51.21	51.96	8061300
20130823	51.22	51.70	51.14	51.65	7026000
20130822	51.20	51.62	51.01	51.08	7478000
20130821	51.73	51.87	50.81	50.96	12848400
20130820	52.30	52.63	51.77	51.99	9377600
20130819	52.74	53.28	52.04	52.07	6643600
20130816	53.09	53.63	52.69	52.92	7531300
20130815	53.39	53.46	51.68	53.18	15264700
20130814	54.14	54.52	53.99	54.23	6767400
20130813	53.74	54.48	53.51	54.12	9441700
20130812	52.75	53.46	52.52	53.28	4712000
20130809	53.54	53.78	52.97	53.33	6381500
20130808	53.53	53.73	52.84	53.57	5634600
20130807	53.43	53.88	52.98	53.01	7057300
20130806	52.71	53.79	52.44	53.70	10341000
20130805	52.63	52.95	52.33	52.71	5380600
20130802	52.45	52.75	52.13	52.54	8508700
20130801	52.14	52.43	51.79	52.41	8104000
20130731	52.18	52.18	51.40	51.69	7731900
20130730	51.98	52.11	51.60	51.98	7814000
20130729	52.10	52.53	51.50	51.64	7495000
20130726	51.42	52.41	50.92	52.25	12708000
20130725	52.00	52.23	51.33	51.50	10150500
20130724	51.61	52.37	51.60	52.10	15498600
20130723	52.38	52.46	51.52	51.64	11019900
20130722	52.42	52.47	51.89	52.31	15575900
20130719	53.75	53.92	52.12	52.19	19224800
20130718	53.58	53.85	53.16	53.52	43088900
20130717	56.85	57.50	56.68	57.38	15158100
20130716	56.83	56.96	56.26	56.81	9018600
20130715	57.02	57.09	56.18	56.45	6877900
20130712	55.80	57.07	55.75	57.04	8640900
