Date	Open	High	Low	Close	Volume
20130923	183.30	184.00	181.09	183.46	527900
20130920	183.51	184.93	183.25	184.03	1362100
20130919	179.44	184.42	178.52	183.29	1158100
20130918	175.32	180.86	174.24	179.24	1017600
20130917	174.28	176.26	173.54	174.94	464400
20130916	179.00	179.00	170.31	173.76	1103900
20130913	178.55	179.11	176.64	177.05	414100
20130912	178.87	179.86	176.87	177.80	568400
20130911	176.84	179.26	176.57	179.22	794600
20130910	177.71	178.93	176.38	177.23	487700
20130909	173.91	177.71	173.30	177.26	618300
20130906	176.29	177.07	172.62	172.77	851000
20130905	175.94	177.66	174.21	176.66	585100
20130904	176.45	177.93	175.04	176.35	797900
20130903	175.56	177.96	173.93	176.93	1090300
20130830	175.80	176.47	173.38	173.74	656500
20130829	171.19	176.08	170.83	175.86	1060600
20130828	170.09	172.65	169.65	171.50	703400
20130827	167.50	170.55	167.25	170.23	862600
20130826	170.17	170.90	168.99	169.47	714500
20130823	167.32	170.42	167.25	170.01	543700
20130822	166.86	168.88	165.28	167.29	378700
20130821	167.49	168.88	166.38	166.50	661200
20130820	167.08	169.46	165.50	168.18	788400
20130819	168.11	169.95	165.85	165.99	1137200
20130816	165.71	169.10	164.18	167.78	1393800
20130815	169.83	169.99	163.73	165.89	3329700
20130814	173.64	175.95	171.64	171.85	1380600
20130813	178.65	179.00	174.93	175.25	1180700
20130812	180.79	181.25	178.17	178.75	992100
20130809	182.00	183.91	180.88	181.18	1601800
20130808	181.62	181.81	179.03	181.28	893200
20130807	177.11	180.88	176.06	180.31	1022300
20130806	178.03	179.44	176.91	177.17	741800
20130805	176.70	179.04	175.76	178.93	740200
20130802	176.10	177.75	175.05	177.23	1046600
20130801	180.18	181.56	176.85	177.11	1474200
20130731	181.07	182.45	178.37	179.35	793700
20130730	181.59	182.27	177.53	180.20	1059500
20130729	182.69	185.24	179.46	180.10	1258800
20130726	183.44	185.49	181.99	183.75	1094500
20130725	184.87	191.49	181.00	184.47	4412600
20130724	197.00	198.59	191.12	191.63	1875400
20130723	194.18	195.93	193.51	193.99	653900
20130722	197.82	197.97	193.68	194.21	808800
20130719	200.39	202.02	197.55	198.01	976500
20130718	205.36	205.36	200.19	200.46	764200
20130717	198.00	204.75	197.46	202.50	809600
20130716	201.00	201.95	198.49	200.15	767500
20130715	202.08	202.55	198.95	200.64	657500
20130712	199.00	203.58	198.55	202.98	956800
20130711	193.91	200.88	192.24	199.51	2219300
20130710	186.33	191.31	186.22	190.84	591800
20130709	186.99	187.37	184.82	187.00	653200
20130708	187.10	187.29	185.15	185.54	452600
20130705	186.60	188.02	183.40	185.67	363500
20130703	184.83	186.81	182.82	184.27	320200
20130702	187.08	188.04	182.67	185.47	743100
20130701	187.53	189.25	186.00	187.42	899400
