Date	Open	High	Low	Close	Volume
20130923	62.14	62.67	61.17	62.28	7443100
20130920	62.11	62.50	61.89	62.05	10013100
20130919	63.33	63.66	61.81	61.94	12418200
20130918	65.78	65.91	62.74	62.89	16278300
20130917	65.85	65.98	65.44	65.95	2875100
20130916	66.51	66.51	65.72	65.77	2304700
20130913	65.99	65.99	65.48	65.73	1995500
20130912	66.02	66.29	65.59	65.63	1700200
20130911	65.83	66.23	65.70	66.10	3431200
20130910	65.00	65.69	64.71	65.61	4027900
20130909	65.35	65.50	63.79	64.77	6309700
20130906	65.24	65.88	64.20	65.52	3052000
20130905	64.33	65.11	64.24	64.92	2196800
20130904	64.26	64.83	64.08	64.56	3163300
20130903	64.48	65.20	64.27	64.50	3662400
20130830	64.01	64.15	63.61	63.88	2502800
20130829	63.63	64.61	63.53	63.85	2198000
20130828	64.00	64.16	63.66	63.95	3164700
20130827	64.25	64.29	63.50	64.03	4472200
20130826	65.14	65.41	64.67	64.72	2679500
20130823	64.51	64.98	64.44	64.84	2153400
20130822	64.11	65.00	64.00	64.65	2644500
20130821	64.24	64.65	63.95	64.14	2856500
20130820	64.20	65.10	64.00	64.64	2534000
20130819	64.42	65.24	64.24	64.26	3248300
20130816	63.92	64.81	63.70	64.61	4515000
20130815	64.94	65.00	63.93	63.97	3561000
20130814	65.57	65.86	65.20	65.43	3218700
20130813	65.05	65.46	64.53	65.42	3806100
20130812	64.80	65.39	64.60	65.14	3180500
20130809	65.65	66.03	65.11	65.18	5556100
20130808	66.41	66.74	65.83	65.88	7389900
20130807	66.14	66.20	65.62	65.93	3607400
20130806	65.69	66.30	65.55	66.27	3616900
20130805	65.23	65.93	65.03	65.83	3704900
20130802	65.51	65.75	64.86	65.15	5873500
20130801	66.20	66.62	65.28	65.56	4910000
20130731	65.23	66.17	65.19	65.55	6963900
20130730	65.50	66.50	64.24	64.94	9233600
20130729	67.21	67.66	66.35	66.93	5415400
20130726	66.45	67.66	66.20	67.66	4043500
20130725	66.57	67.00	66.32	66.73	2841100
20130724	67.17	67.56	66.66	66.82	3713700
20130723	67.18	67.40	66.57	67.27	2732400
20130722	67.42	67.46	66.42	67.07	3559300
20130719	66.73	66.75	65.60	66.50	3093200
20130718	66.61	66.90	65.82	66.47	4847600
20130717	65.22	66.39	65.22	66.17	5255200
20130716	65.24	65.34	64.68	64.93	3424200
20130715	65.20	65.36	64.72	65.02	2926600
20130712	64.91	65.31	64.36	65.30	4183600
20130711	64.83	65.02	64.60	64.76	3450100
