Date	Open	High	Low	Close	Volume
20130923	44.76	44.87	44.34	44.57	1216300
20130920	45.01	45.40	44.80	44.81	2902200
20130919	45.22	45.48	44.88	44.93	1840900
20130918	44.06	45.39	44.04	45.23	2534400
20130917	44.68	44.77	43.68	43.89	1907200
20130916	44.74	45.00	44.51	44.64	1466200
20130913	44.44	44.47	44.17	44.28	1499400
20130912	44.55	44.69	44.23	44.34	1587100
20130911	44.10	44.75	44.10	44.74	1607300
20130910	43.81	44.50	43.65	44.29	1992800
20130909	42.93	43.69	42.91	43.62	2034500
20130906	42.32	43.04	41.75	42.90	2739600
20130905	42.02	42.30	41.58	42.14	1861500
20130904	40.49	42.09	40.49	41.98	1716300
20130903	40.91	41.56	40.91	41.46	2169200
20130830	40.43	40.65	40.23	40.56	1165300
20130829	40.50	40.95	40.38	40.45	778300
20130828	40.79	40.87	40.52	40.65	718100
20130827	41.05	41.22	40.41	40.67	1669300
20130826	41.23	42.00	41.06	41.62	1428600
20130823	41.25	41.43	40.97	41.25	1397800
20130822	40.60	41.35	40.50	41.26	714300
20130821	40.32	40.80	39.92	40.51	1067700
20130820	40.12	40.75	39.83	40.55	987100
20130819	40.00	40.33	39.91	39.92	1068900
20130816	39.75	40.22	39.73	40.03	1047800
20130815	40.11	40.34	39.68	39.84	901200
20130814	40.73	40.75	40.25	40.51	724800
20130813	40.78	40.97	40.47	40.71	757200
20130812	40.59	41.00	40.50	40.80	699800
20130809	41.10	41.10	40.60	40.79	1026900
20130808	41.35	41.55	40.98	41.11	1589400
20130807	40.60	41.27	40.14	41.21	2782900
20130806	41.92	42.95	40.91	41.21	3283500
20130805	41.10	41.16	39.98	40.34	1839600
20130802	41.51	41.58	40.99	41.19	1073900
20130801	40.57	41.80	40.56	41.68	1469200
20130731	40.43	40.79	40.20	40.32	850500
20130730	40.25	40.44	40.05	40.27	966100
20130729	40.54	40.77	40.11	40.16	959400
20130726	39.78	40.80	39.66	40.80	1322400
20130725	40.05	40.33	39.66	40.02	970800
20130724	40.47	40.74	39.99	40.06	898800
20130723	41.24	41.39	40.37	40.39	1327200
20130722	41.56	41.60	41.20	41.27	928500
20130719	41.31	41.58	41.00	41.20	1201900
20130718	40.47	41.35	40.42	41.31	1169500
20130717	40.75	40.84	40.32	40.47	885800
20130716	40.80	40.99	40.47	40.62	1159200
20130715	39.98	40.73	39.88	40.67	943400
20130712	39.88	40.14	39.68	40.00	1772800
20130711	39.98	40.39	39.98	40.30	1222500
20130710	39.47	39.75	39.40	39.60	1300100
20130709	38.75	39.97	38.67	39.66	1953700
20130708	38.62	38.81	38.45	38.65	849700
20130705	38.13	38.52	37.90	38.52	619100
20130703	38.00	38.18	37.79	37.98	416400
20130702	38.57	38.78	38.05	38.18	1028100
20130701	38.58	39.19	38.42	38.66	1867500
20130628	37.62	38.27	37.62	38.04	2155700
20130627	37.60	37.88	37.41	37.82	1222400
20130626	37.50	37.72	37.28	37.32	1000100
20130625	37.43	37.53	36.93	37.18	1703100
20130624	36.93	37.30	36.45	36.71	1322200
20130621	37.37	37.59	36.96	37.05	2145900
20130620	38.06	38.06	37.28	37.29	1591300
20130619	39.07	39.37	38.46	38.48	790500
20130618	38.75	39.21	38.59	38.99	1000800
20130617	38.65	39.26	38.32	38.65	1890700
20130614	38.61	38.95	38.16	38.28	631700
20130613	37.67	38.66	37.47	38.57	889800
20130612	38.15	38.26	37.48	37.61	1072400
20130611	38.19	38.36	37.75	37.84	912100
20130610	38.63	38.77	38.36	38.48	1310900
20130607	38.42	38.89	38.26	38.62	1406100
20130606	37.89	38.50	37.80	38.29	1411700
20130605	38.62	38.62	37.66	37.78	1253900
20130604	38.97	39.18	38.31	38.49	1390000
20130603	39.02	39.21	38.48	39.00	1822600
20130531	38.86	39.38	38.84	39.03	1609000
20130530	39.18	39.35	38.86	39.03	1130300
20130529	39.25	39.64	39.10	39.36	1114500
