Date	Open	High	Low	Close	Volume
20130923	102.78	102.78	100.89	100.90	648600
20130920	102.05	102.60	101.13	101.84	1325200
20130919	103.10	103.21	101.94	101.94	367100
20130918	102.25	103.17	101.21	102.95	482400
20130917	101.34	102.26	101.03	101.91	364600
20130916	101.23	101.50	100.62	101.24	357500
20130913	100.54	100.86	99.83	100.37	275900
20130912	100.59	101.52	100.00	100.15	399500
20130911	99.76	101.35	99.59	101.05	360000
20130910	99.89	100.11	99.10	99.98	519900
20130909	98.65	99.56	98.36	99.52	465200
20130906	98.15	99.20	96.73	98.57	623200
20130905	93.09	97.91	92.69	97.70	340400
20130904	96.38	97.76	95.87	97.70	661300
20130903	97.86	99.15	96.07	96.54	647200
20130830	96.37	96.59	95.83	96.27	506300
20130829	95.74	96.89	94.81	96.36	494100
20130828	96.81	97.05	96.18	96.22	337000
20130827	97.69	98.22	96.37	96.50	432900
20130826	99.06	99.79	98.74	98.81	308300
20130823	99.60	99.90	99.19	99.47	586700
20130822	98.45	99.97	98.32	99.11	478900
20130821	98.48	99.24	98.05	98.30	378300
20130820	98.76	99.53	98.36	99.17	342900
20130819	99.21	100.04	98.52	98.82	569400
20130816	99.06	100.00	99.06	99.35	495300
20130815	100.08	100.14	98.94	99.23	784500
20130814	101.64	101.64	100.65	101.00	422000
20130813	101.41	102.23	100.58	101.54	251400
20130812	100.76	101.72	100.26	101.47	392400
20130809	101.11	101.60	100.43	101.12	282200
20130808	101.59	101.85	100.45	101.15	559500
20130807	100.93	101.21	100.10	100.96	598700
20130806	100.45	101.30	100.18	100.79	873000
20130805	97.78	100.52	97.70	100.35	875300
20130802	97.00	98.19	96.43	98.18	795900
20130801	96.58	97.41	96.30	96.88	944600
20130731	95.73	99.88	95.73	96.24	2434100
20130730	93.00	93.00	92.07	92.51	780200
20130729	92.38	92.89	92.02	92.40	506500
20130726	91.95	92.83	91.71	92.79	493600
20130725	91.76	92.83	91.57	92.71	338900
20130724	92.28	92.64	91.78	92.01	338300
20130723	93.64	93.64	91.22	91.88	389300
20130722	92.06	92.38	91.45	92.15	392000
20130719	91.61	91.94	91.11	91.78	612500
20130718	91.18	91.99	90.98	91.61	450800
20130717	91.47	91.77	90.80	90.96	382700
20130716	91.39	91.72	90.76	91.03	455400
20130715	90.85	91.82	90.62	91.24	462700
20130712	91.09	91.83	90.67	91.06	833800
20130711	90.95	91.37	90.68	91.14	540000
20130710	89.51	90.44	89.51	90.29	537100
20130709	89.95	90.11	89.38	89.47	653500
20130708	90.00	90.51	89.44	89.45	782500
20130705	88.46	89.51	88.08	88.96	396800
20130703	86.28	88.60	86.28	87.92	313500
20130702	86.94	87.98	86.61	86.85	425100
20130701	87.70	88.67	87.13	87.29	548600
20130628	87.32	88.19	86.85	87.41	1080100
20130627	87.01	88.16	86.74	88.06	486000
20130626	87.01	87.34	86.51	86.74	445600
20130625	86.11	86.65	85.06	86.42	353000
20130624	86.04	86.41	85.45	85.45	667600
20130621	86.49	86.97	84.99	86.50	1190200
20130620	87.38	87.38	85.98	86.03	549900
20130619	88.66	89.34	88.05	88.16	621900
20130618	87.67	88.73	87.67	88.64	435000
20130617	87.29	88.50	86.77	87.89	526200
20130614	87.99	87.99	86.60	86.98	437500
20130613	86.05	88.07	85.55	87.89	447300
20130612	87.17	87.40	85.93	85.93	475000
20130611	85.78	87.43	85.49	86.66	492500
20130610	86.55	86.63	85.96	86.42	481100
20130607	86.10	86.89	85.95	86.52	535100
20130606	85.37	85.67	84.60	85.48	586000
20130605	86.13	86.44	85.04	85.21	656600
20130604	87.51	87.59	85.94	86.31	820900
20130603	87.67	87.96	86.38	87.21	969500
20130531	88.21	88.96	87.05	87.16	1180300
20130530	87.77	88.78	87.72	88.50	722900
20130529	88.79	89.03	87.70	87.79	535100
20130528	88.70	89.62	88.51	89.39	420400
20130524	88.21	88.24	87.59	88.09	571000
20130523	89.09	89.44	88.68	88.80	493100
20130522	90.17	90.41	88.97	89.35	978900
20130521	90.11	90.73	89.85	90.00	523200
20130520	90.17	90.68	89.82	90.20	515100
20130517	89.63	90.60	89.18	90.59	599600
20130516	89.74	90.55	88.92	88.95	430300
20130515	89.73	90.30	89.35	90.26	478700
20130514	89.26	89.88	89.15	89.80	572800
20130513	89.63	89.86	89.09	89.39	346200
20130510	88.95	89.57	88.90	89.52	462800
20130509	88.78	89.56	88.76	88.99	544000
20130508	87.95	88.77	87.71	88.73	775300
20130507	86.52	88.13	86.40	88.00	970000
20130506	86.98	87.34	86.34	86.52	901600
20130503	87.00	87.14	86.61	86.80	1024600
20130502	87.27	87.65	86.25	86.30	1095300
20130501	86.83	89.50	86.72	86.93	1582800
20130430	90.78	91.16	90.40	91.11	831400
20130429	90.10	90.93	90.02	90.84	590300
20130426	90.29	90.61	89.93	90.13	504600
20130425	89.80	90.41	89.43	90.17	584200
20130424	88.23	89.40	87.95	89.33	390200
20130423	87.90	88.50	87.23	88.27	441200
20130422	87.49	87.88	86.37	87.67	319400
20130419	85.58	87.44	85.41	87.32	544800
20130418	86.86	87.16	85.60	86.00	365800
20130417	87.07	87.07	86.04	86.74	531800
20130416	86.01	87.53	85.54	87.48	523700
20130415	87.51	87.81	85.70	85.71	470500
20130412	87.86	88.08	87.28	87.83	445000
20130411	88.25	88.77	87.94	88.39	494800
20130410	86.21	88.39	86.10	88.35	593100
20130409	86.07	86.40	85.22	86.23	411600
20130408	84.72	85.66	84.71	85.66	286900
20130405	85.06	85.44	84.38	84.84	386900
20130404	86.03	86.51	85.81	86.24	358600
20130403	87.09	87.09	85.54	85.83	500400
20130402	87.32	87.49	86.74	87.05	379900
20130401	87.96	87.99	86.86	87.01	327900
20130328	86.13	87.91	86.10	87.86	704500
20130327	86.17	86.57	85.45	86.32	243300
20130326	86.38	86.78	85.81	86.52	285000
20130325	86.62	86.65	85.26	85.71	321900
20130322	85.75	86.16	85.34	86.09	359400
20130321	85.00	85.46	84.93	85.31	466800
20130320	85.73	85.98	85.17	85.76	334000
20130319	85.27	85.43	84.51	85.08	391200
20130318	84.63	85.31	84.61	85.02	567900
20130315	84.96	85.68	84.88	85.45	1044600
20130314	85.00	85.29	84.74	85.29	846700
20130313	84.97	84.98	84.44	84.87	285800
20130312	84.61	84.81	84.07	84.70	304700
20130311	84.50	84.85	84.40	84.69	273100
20130308	84.40	84.77	84.01	84.71	591800
20130307	84.07	84.58	83.62	84.07	656000
20130306	84.59	84.98	83.71	83.96	596000
20130305	82.96	84.60	82.88	84.59	894600
20130304	81.33	82.83	81.33	82.82	715100
20130301	82.08	82.14	81.18	81.50	687700
20130228	81.23	82.45	81.23	82.24	1321000
20130227	80.17	81.59	80.15	81.34	1344000
20130226	79.79	80.82	79.64	80.76	663200
20130225	80.26	81.18	79.51	79.59	779000
20130222	79.67	80.25	79.50	80.24	622800
20130221	80.41	80.46	79.28	79.50	612800
20130220	81.22	81.81	80.68	80.69	735300
20130219	80.76	81.37	80.76	81.02	919500
20130215	80.18	80.95	79.91	80.87	799700
20130214	80.30	80.63	79.63	80.16	696400
20130213	80.45	80.75	80.24	80.55	467000
20130212	80.58	80.90	80.37	80.54	520600
20130211	80.66	81.07	80.58	80.84	716000
20130208	80.10	80.68	79.97	80.48	639600
20130207	80.20	80.34	79.75	79.96	1177700
20130206	80.65	81.01	79.86	80.32	1040000
20130205	80.73	81.02	80.17	80.81	859900
20130204	80.76	81.13	80.06	80.09	647700
20130201	81.08	81.59	80.99	81.35	814300
20130131	81.09	81.24	80.23	80.31	513200
20130130	81.06	81.08	80.56	80.92	447500
20130129	80.78	81.13	80.52	80.94	613400
20130128	81.22	81.22	80.52	80.78	1008100
20130125	80.91	81.12	80.33	80.85	676300
20130124	81.19	81.96	80.24	80.40	989700
20130123	81.53	81.79	81.06	81.23	1135000
20130122	81.35	81.79	81.07	81.73	1111000
20130118	81.08	81.47	80.55	81.24	1064100
20130117	81.01	81.39	80.75	81.08	765400
20130116	80.32	80.74	79.92	80.47	1197100
20130115	79.03	81.30	79.03	80.47	3087100
