Date	Open	High	Low	Close	Volume
20130923	32.75	33.03	32.67	32.74	5864400
20130920	32.91	33.29	32.87	33.01	11680700
20130919	32.86	32.92	32.41	32.81	8086900
20130918	32.52	33.01	32.30	32.73	10120800
20130917	32.60	32.78	32.48	32.59	8954400
20130916	33.10	33.36	32.52	32.60	10750200
20130913	32.56	32.66	32.09	32.63	9180100
20130912	32.46	32.56	32.15	32.31	9198300
20130911	32.61	32.63	32.23	32.47	8337900
20130910	32.25	32.44	32.08	32.22	8393200
20130909	32.11	32.20	31.79	32.13	6165500
20130906	31.88	32.41	31.43	32.10	7272900
20130905	31.88	32.15	31.48	31.95	6264100
20130904	31.84	32.19	31.63	31.95	8258500
20130903	32.32	32.34	31.59	31.71	10975300
20130830	31.58	31.70	31.14	31.33	6514700
20130829	31.32	31.89	31.22	31.42	9552200
20130828	31.67	31.75	31.22	31.57	8633900
20130827	31.73	31.90	31.38	31.60	9588700
20130826	32.16	32.56	32.01	32.08	7939800
20130823	32.11	32.33	32.01	32.19	9010900
20130822	31.61	33.61	31.51	32.08	5742100
20130821	31.69	31.93	31.42	31.45	11422700
20130820	31.59	31.97	31.45	31.89	10865800
20130819	32.10	32.10	31.41	31.44	8998000
20130816	31.69	32.20	31.69	31.97	8386500
20130815	32.20	32.20	31.52	31.84	9567500
20130814	32.52	32.74	32.12	32.27	9055800
20130813	32.70	32.71	32.31	32.52	9872700
20130812	32.56	32.84	32.54	32.66	9447800
20130809	32.90	33.10	32.63	32.77	16200000
20130808	31.80	33.84	31.77	32.79	28237700
20130807	32.00	32.89	31.48	31.81	26365100
20130806	31.16	31.67	31.09	31.23	13260100
20130805	31.40	32.66	31.25	31.36	14242700
20130802	30.77	31.56	30.59	31.53	20084100
20130801	30.10	30.64	30.07	30.62	14062400
20130731	29.62	30.12	29.47	29.88	13379600
20130730	29.91	30.16	29.42	29.42	15675400
20130729	30.29	30.30	29.78	29.91	10686300
20130726	30.07	30.45	30.06	30.43	7218700
20130725	30.14	30.47	30.11	30.39	8224300
20130724	30.80	30.95	30.28	30.48	9384900
20130723	30.69	30.98	30.51	30.86	11195000
20130722	31.32	31.48	30.56	30.87	8973100
20130719	30.99	31.11	30.54	30.68	10240000
20130718	30.28	31.14	30.25	31.02	14420100
20130717	30.28	30.46	29.94	30.16	6300300
20130716	30.14	30.37	30.04	30.22	6888000
20130715	30.28	30.34	29.90	30.00	11607300
20130712	30.08	30.26	29.90	30.19	14667300
20130711	30.52	30.52	29.78	29.94	18499900
20130710	30.07	30.18	29.61	30.02	11901300
20130709	30.50	30.61	29.96	30.09	14498600
20130708	30.60	30.65	30.07	30.37	12226700
20130705	30.33	30.54	29.91	30.39	11705000
20130703	29.07	29.73	28.79	29.65	9751300
20130702	29.75	29.75	29.13	29.21	16680000
20130701	28.77	29.87	28.77	29.40	13386000
20130628	32.46	32.85	32.43	32.58	33634500
20130627	32.33	33.05	32.31	32.69	28726900
20130626	31.72	32.17	31.55	32.15	20456600
20130625	31.36	31.64	31.25	31.46	11915800
20130624	31.35	31.36	30.76	31.14	14275000
20130621	31.41	31.60	31.08	31.42	20990600
20130620	31.91	32.15	31.10	31.28	26736300
20130619	31.97	32.66	31.77	32.23	30612900
20130618	31.25	32.07	30.96	31.56	40646000
