Date	Open	High	Low	Close	Volume
20130923	83.98	84.27	77.17	79.43	6493200
20130920	84.44	85.23	83.20	84.16	3840600
20130919	86.71	87.16	84.15	84.32	2931400
20130918	85.88	87.44	84.00	86.61	2888600
20130917	84.35	85.92	84.30	85.85	1417500
20130916	85.31	86.39	84.30	84.51	1999200
20130913	83.95	84.81	83.17	84.29	1868900
20130912	85.37	85.90	83.26	83.58	1816600
20130911	84.75	86.48	84.04	85.00	3398200
20130910	86.56	86.75	83.13	83.78	4920700
20130909	83.02	86.51	82.72	86.44	3584100
20130906	85.25	85.53	81.70	82.14	4251200
20130905	87.24	87.93	84.83	84.88	3355500
20130904	85.21	87.17	83.80	86.30	5280600
20130903	87.38	88.50	84.40	85.16	5253300
20130830	88.57	88.71	85.71	86.31	3063100
20130829	86.92	89.66	86.67	88.78	3950300
20130828	83.93	88.27	83.40	86.66	5079100
20130827	84.52	86.31	83.28	83.95	3580000
20130826	85.45	88.63	84.50	86.44	4413000
20130823	83.10	85.95	82.80	85.61	4585600
20130822	83.39	83.75	81.65	82.72	2998100
20130821	82.76	84.41	80.84	83.39	10245800
20130820	80.27	83.77	79.86	82.77	6112300
20130819	76.66	80.40	76.23	79.46	5217200
20130816	74.70	77.25	74.23	76.38	4553000
20130815	76.15	76.35	73.58	73.93	4108200
20130814	78.64	78.85	77.10	77.28	2487300
20130813	79.03	79.13	77.64	78.64	1985000
20130812	77.56	79.13	77.44	78.59	2689800
20130809	75.71	78.90	75.67	78.17	3975800
20130808	73.50	79.60	72.49	76.48	12762500
20130807	81.02	81.10	78.51	79.26	7275200
20130806	81.12	82.51	79.85	81.32	4954300
20130805	77.59	81.52	75.43	81.10	7286400
20130802	78.10	78.65	76.33	78.11	2547400
20130801	78.00	79.19	76.80	78.49	3535200
20130731	76.48	77.95	75.80	77.20	2058600
20130730	74.50	76.95	74.30	75.96	1886600
20130729	75.41	76.10	74.30	75.03	1815100
20130726	74.28	76.18	73.71	75.33	2344700
20130725	74.79	74.86	71.42	73.79	2741900
20130724	75.50	75.68	73.91	74.56	1835700
20130723	76.00	76.33	74.10	74.36	1831500
20130722	73.40	75.84	72.41	75.58	3056800
20130719	73.80	74.32	72.61	73.62	3167900
20130718	72.25	74.78	72.20	73.86	4147800
20130717	71.90	73.00	71.73	72.23	3105800
20130716	73.37	75.89	71.73	72.01	4981700
20130715	68.85	73.36	68.72	73.19	5492900
20130712	70.66	71.35	68.22	68.88	4575000
20130711	71.50	71.50	67.51	70.74	8426200
20130710	73.09	73.24	67.79	70.09	8224800
20130709	74.46	74.87	72.38	72.94	2624800
20130708	73.16	74.32	72.52	73.94	2068800
20130705	73.48	74.45	71.71	72.83	2045800
20130703	72.33	73.85	72.11	72.39	1864900
20130702	76.49	76.55	71.02	72.61	5958800
20130701	75.74	78.31	75.68	77.14	3251600
20130628	73.87	76.09	73.53	75.22	3893200
20130627	76.52	77.29	73.26	73.84	4031500
20130626	74.68	76.20	74.68	75.61	2582900
20130625	74.23	75.50	73.18	73.80	2279200
20130624	73.23	74.29	71.50	73.33	3102300
20130621	79.02	79.47	73.20	74.42	5997200
20130620	81.02	82.00	77.81	78.32	3559400
20130619	79.48	82.95	79.15	81.78	4308900
20130618	79.55	79.85	78.30	79.30	1604700
20130617	78.87	80.93	78.87	79.41	2956300
20130614	78.40	79.94	77.35	78.38	2981200
20130613	76.35	78.63	75.15	78.40	2983500
20130612	76.76	77.38	75.90	76.73	2053400
20130611	76.56	77.55	75.46	76.35	2033100
20130610	77.61	78.99	76.56	77.99	3018600
20130607	75.58	76.39	74.10	76.09	3134100
20130606	74.35	75.57	73.67	74.68	4069300
20130605	72.92	73.84	72.26	72.75	1780300
20130604	73.63	74.83	72.46	73.70	3287000
20130603	73.30	73.41	70.57	73.31	3026500
20130531	73.23	75.82	72.50	73.13	3509400
20130530	73.49	74.50	73.07	73.70	2526700
20130529	72.31	74.84	72.00	74.25	3396300
20130528	73.91	74.85	71.70	73.00	4123800
20130524	72.30	72.90	70.09	71.90	3694500
20130523	74.02	74.48	69.35	72.93	8026800
20130522	80.02	80.70	74.09	76.25	4524000
20130521	80.48	81.68	79.00	80.01	3754200
20130520	79.59	81.64	78.55	80.22	4450000
20130517	79.42	80.13	78.27	79.61	4354400
20130516	79.37	81.70	79.24	79.50	4803500
20130515	78.03	79.98	77.65	79.58	4274500
20130514	76.88	81.50	76.66	78.39	8651500
20130513	76.09	77.56	75.25	77.38	5765400
20130510	75.52	77.52	73.55	77.22	9804800
20130509	67.92	76.99	67.00	76.04	26218400
20130508	58.94	59.48	57.76	59.48	8942500
20130507	59.16	59.55	58.12	58.56	3157400
20130506	58.52	59.56	58.13	58.78	2950100
20130503	57.77	59.62	57.76	58.08	3304500
20130502	57.41	58.18	57.01	57.35	3124800
20130501	57.09	57.53	55.69	57.09	2929100
20130430	56.27	57.50	56.01	57.40	2330400
20130429	55.70	57.19	55.45	56.47	2242000
20130426	56.50	57.23	55.31	55.56	2252000
20130425	57.42	57.90	56.44	56.55	2231900
20130424	56.54	58.30	56.26	56.91	2631300
20130423	55.57	57.50	55.35	56.19	2934500
20130422	55.13	55.75	53.56	55.12	1899800
20130419	54.83	56.04	54.57	55.01	2002200
20130418	55.72	56.14	53.82	54.46	1815200
20130417	56.52	56.70	53.87	55.44	2180500
20130416	55.79	57.32	55.00	56.98	2345400
20130415	57.30	57.44	54.41	54.66	2735100
20130412	57.62	58.08	56.90	57.44	1453200
20130411	57.24	58.43	57.21	58.22	2379700
20130410	55.43	57.75	55.26	57.11	3214800
20130409	55.00	55.96	54.90	55.26	2185300
20130408	53.07	55.09	53.07	54.82	2322500
20130405	53.99	54.18	52.58	53.23	3253300
20130404	54.05	55.60	52.73	54.97	3381700
20130403	57.49	58.10	53.51	54.14	4408900
20130402	57.96	58.84	56.98	57.61	2622200
20130401	57.48	59.30	56.38	57.47	4637600
20130328	55.95	57.00	55.78	56.76	2699200
20130327	55.26	56.26	55.10	55.88	1898900
20130326	55.68	55.92	54.76	55.83	1436800
20130325	55.50	55.85	54.70	55.62	1825500
20130322	55.89	56.30	55.40	55.43	1747900
20130321	55.62	56.43	54.72	55.59	2103100
20130320	56.22	56.63	55.51	55.85	3909900
20130319	55.55	57.00	55.08	56.19	4177100
20130318	53.99	55.12	53.33	55.06	1974100
20130315	53.87	54.66	53.58	54.22	2519700
20130314	54.52	54.53	52.90	53.67	2701200
20130313	54.42	54.89	54.08	54.61	2408900
20130312	53.59	54.61	53.30	54.60	3253900
20130311	52.79	54.00	52.36	53.99	3147900
20130308	52.25	53.32	51.41	52.87	4467000
20130307	50.00	51.65	49.84	51.56	5460800
20130306	48.53	49.34	48.38	49.18	1995100
20130305	48.53	48.75	48.04	48.41	2510700
20130304	48.71	49.71	47.40	47.92	4209600
20130301	47.65	49.45	47.12	48.91	4788300
20130228	46.62	48.35	46.52	47.75	4722600
20130227	45.33	46.98	45.33	46.78	3606500
20130226	44.09	45.65	43.01	45.40	3922700
20130225	45.56	45.97	44.00	44.01	2319700
20130222	46.00	46.10	45.11	45.53	1673000
20130221	45.60	46.24	44.71	45.87	4068700
20130220	45.65	46.55	45.23	45.76	4111400
20130219	44.40	45.57	44.37	45.35	2855000
20130215	45.65	46.61	44.20	44.39	5026400
20130214	44.18	46.57	43.96	45.56	5463400
20130213	43.52	44.42	43.30	44.32	3652900
20130212	43.23	43.71	42.25	43.66	5002300
20130211	43.92	44.91	42.70	43.12	8349300
20130208	46.66	46.75	44.76	45.16	6309700
20130207	44.66	47.55	43.85	46.32	18430600
20130206	47.54	49.10	46.68	48.94	11083500
20130205	47.10	48.70	47.00	47.50	6932900
20130204	46.50	47.35	45.62	46.70	3732000
20130201	46.00	47.62	44.77	46.92	6652000
20130131	44.51	45.65	43.82	45.53	4449200
20130130	44.28	45.55	44.01	44.56	4482900
20130129	45.19	45.25	43.04	43.28	4800500
20130128	46.55	46.75	44.95	45.26	3769500
20130125	44.77	46.37	44.11	46.31	7202800
20130124	41.19	44.88	41.00	43.78	8015500
20130123	41.25	41.45	40.49	41.08	2592400
20130122	40.40	41.65	40.40	41.13	3456900
20130118	40.76	41.25	40.38	40.60	2729200
20130117	39.59	40.98	38.94	40.88	3320900
