Date	Open	High	Low	Close	Volume
20130923	73.37	74.54	72.31	72.46	826500
20130920	75.63	76.05	73.32	73.38	2335500
20130919	78.62	79.23	75.84	76.86	1801000
20130918	72.15	79.94	71.21	79.19	1840400
20130917	72.66	73.69	72.00	73.60	773500
20130916	71.47	72.42	71.17	71.77	928400
20130913	70.67	71.80	69.91	71.54	1038600
20130912	70.98	71.68	69.79	69.92	1012300
20130911	72.96	73.65	71.80	73.53	970500
20130910	75.60	75.62	72.64	73.43	1380400
20130909	77.99	78.10	76.10	76.40	671600
20130906	78.34	78.70	77.56	77.90	687600
20130905	79.45	79.68	77.40	77.87	648200
20130904	78.76	80.06	78.60	80.03	691900
20130903	79.68	80.43	78.71	79.06	701600
20130830	78.88	79.19	77.60	78.02	607100
20130829	78.47	80.60	77.76	79.33	1086700
20130828	80.19	81.57	77.43	78.08	1089200
20130827	81.80	84.61	78.60	78.78	1758700
20130826	81.12	81.75	80.10	81.10	446100
20130823	79.13	81.36	78.62	80.95	1332200
20130822	78.44	79.51	78.28	78.63	411000
20130821	78.68	79.46	77.26	77.46	756000
20130820	78.48	80.80	78.37	80.38	682100
20130819	79.48	79.96	77.84	78.19	884900
20130816	81.46	81.92	79.46	80.25	1402800
20130815	75.62	79.74	75.36	79.29	1104200
20130814	74.96	77.33	74.96	76.92	1012300
20130813	75.38	75.97	74.29	74.57	1034900
20130812	74.59	75.68	74.19	74.66	1066600
20130809	71.28	74.55	70.86	73.15	1480500
20130808	67.44	70.64	67.44	70.41	1204200
20130807	67.56	68.03	66.05	66.21	835800
20130806	69.22	69.34	66.74	66.74	1047200
20130805	71.94	72.34	71.03	71.27	790300
20130802	72.48	72.64	70.47	70.58	844500
20130801	75.10	75.27	72.58	72.65	1179100
20130731	72.36	75.41	72.15	74.27	1174600
20130730	73.16	73.74	72.50	72.90	741000
20130729	73.71	74.53	73.00	73.37	763200
20130726	71.68	73.31	71.02	73.31	844700
20130725	71.46	72.90	71.37	71.72	958700
20130724	73.60	73.84	70.56	71.73	1068200
20130723	74.10	74.96	73.26	74.30	1290500
20130722	71.80	74.60	71.80	73.63	1561500
20130719	68.68	70.37	68.59	70.33	1232300
20130718	67.62	68.39	67.06	67.15	1118000
20130717	69.35	69.78	67.22	67.37	1358700
20130716	66.00	69.10	65.98	69.01	1266900
20130715	65.33	65.76	64.22	64.64	850900
20130712	66.26	66.93	65.53	66.25	1255100
20130711	65.45	68.00	65.05	67.88	2033700
20130710	61.45	61.67	60.17	60.70	881900
20130709	62.97	63.24	61.19	61.98	997900
20130708	61.83	62.38	60.90	61.13	748000
20130705	61.94	62.05	60.42	61.88	1228200
20130703	63.72	64.72	63.18	64.46	584100
20130702	63.37	63.78	61.75	62.70	917700
20130701	63.82	64.62	62.87	64.13	1100100
20130628	60.66	64.97	60.45	64.00	1870800
20130627	61.67	62.80	61.25	62.04	1194200
20130626	61.13	61.84	60.44	60.48	1390300
20130625	62.89	65.02	62.23	63.73	1162200
