Date	Open	High	Low	Close	Volume
20130923	896.15	901.59	885.20	886.50	1777400
20130920	898.39	904.13	895.62	903.11	4345300
20130919	905.99	905.99	895.40	898.39	1597900
20130918	886.35	903.97	883.07	903.32	1934700
20130917	887.41	888.39	881.00	886.11	1259400
20130916	896.20	897.00	884.87	887.76	1336500
20130913	894.50	895.68	884.84	889.07	1325400
20130912	897.40	897.90	890.01	893.06	1095500
20130911	888.54	896.97	886.08	896.19	1610600
20130910	890.02	892.00	884.00	888.67	1287600
20130909	883.73	889.75	882.42	888.05	1234600
20130906	882.44	883.78	873.74	879.58	1561600
20130905	873.50	879.88	871.61	879.56	1291300
20130904	860.35	873.50	855.17	871.63	2041200
20130903	854.36	866.19	853.95	860.38	2047600
20130830	855.76	858.04	845.56	846.90	1861600
20130829	849.07	860.38	848.59	855.43	1478500
20130828	850.25	855.41	847.77	848.55	1329900
20130827	859.62	863.73	847.90	850.15	1734100
20130826	870.00	874.90	866.05	866.39	1052500
20130823	877.83	878.00	869.75	870.21	1077100
20130822	872.70	874.75	870.25	873.71	869900
20130821	870.65	876.91	866.50	869.33	1757300
20130820	868.35	872.11	863.54	865.42	1233000
20130819	857.71	872.00	857.45	865.65	1810900
20130816	861.28	862.44	856.54	856.91	1675100
20130815	864.44	864.92	858.00	859.66	1869200
20130814	878.37	880.23	867.16	869.81	2082200
20130813	886.83	888.50	876.20	881.25	1419800
20130812	886.90	887.00	881.65	885.51	1377000
20130809	890.56	895.52	890.00	890.41	1323700
20130808	895.49	895.84	885.29	892.66	1488000
20130807	895.04	898.45	889.09	890.65	1379200
20130806	904.69	909.71	895.73	896.57	1506100
20130805	905.39	905.52	899.20	905.00	1309700
20130802	903.44	907.00	900.82	906.57	1713900
20130801	895.00	904.55	895.00	904.22	2138400
20130731	892.99	896.51	886.18	887.75	2173500
20130730	885.46	895.61	880.87	890.92	1755600
20130729	884.90	894.82	880.89	882.27	1891900
20130726	886.99	889.99	882.00	885.35	1777700
20130725	893.87	896.85	886.08	887.70	3001100
20130724	907.26	910.30	900.70	902.90	2078500
20130723	910.70	913.00	899.57	903.80	2045700
20130722	902.00	912.67	897.00	910.70	2903200
20130719	886.61	902.95	875.61	896.60	7359300
20130718	918.99	920.00	903.19	910.68	3634500
20130717	921.00	926.86	916.30	918.55	1506100
20130716	927.13	927.97	913.90	919.61	1983000
20130715	924.30	928.00	916.36	924.69	1960500
20130712	920.00	923.00	915.24	923.00	2568200
20130711	913.00	920.81	908.52	920.24	2584200
20130710	903.45	911.14	900.38	905.99	1708400
20130709	911.00	912.95	897.98	905.24	1979400
20130708	899.21	906.27	897.08	905.09	1969500
20130705	890.01	895.41	887.34	893.49	1701900
20130703	879.90	889.17	878.50	886.43	1047000
20130702	890.20	891.00	877.27	882.31	1891500
20130701	886.45	892.08	885.00	887.88	1724800
20130628	874.90	881.84	874.19	880.37	2349300
20130627	878.80	884.69	876.65	877.07	1926500
20130626	873.75	878.00	870.57	873.65	1831400
20130625	877.26	879.68	864.51	866.20	2553200
20130624	871.88	876.32	863.25	869.79	3016900
20130621	888.34	889.88	873.07	880.93	3982300
20130620	893.99	901.00	883.31	884.74	3372000
20130619	901.37	910.84	897.50	900.68	2915900
20130618	888.65	901.00	888.35	900.62	2166900
20130617	879.23	889.43	878.28	886.25	2146300
20130614	880.10	884.70	874.13	875.04	2245000
20130613	868.98	879.66	865.50	877.00	2069900
20130612	885.46	886.00	869.65	871.98	2204800
20130611	883.97	887.00	879.52	879.81	1757600
20130610	882.10	891.00	880.09	890.22	2337800
20130607	870.42	880.00	865.32	879.73	2674600
20130606	864.30	866.33	847.22	864.64	2579100
20130605	862.51	869.45	857.13	859.70	2106800
20130604	867.85	870.59	854.07	859.10	1868600
20130603	873.00	873.97	855.02	867.63	2475700
20130531	868.12	877.00	867.52	871.22	1969400
20130530	869.92	878.90	866.41	870.76	2120700
20130529	875.71	877.99	864.29	868.31	2013400
20130528	883.50	892.14	880.40	881.27	2257500
20130524	875.26	878.82	871.01	873.32	2296800
20130523	877.00	889.96	874.00	882.79	2275100
20130522	902.56	909.31	886.88	889.42	2560600
20130521	908.02	911.66	897.61	906.97	1983000
20130520	905.00	920.60	905.00	908.53	2272700
20130517	910.02	913.49	900.52	909.18	2792000
20130516	919.00	919.98	902.01	903.87	3209600
20130515	895.50	916.38	894.02	915.89	3985900
20130514	877.50	888.69	877.14	887.10	1579300
20130513	878.89	882.47	873.38	877.53	1448500
20130510	875.31	880.54	872.16	880.23	1897700
20130509	870.84	879.66	868.23	871.48	2200600
20130508	857.00	873.88	852.91	873.63	2468300
20130507	863.01	863.87	850.67	857.23	1959000
20130506	848.26	861.85	848.26	861.55	2141300
20130503	836.96	846.80	836.00	845.72	2512600
20130502	820.10	834.55	819.05	829.61	2018300
20130501	823.26	824.72	816.36	820.43	1455000
20130430	819.00	827.64	817.68	824.57	2306700
20130429	803.25	822.70	803.00	819.06	2300800
20130426	807.60	807.74	796.58	801.42	2487700
20130425	816.25	816.47	807.63	809.10	1992200
20130424	808.11	818.00	808.00	813.45	1829100
20130423	801.00	815.50	800.36	807.90	2292300
20130422	800.60	803.96	775.00	800.11	2883400
20130419	769.16	803.44	766.26	799.87	5803200
20130418	785.35	785.80	761.26	765.91	3322500
20130417	786.75	790.84	778.10	782.56	2037000
20130416	786.59	796.00	783.92	793.37	1742000
20130415	785.95	797.00	777.02	781.93	2453100
20130412	791.99	792.10	782.93	790.05	1636700
20130411	792.88	793.10	784.06	790.39	2028700
20130410	782.92	792.35	776.00	790.18	1978600
20130409	775.50	783.75	773.11	777.65	2157300
20130408	778.75	779.55	768.40	774.85	2832100
20130405	786.06	786.99	776.40	783.05	3433900
20130404	804.25	805.75	791.30	795.07	2447600
20130403	813.46	814.20	800.67	806.20	1738500
20130402	804.54	814.83	804.00	813.04	2041500
20130401	795.01	802.25	793.25	801.19	1807300
20130328	803.99	805.37	793.30	794.19	2287800
20130327	806.68	807.00	801.33	802.66	2163200
20130326	813.50	814.00	807.79	812.42	1191900
20130325	812.41	819.23	806.82	809.64	1712000
20130322	814.74	815.24	809.64	810.31	1488200
20130321	811.29	816.92	809.85	811.26	1477600
20130320	816.83	817.51	811.44	814.71	1463800
20130319	811.24	819.25	806.45	811.32	2098200
20130318	805.00	812.76	801.47	807.79	1838300
20130315	818.50	820.30	813.34	814.30	3099700
20130314	826.99	826.99	817.39	821.54	1651200
20130313	827.90	830.69	822.31	825.31	1641300
20130312	830.71	831.89	823.67	827.61	2008300
20130311	831.69	839.70	831.50	834.82	1594700
20130308	834.50	834.92	825.05	831.52	2911900
20130307	834.06	836.62	829.58	832.60	2052700
20130306	841.03	844.00	828.81	831.38	2873000
20130305	828.93	840.15	828.90	838.60	4044100
20130304	805.30	822.84	805.00	821.50	2775600
20130301	797.80	807.14	796.15	806.19	2175400
20130228	801.10	806.99	801.03	801.20	2265800
20130227	794.80	804.75	791.11	799.78	2026100
20130226	795.00	795.95	784.40	790.13	2202500
20130225	802.30	808.41	790.49	790.77	2303900
20130222	799.26	801.25	793.80	799.71	2053900
20130221	798.00	805.45	791.22	795.53	3506400
20130220	805.30	808.97	791.79	792.46	2764200
20130219	795.99	807.00	795.28	806.85	2931800
20130215	787.40	793.26	787.07	792.89	2729800
20130214	779.73	788.74	777.77	787.82	1735300
20130213	780.13	785.35	779.97	782.86	1198200
20130212	781.75	787.90	779.37	780.70	1859000
20130211	778.40	783.00	773.75	782.42	2167700
20130208	780.13	786.67	779.56	785.37	3020100
20130207	769.70	778.81	765.50	773.95	2840200
20130206	759.07	772.96	758.50	770.17	2078100
20130205	761.13	771.11	759.47	765.74	1870700
20130204	767.69	770.47	758.27	759.02	3040500
20130201	758.20	776.60	758.10	775.60	3746100
20130131	750.51	757.62	750.25	755.69	1634200
20130130	753.74	760.95	752.91	753.83	1733000
20130129	746.75	756.95	746.54	753.68	1747100
20130128	751.76	755.60	747.89	750.73	1627100
20130125	750.77	758.48	750.25	753.67	2225900
20130124	741.24	756.83	740.51	754.21	3382700
20130123	735.99	749.00	735.79	741.50	5909100
20130122	704.66	705.34	695.52	702.87	3792400
20130118	710.36	712.77	701.33	704.51	3226800
20130117	717.71	719.64	711.02	711.32	2211500
20130116	722.40	724.34	713.67	715.19	2023400
20130115	719.33	735.00	712.10	724.93	3927700
20130114	737.00	742.20	722.35	723.25	2863900
20130111	742.00	742.43	736.30	739.99	1285200
20130110	742.83	745.00	733.50	741.48	1835700
20130109	732.27	738.35	728.60	738.12	2024700
20130108	735.54	736.30	724.43	733.30	1676100
20130107	735.45	739.38	730.58	734.75	1655700
20130104	729.34	741.47	727.68	737.97	2763500
20130103	724.93	731.93	720.72	723.67	2318200
20130102	719.42	727.00	716.55	723.25	2541300
20121231	700.00	710.57	696.00	707.38	1997400
20121228	701.69	706.91	700.01	700.01	1402000
20121227	707.14	708.84	698.61	706.29	1647400
20121226	708.07	712.88	702.41	708.87	1182400
20121224	714.51	715.18	707.47	709.50	840900
20121221	713.97	718.82	710.52	715.63	3526000
20121220	723.26	724.65	716.97	722.36	1657000
20121219	720.71	723.00	716.68	720.11	1918600
20121218	716.60	729.10	715.05	721.07	3004900
20121217	705.50	721.92	704.02	720.78	3035400
20121214	699.17	707.82	698.43	701.96	2130100
20121213	715.92	716.47	699.55	702.70	3444900
20121212	699.23	703.51	693.48	697.56	2426000
20121211	690.00	701.92	687.72	696.88	2687600
20121210	685.39	691.65	683.79	685.42	1366700
20121207	695.00	696.88	682.42	684.21	1919300
20121206	687.59	695.61	684.51	691.13	1462300
