Date	Open	High	Low	Close	Volume
20130923	43.62	43.83	42.93	43.55	1352500
20130920	45.02	45.02	43.51	43.61	4374800
20130919	44.73	45.22	44.45	44.98	1584300
20130918	44.47	45.33	44.33	44.73	1593600
20130917	43.25	44.86	43.19	44.42	2453500
20130916	43.16	43.29	42.84	43.12	953100
20130913	42.65	42.74	42.19	42.70	1304500
20130912	42.82	42.82	42.11	42.40	1347900
20130911	42.71	43.61	42.67	43.23	1876200
20130910	42.32	42.77	42.30	42.65	1568300
20130909	41.98	42.22	41.80	42.14	1667400
20130906	42.51	42.51	41.46	41.77	2082000
20130905	42.27	42.60	42.00	42.19	1392600
20130904	41.53	42.31	41.34	42.30	2333600
20130903	41.38	41.82	41.08	41.46	1810200
20130830	41.23	41.27	40.43	40.77	1767200
20130829	39.48	42.41	39.42	41.23	3937700
20130828	39.70	39.90	39.39	39.51	944400
20130827	39.98	40.19	39.50	39.73	1015000
20130826	40.60	40.82	40.26	40.42	1095500
20130823	40.74	40.91	40.41	40.60	1307000
20130822	40.41	40.84	40.41	40.64	1240200
20130821	38.67	40.94	38.57	40.28	2963700
20130820	38.24	38.60	37.91	38.45	922200
20130819	37.91	38.29	37.71	38.07	1178500
20130816	38.32	38.35	37.65	37.78	866700
20130815	38.56	38.58	38.12	38.28	758000
20130814	38.98	39.07	38.84	38.87	508500
20130813	39.46	39.68	38.94	39.03	828500
20130812	38.78	39.96	38.74	39.50	1128000
20130809	39.08	39.38	38.81	38.88	476000
20130808	39.36	39.42	38.97	39.01	494600
20130807	39.31	39.45	38.75	38.94	631900
20130806	39.60	39.74	39.00	39.24	887100
20130805	39.76	40.19	39.58	39.68	894400
20130802	39.94	39.99	39.62	39.82	688500
20130801	40.12	40.25	39.55	39.94	1475700
20130731	38.55	40.19	37.90	40.08	4536800
20130730	37.13	37.50	36.98	37.26	1935300
20130729	36.71	37.20	36.60	36.86	1387700
20130726	36.94	36.99	36.57	36.83	711600
20130725	36.77	37.37	36.74	37.21	962000
20130724	37.67	37.67	36.84	36.91	1058400
20130723	37.57	37.65	37.40	37.50	1181100
20130722	37.00	37.67	36.72	37.56	1492100
20130719	36.58	36.81	36.42	36.70	647100
20130718	36.57	36.84	36.41	36.52	552300
20130717	36.49	36.71	36.17	36.35	672300
20130716	36.90	36.98	36.23	36.43	782500
20130715	36.45	36.98	36.18	36.90	904300
20130712	35.98	36.31	35.65	36.31	1115300
20130711	36.17	36.76	36.00	36.06	1661500
20130710	35.18	35.82	35.13	35.78	1207300
20130709	35.36	35.48	35.14	35.17	816500
20130708	35.64	35.67	34.93	34.96	723100
