Date	Open	High	Low	Close	Volume
20130923	66.59	66.97	66.32	66.41	1885400
20130920	66.64	67.34	66.50	66.84	7165800
20130919	66.06	66.55	65.74	66.42	3126000
20130918	65.28	66.20	65.09	66.08	3015000
20130917	66.07	66.66	65.82	66.30	1730600
20130916	66.79	66.87	65.77	65.91	2081200
20130913	65.80	66.06	65.48	65.95	1502100
20130912	66.11	66.11	65.44	65.45	2353800
20130911	66.39	66.73	66.11	66.32	1890200
20130910	65.94	66.33	65.53	66.32	1618400
20130909	64.45	65.59	64.25	65.45	2007800
20130906	64.06	64.95	63.54	64.45	1921500
20130905	64.36	64.57	64.02	64.18	1393000
20130904	64.06	64.70	63.71	64.16	2815000
20130903	63.80	64.60	63.59	63.75	1796500
20130830	63.85	63.94	63.31	63.53	1455000
20130829	63.15	63.88	62.89	63.59	1547200
20130828	63.92	63.99	63.25	63.40	3205800
20130827	63.51	63.96	63.25	63.71	3077600
20130826	61.50	65.11	61.50	64.32	2693300
20130823	63.56	64.35	63.25	64.18	2311000
20130822	63.12	63.68	62.61	63.61	1600100
20130821	62.74	64.00	62.62	63.02	3115800
20130820	63.33	63.69	63.08	63.14	2328100
20130819	64.02	64.28	63.35	63.42	1308900
20130816	63.79	64.41	63.66	64.24	1814200
20130815	64.06	64.41	63.67	63.83	1637800
20130814	65.01	65.08	64.29	64.77	1301500
20130813	64.80	65.32	64.24	65.00	1177900
20130812	64.51	64.84	64.01	64.67	1088800
20130809	63.91	64.69	63.91	64.45	1567200
20130808	64.47	64.47	63.82	64.20	2148000
20130807	63.35	64.47	63.35	64.12	2088600
20130806	63.71	63.92	63.38	63.65	1178900
20130805	63.79	64.22	63.73	63.92	1326600
20130802	64.18	64.31	63.34	63.89	1771200
20130801	64.23	64.76	63.76	64.49	1702300
20130731	63.64	64.20	63.44	63.92	1193600
20130730	63.63	63.98	63.26	63.34	1146800
20130729	63.56	64.53	63.39	63.54	1692100
20130726	63.03	63.96	62.74	63.92	1694100
20130725	63.12	63.39	62.90	63.17	1737100
20130724	64.19	64.65	63.06	63.11	1927400
20130723	65.24	65.24	63.65	63.77	1293500
20130722	64.40	64.71	64.02	64.41	1110600
20130719	64.46	64.78	63.94	64.08	2075700
20130718	64.97	65.73	64.84	64.87	1650300
20130717	65.00	65.32	64.81	65.01	1889000
20130716	64.94	65.18	64.69	64.88	1585200
20130715	64.58	64.84	64.35	64.83	2251600
20130712	64.46	64.85	64.22	64.72	1884200
20130711	63.68	64.42	63.64	64.38	1871100
20130710	63.27	63.50	63.06	63.36	1564900
20130709	63.28	63.56	63.10	63.24	1639900
20130708	62.72	63.34	62.29	62.97	2538400
20130705	61.59	62.70	61.59	62.55	1589600
20130703	62.02	62.70	61.89	62.38	1615300
20130702	62.88	63.05	61.53	62.37	3928800
20130701	62.10	63.83	61.90	63.15	4443200
20130628	60.30	61.37	60.19	61.04	3500300
20130627	59.88	61.37	59.88	60.79	2831700
20130626	59.20	59.76	58.75	59.45	3122700
20130625	57.82	59.04	57.57	58.81	3350800
20130624	57.78	58.00	56.74	57.51	1952200
20130621	58.05	58.22	57.17	57.86	2572100
20130620	58.00	58.58	57.75	57.85	2199600
20130619	58.52	59.08	58.35	58.44	2079600
20130618	57.93	58.79	57.93	58.70	2710400
20130617	57.78	58.15	57.19	58.03	2262300
20130614	57.89	58.22	57.29	57.50	1456400
20130613	57.59	58.09	57.17	57.97	2423500
20130612	58.21	58.21	57.50	57.78	1327800
20130611	58.31	58.63	57.63	57.73	2427500
20130610	59.44	59.62	58.61	58.97	2112100
20130607	58.83	59.71	58.54	59.46	2852300
20130606	57.79	58.46	57.48	58.45	2485400
20130605	57.01	57.87	57.01	57.57	3088800
20130604	58.05	58.53	57.57	57.78	2138900
20130603	58.45	58.69	57.60	58.07	2645100
20130531	58.98	59.50	58.30	58.44	2534700
20130530	58.82	59.62	58.82	59.33	2261100
20130529	58.69	59.62	58.29	59.25	3255000
20130528	58.41	59.31	58.00	59.11	2773600
20130524	58.14	58.43	57.39	57.90	4359400
20130523	58.12	59.21	57.33	58.76	4314700
20130522	58.94	60.95	58.05	58.59	7938200
20130521	59.64	60.00	57.78	57.89	5136400
20130520	60.34	60.75	59.52	59.64	1727000
20130517	59.96	60.83	59.47	60.63	2247700
20130516	60.41	60.90	59.84	59.85	2417400
20130515	59.14	60.86	59.01	60.59	3318100
20130514	59.14	59.57	58.87	59.11	2114100
20130513	59.89	59.97	58.93	58.99	2206000
20130510	59.54	60.22	59.28	60.20	2401400
20130509	59.65	60.26	58.88	59.00	3915200
20130508	60.29	60.55	60.02	60.49	2067300
20130507	60.58	60.70	60.17	60.56	1543400
20130506	60.76	60.98	60.13	60.75	2033500
20130503	60.67	60.75	60.11	60.26	2367400
20130502	59.91	60.64	59.33	60.07	2343800
20130501	59.51	60.47	59.25	59.97	2485000
20130430	60.82	60.82	59.11	59.64	5255700
20130429	59.50	61.10	59.38	60.94	4182700
20130426	57.00	59.80	56.81	59.35	9119200
20130425	55.75	57.97	55.54	57.09	15922300
20130424	64.29	64.60	63.69	64.19	1525800
20130423	63.32	64.25	63.13	63.98	1687500
20130422	63.09	63.24	62.11	62.86	1601200
20130419	62.08	63.17	61.85	62.97	2824400
20130418	63.31	63.31	62.19	62.51	2059400
20130417	63.79	63.88	62.54	63.04	2050700
20130416	63.16	64.24	63.07	64.22	1989600
20130415	64.54	64.61	63.02	63.08	1769300
20130412	65.15	65.17	64.27	64.70	1368600
20130411	64.95	65.30	64.72	64.93	1568500
20130410	64.00	65.00	63.76	64.82	1090000
20130409	64.14	64.14	63.18	63.80	2261800
20130408	64.52	64.52	63.52	63.84	1106000
20130405	63.68	64.56	63.00	64.46	1490200
20130404	64.67	64.86	64.14	64.71	906300
20130403	65.28	65.38	64.42	64.59	1333800
20130402	65.50	66.11	65.18	65.38	1705900
20130401	65.66	65.94	64.86	65.10	1443700
20130328	65.19	65.70	65.10	65.66	1911200
20130327	66.21	66.22	64.99	65.47	1083000
20130326	65.28	65.93	65.00	65.73	1987800
20130325	65.60	65.75	64.74	64.84	2343000
20130322	65.31	65.89	64.91	65.54	1339200
20130321	64.75	65.53	64.31	65.30	2608100
20130320	65.76	65.97	65.08	65.17	1688300
20130319	65.37	65.63	64.67	65.29	1851600
20130318	64.88	65.64	64.60	65.41	1259400
20130315	65.98	66.34	65.42	65.43	2502600
20130314	66.60	66.70	66.00	66.18	2778000
20130313	66.61	66.81	66.21	66.25	1685500
20130312	66.52	66.82	66.20	66.36	1555000
20130311	66.80	67.23	66.10	66.56	3188200
20130308	67.92	68.27	67.29	67.75	1882300
20130307	67.99	68.20	67.63	67.93	1496000
20130306	67.99	68.41	67.77	67.99	2242000
20130305	66.57	67.91	66.43	67.88	2678200
20130304	64.87	66.29	64.76	66.27	2519400
20130301	64.04	65.11	63.78	65.04	2307300
20130228	63.76	64.66	63.70	64.47	2473600
20130227	62.78	64.18	62.26	63.76	2097100
20130226	62.01	62.76	61.87	62.64	2054700
20130225	62.93	63.24	62.01	62.02	2495500
20130222	62.00	63.07	61.05	62.78	3073900
20130221	60.76	61.62	60.76	61.30	1941300
20130220	62.38	62.50	61.37	61.42	2107800
20130219	62.10	62.56	61.98	62.21	1421800
20130215	60.96	62.11	60.76	62.07	2139900
20130214	61.22	61.39	60.60	60.76	2988200
20130213	61.73	62.00	60.93	61.44	1759500
20130212	61.39	61.61	61.16	61.44	1498800
20130211	61.65	61.87	61.17	61.42	2166900
20130208	62.64	62.66	60.12	61.51	5142100
20130207	62.93	63.16	62.07	62.25	3569600
20130206	62.71	63.08	62.13	62.91	1882400
20130205	62.57	63.21	61.82	63.07	1778700
20130204	62.41	63.00	61.86	62.09	1968300
20130201	63.17	63.17	62.40	62.90	2262700
20130131	63.22	63.54	62.27	62.38	3504600
20130130	63.71	63.93	62.89	63.06	1754300
20130129	63.76	64.18	63.01	63.88	1218000
20130128	63.95	64.47	63.87	63.88	1225200
20130125	63.63	64.14	63.48	63.71	1516100
20130124	64.00	64.44	63.49	63.82	1679700
20130123	63.81	64.06	63.65	63.67	1479100
20130122	63.60	63.78	62.95	63.78	1155200
20130118	63.49	63.69	62.98	63.68	1227500
20130117	63.04	63.74	62.79	63.64	1212600
20130116	62.80	63.39	62.32	62.95	1174500
20130115	62.50	63.27	62.27	62.95	1503300
20130114	62.40	62.86	62.30	62.68	1063800
20130111	62.29	62.76	62.19	62.62	827700
20130110	62.49	62.79	61.78	62.41	1072600
20130109	61.78	62.33	61.70	62.16	790000
20130108	61.97	62.14	61.51	61.62	1041600
20130107	61.82	62.50	61.82	62.29	1422500
20130104	62.00	62.37	61.74	62.22	1898200
20130103	61.64	62.01	61.51	61.74	2559000
20130102	60.13	61.95	60.13	61.95	3526500
20121231	59.09	59.67	58.76	59.48	2038800
20121228	59.94	60.24	59.33	59.33	1193100
20121227	60.84	60.96	59.63	60.34	1510200
20121226	61.10	61.49	60.68	60.87	743100
20121224	61.14	61.34	60.74	61.29	514500
20121221	61.64	61.97	61.00	61.44	3297800
20121220	61.97	62.13	61.44	62.05	1819000
20121219	62.11	62.86	62.01	62.13	1876300
20121218	61.21	62.10	61.19	62.01	1479000
20121217	60.23	61.23	60.04	61.17	1474300
20121214	59.90	60.39	59.68	60.18	1237100
20121213	60.37	60.57	59.61	60.06	1193000
20121212	60.43	61.09	60.13	60.28	1853100
20121211	59.80	60.71	59.69	60.44	1492400
20121210	59.64	60.00	59.47	59.61	1379100
20121207	59.91	60.00	59.20	59.56	1238400
20121206	59.79	60.25	59.29	59.73	1438100
20121205	59.70	60.29	59.06	59.91	2031000
20121204	59.47	59.85	59.10	59.72	1289400
20121203	60.00	60.23	59.21	59.42	1288000
20121130	59.20	59.97	59.14	59.91	2313800
20121129	58.84	59.45	58.75	59.18	1554500
20121128	58.03	58.59	57.84	58.58	1494100
20121127	58.48	58.54	57.89	58.20	1765500
20121126	58.80	58.99	58.16	58.43	2119200
20121123	58.90	59.37	58.79	59.16	706500
20121121	58.33	58.97	58.26	58.56	948400
20121120	58.90	58.90	57.93	58.17	1889100
20121119	59.82	59.89	58.52	58.95	2390500
20121116	58.71	59.43	57.60	59.28	3165800
20121115	58.46	59.42	58.41	58.77	2406600
20121114	59.46	59.84	58.40	58.47	2389000
20121113	58.97	59.79	58.96	59.23	1947500
20121112	60.04	60.45	59.34	59.35	1464200
20121109	59.92	60.48	59.43	59.96	1140500
20121108	60.27	60.59	59.82	59.82	1259000
20121107	61.14	61.56	60.30	60.53	1634200
20121106	61.25	62.10	60.76	61.78	1105100
20121105	61.06	61.12	60.63	60.94	1196400
20121102	61.50	61.62	60.69	61.19	1617500
20121101	59.70	61.48	59.46	61.43	1722000
20121031	59.58	59.75	59.04	59.43	1550300
20121026	59.35	59.62	58.86	59.39	1432600
20121025	59.98	60.08	59.38	59.44	1311300
20121024	59.86	59.89	59.53	59.60	1882100
20121023	59.25	59.80	58.97	59.58	1578100
20121022	59.84	60.04	59.46	59.94	1538500
20121019	60.79	61.09	59.69	59.82	1922000
20121018	60.85	61.14	60.46	60.62	1186100
20121017	60.42	61.22	60.42	60.91	1298900
20121016	60.32	61.15	60.12	60.79	1346600
20121015	59.91	60.18	59.63	60.11	1592900
20121012	59.84	60.26	59.62	59.89	1604200
20121011	60.20	60.29	59.47	59.62	1555400
20121010	60.03	60.03	59.30	59.64	2229900
20121009	60.48	60.61	59.83	59.86	1707900
20121008	60.75	60.95	60.45	60.57	1077700
20121005	61.42	61.70	60.93	61.12	1577700
20121004	61.05	61.18	60.61	61.07	1655100
20121003	59.99	61.29	59.87	61.06	2942600
20121002	59.54	59.89	59.26	59.85	2320500
20121001	59.12	59.36	58.70	59.34	2398600
20120928	58.49	58.95	58.38	58.88	2260200
20120927	58.16	58.93	57.83	58.84	1844000
20120926	57.79	58.03	57.55	57.97	3551300
20120925	58.48	58.50	57.80	57.87	2098400
20120924	58.72	58.72	57.92	58.17	2328000
20120921	59.04	59.12	58.20	58.38	5734700
20120920	58.20	58.85	58.19	58.82	2164500
20120919	59.58	59.63	58.34	58.63	2273900
20120918	60.15	60.49	59.31	59.36	1792200
20120917	60.10	60.39	59.70	60.15	1539500
20120914	59.97	60.79	59.79	60.28	2415300
20120913	59.79	60.40	59.56	59.97	2104500
20120912	59.99	60.16	59.64	59.92	1522000
20120911	59.30	60.18	59.11	59.95	1582400
20120910	59.47	59.90	59.35	59.62	1731400
20120907	59.48	59.86	59.31	59.46	1086400
20120906	58.52	59.76	58.49	59.74	1542200
20120905	58.71	58.71	58.01	58.29	1967100
20120904	58.40	58.83	58.03	58.55	1508200
20120831	58.79	59.02	57.95	58.54	1388400
20120830	58.57	58.75	58.02	58.21	1562500
20120829	58.80	59.09	58.74	59.01	1896400
20120828	58.81	59.16	58.58	58.78	1646300
20120827	58.30	59.35	58.25	58.93	2235400
20120824	58.26	58.58	57.93	58.43	2060100
20120823	59.05	59.19	57.84	58.19	3323000
20120822	58.91	59.93	57.93	59.65	5214900
20120821	59.61	59.84	58.71	58.95	2666300
20120820	59.57	59.90	59.13	59.35	1585800
20120817	60.10	60.41	59.55	59.76	2934600
20120816	59.21	60.19	59.15	60.07	2103600
20120815	58.16	59.32	57.94	59.20	1265800
20120814	58.68	58.72	57.85	58.02	1881700
20120813	58.70	58.98	58.26	58.29	1849600
20120810	59.06	59.27	58.74	59.03	1279600
20120809	59.67	59.75	58.96	59.10	2258400
20120808	59.86	60.20	59.11	59.62	1664000
20120807	59.95	60.30	59.72	59.77	2034100
20120806	59.15	59.88	58.93	59.62	1346000
20120803	57.67	59.16	57.09	59.07	1753900
20120802	57.52	58.17	57.17	57.79	1158600
20120801	58.12	58.39	57.83	57.93	1498800
20120731	58.45	58.71	57.88	58.02	1280800
20120730	58.88	59.14	58.25	58.51	1071600
20120727	57.75	59.08	57.73	58.88	1627400
20120726	57.51	58.25	56.90	57.31	2005000
20120725	56.80	57.41	56.31	56.52	1863100
20120724	57.01	57.09	56.45	56.76	2627400
20120723	57.54	57.54	56.61	57.09	2360600
20120720	59.59	59.75	58.49	58.69	2341700
20120719	59.69	60.00	59.44	59.62	2618100
20120718	57.96	59.78	57.96	59.76	1725600
20120717	57.56	58.37	56.74	58.17	1493900
20120716	57.20	57.53	56.58	57.13	718600
20120713	56.65	57.45	56.52	57.22	987200
20120712	56.84	56.97	55.85	56.62	1346300
20120711	57.45	57.74	56.78	57.34	1221700
20120710	57.90	58.21	56.92	57.45	1227400
20120709	57.99	58.18	56.81	57.44	1364500
20120706	59.47	59.77	57.38	57.90	2038600
20120705	59.07	60.06	59.03	59.92	1755500
20120703	59.62	60.21	59.59	60.15	941300
20120702	59.29	59.91	59.15	59.68	1372000
20120629	57.73	59.36	57.73	59.35	2044800
20120628	57.32	57.35	56.19	57.00	1302900
20120627	57.40	57.85	57.09	57.52	696700
20120626	56.67	57.27	56.44	57.01	1191400
20120625	57.01	57.25	56.20	56.35	1245200
20120622	57.11	57.76	56.84	57.66	1666800
20120621	58.82	58.92	56.84	56.89	1987800
20120620	59.00	59.17	58.36	58.83	1392200
20120619	59.00	59.00	58.49	58.97	1819200
20120618	58.07	58.89	57.77	58.70	1360800
20120615	57.34	58.39	57.16	58.32	1947400
20120614	56.61	57.52	56.24	57.37	2111900
20120613	56.57	57.32	56.39	56.47	2064800
20120612	55.76	56.77	55.46	56.77	1855900
20120611	57.12	57.38	55.37	55.43	2445200
20120608	56.92	57.11	56.50	57.00	2776400
20120607	58.09	58.20	56.94	56.94	2094400
20120606	56.00	57.72	55.72	57.70	1919600
20120605	54.70	55.73	54.69	55.66	1225700
20120604	55.28	55.60	54.30	54.92	1776700
20120601	55.14	55.59	54.77	54.80	2378800
20120531	56.38	56.72	55.76	56.23	2321500
20120530	56.25	56.41	55.62	56.20	2442900
20120529	56.50	57.20	56.26	56.63	1635500
20120525	56.50	56.76	56.13	56.45	1337700
20120524	56.52	56.52	55.81	56.39	1930200
20120523	55.75	56.63	55.24	56.47	1900000
20120522	55.39	56.36	55.07	55.99	2010400
20120521	54.55	55.39	53.49	55.25	3706200
20120518	54.52	56.90	53.38	54.51	5900200
20120517	55.00	55.29	54.21	54.41	2952400
20120516	55.66	56.11	55.10	55.10	2052700
20120515	55.40	56.47	55.31	55.49	1765100
20120514	55.28	55.84	55.06	55.35	1240200
20120511	55.40	56.23	55.13	55.83	1648300
20120510	56.82	56.91	55.12	55.43	2189200
20120509	55.87	56.93	55.41	56.52	2030900
20120508	56.24	56.48	55.46	56.28	2212900
20120507	56.42	56.83	56.13	56.58	2099900
20120504	57.67	57.90	56.70	56.90	2453400
20120503	58.79	59.00	58.18	58.39	2255800
20120502	57.83	58.71	57.24	58.64	1756500
20120501	58.12	58.87	57.80	58.25	1597000
20120430	57.92	58.18	57.55	57.97	2084300
20120427	57.66	58.22	57.65	57.98	1749200
20120426	57.30	57.81	57.16	57.60	1790300
20120425	56.92	57.77	56.67	57.40	2775000
20120424	56.69	56.76	56.08	56.29	3182400
20120423	56.71	56.88	56.10	56.75	4490600
20120420	57.89	58.99	55.96	57.25	13193100
20120419	61.30	61.78	60.41	60.90	2065300
20120418	61.50	61.82	61.04	61.43	1559400
20120417	60.74	61.70	60.60	61.54	2098300
20120416	60.57	60.61	59.84	60.31	2169800
20120413	60.16	60.85	59.77	60.34	2292400
20120412	60.12	60.66	59.97	60.60	1586100
20120411	58.94	60.06	58.65	60.03	2575100
20120410	58.84	59.22	58.37	58.59	2174600
20120409	58.90	59.31	58.60	59.11	1410400
20120405	58.99	59.86	58.88	59.77	1410800
20120404	59.81	59.98	59.06	59.38	986200
20120403	60.39	60.41	59.80	60.33	1570500
20120402	60.07	60.92	59.73	60.62	1809200
20120330	60.15	60.41	59.71	60.16	2475000
20120329	59.30	59.94	58.91	59.83	2255900
20120328	59.21	59.54	58.91	59.51	2208400
20120327	58.95	59.65	58.50	59.48	2587000
20120326	58.26	58.87	57.99	58.73	1944400
20120323	57.86	58.03	56.97	57.71	2836900
20120322	58.57	59.07	57.66	57.73	4433800
20120321	60.04	60.28	59.77	60.12	1125100
20120320	59.88	60.12	59.65	60.04	929000
20120319	59.82	60.76	59.82	60.33	1109600
20120316	60.05	60.56	59.90	60.14	2709700
20120315	59.67	60.21	59.17	60.18	1569000
20120314	59.63	59.87	59.44	59.69	1555400
20120313	58.78	59.82	58.49	59.81	1486400
20120312	58.30	58.75	58.16	58.62	1065700
20120309	57.62	58.17	57.15	58.17	1604300
20120308	57.37	57.53	57.07	57.22	1678300
20120307	56.44	57.50	56.26	57.13	2840500
20120306	56.51	57.07	55.94	56.08	1661000
20120305	57.13	57.41	56.44	56.87	1441600
20120302	57.89	57.93	57.18	57.27	1426600
20120301	58.23	58.35	57.72	57.94	2281200
20120229	57.79	58.01	57.46	57.84	2588900
20120228	57.99	58.22	57.46	57.78	1621400
20120227	57.71	58.28	57.55	57.89	1783400
20120224	58.73	59.17	58.03	58.06	2519000
20120223	59.08	60.00	58.53	58.68	6261100
20120222	59.08	62.33	58.38	60.92	6631300
20120221	57.79	57.94	57.21	57.52	2203800
20120217	57.89	58.01	57.31	57.38	1827900
20120216	56.83	58.09	56.70	58.01	1657000
20120215	57.05	57.23	56.43	56.65	1743600
20120214	56.42	56.78	56.40	56.77	2055100
20120213	57.05	57.17	56.58	56.59	1819600
20120210	56.98	57.10	56.33	56.68	2246300
20120209	57.55	57.93	57.22	57.60	1623300
20120208	57.56	57.68	56.44	57.56	1752300
20120207	57.71	57.84	57.28	57.62	2011500
20120206	57.88	58.45	57.82	57.90	2157100
20120203	58.25	58.90	58.17	58.47	1561300
20120202	57.88	58.45	57.69	57.86	1060300
20120201	56.99	58.44	56.64	57.88	2456400
20120131	56.79	56.87	55.52	56.44	2779100
20120130	56.77	56.87	56.37	56.56	2311500
20120127	57.36	57.87	57.06	57.35	1467500
20120126	57.76	58.06	57.30	57.49	1512500
20120125	57.52	57.67	56.63	57.52	1565300
20120124	57.21	57.60	57.09	57.33	1698400
20120123	56.91	57.60	56.57	57.41	1843900
20120120	57.16	57.45	56.87	57.09	2059400
20120119	56.53	57.14	56.36	57.10	2034600
20120118	55.49	56.46	55.27	56.45	1784400
20120117	55.50	55.85	55.03	55.25	1426600
20120113	55.09	55.22	54.14	54.83	1723000
20120112	55.36	55.60	54.81	55.29	1410900
20120111	54.78	55.52	54.69	55.18	2203200
20120110	53.46	54.92	53.36	54.75	2611700
20120109	53.20	53.44	52.89	53.18	1982300
20120106	52.39	53.31	52.09	53.12	1886800
20120105	52.08	52.72	51.92	52.54	1809300
20120104	52.36	52.53	51.88	52.30	2170900
20120103	53.23	53.88	52.41	52.46	1949700
20111230	52.93	52.96	52.59	52.59	1084400
20111229	52.63	52.93	52.54	52.77	1238400
20111228	52.94	53.02	52.28	52.41	1394900
20111227	53.01	53.41	52.81	53.17	1217900
20111223	53.26	53.48	52.89	53.10	1434600
20111222	53.05	53.36	52.92	53.21	1938000
20111221	53.58	53.86	52.81	53.07	2829600
20111220	52.09	53.84	51.93	53.77	3679500
20111219	52.02	52.22	50.89	51.02	1641000
20111216	51.59	52.43	51.34	51.78	3406400
20111215	52.43	52.52	51.05	51.29	1998600
20111214	53.11	53.24	51.76	51.80	2249900
20111213	53.35	54.32	53.04	53.37	2633300
20111212	52.63	52.95	51.98	52.84	2236000
20111209	52.76	53.50	52.73	53.27	1944000
20111208	53.17	53.85	52.46	52.56	1982000
20111207	54.01	54.07	53.01	53.65	2130500
20111206	54.40	54.79	53.98	54.16	1890000
20111205	53.50	54.57	53.07	54.56	2538900
20111202	53.05	53.67	52.69	52.72	1875000
20111201	53.00	53.59	52.79	52.92	2170700
20111130	51.90	53.28	51.90	53.24	2498500
20111129	50.93	51.50	50.59	50.86	1633600
20111128	50.64	51.35	50.36	50.92	1640200
20111125	49.00	49.69	48.91	49.27	939800
20111123	49.95	50.10	49.24	49.29	1794000
20111122	50.79	51.10	49.78	50.39	2383500
20111121	51.39	51.49	50.13	50.76	2989400
20111118	51.51	52.74	51.51	52.04	2939900
20111117	53.12	53.42	51.29	51.75	2812200
20111116	53.49	54.90	53.17	53.45	2666400
20111115	53.02	54.16	52.71	53.89	1633100
20111114	53.81	54.64	53.17	53.26	2128500
20111111	53.39	54.07	53.39	54.02	1680500
20111110	52.90	53.17	52.27	52.80	1789600
20111109	52.96	53.54	52.05	52.34	1975500
20111108	53.86	54.12	53.16	54.07	1847900
20111107	53.39	53.60	52.61	53.33	1822200
20111104	53.46	53.91	53.06	53.72	1121000
20111103	53.09	54.05	52.45	53.95	2085000
20111102	52.52	53.18	52.02	52.41	2604600
20111101	52.30	53.06	51.75	51.90	2840500
20111031	53.93	54.62	53.67	53.67	1952800
20111028	53.90	54.99	53.75	54.61	2401400
20111027	54.17	55.43	54.00	55.21	2503900
20111026	53.83	53.83	51.77	52.97	2648200
20111025	54.99	54.99	53.24	53.32	1577000
20111024	53.46	54.29	53.33	54.00	2166800
20111021	52.83	53.50	52.56	53.50	2378400
20111020	52.11	52.59	51.40	52.28	1802700
20111019	52.31	52.85	51.83	51.94	1654300
20111018	52.24	52.75	51.57	52.50	3055400
20111017	52.72	53.18	51.91	52.28	1820200
20111014	52.49	53.01	52.28	53.01	1592000
20111013	51.71	52.14	51.41	51.99	2069800
20111012	51.50	52.30	51.32	52.00	2439100
20111011	50.00	51.41	50.00	51.18	2936700
20111010	49.25	50.28	48.42	50.27	1766300
20111007	48.73	49.31	48.26	48.53	1580300
20111006	47.19	48.78	47.19	48.77	2300500
20111005	46.86	47.61	46.40	47.24	3311000
20111004	45.27	46.93	44.82	46.90	2914000
