Date	Open	High	Low	Close	Volume
20130923	373.31	375.37	370.03	370.83	280100
20130920	371.43	375.74	368.46	374.69	1069300
20130919	372.63	375.50	369.11	369.98	472100
20130918	374.82	375.00	370.31	372.50	416000
20130917	374.00	374.79	373.01	373.96	839400
20130916	377.01	379.70	374.73	375.07	253900
20130913	373.47	376.78	370.68	375.00	715400
20130912	375.51	378.67	370.36	372.68	1020400
20130911	377.76	378.49	374.34	376.50	562000
20130910	385.00	387.14	376.88	376.97	717600
20130909	384.33	387.62	383.81	384.90	395400
20130906	384.89	386.60	381.00	384.69	318300
20130905	388.17	388.76	383.72	384.44	275800
20130904	383.34	388.48	383.34	387.32	538200
20130903	388.19	390.49	384.53	385.17	301000
20130830	384.01	390.11	381.93	386.52	285400
20130829	385.62	389.68	383.34	384.60	246600
20130828	387.14	390.68	385.42	387.44	461700
20130827	390.04	390.04	384.71	386.22	310200
20130826	391.05	394.00	389.27	391.69	225800
20130823	391.95	391.95	388.09	390.09	205000
20130822	386.49	390.80	384.05	390.14	126400
20130821	385.11	388.70	383.50	386.90	197600
20130820	385.82	391.76	384.48	385.45	324500
20130819	379.33	386.98	375.54	384.95	650600
20130816	383.03	384.38	377.31	378.33	423100
20130815	383.62	385.04	380.93	383.73	253300
20130814	386.41	387.94	383.43	385.94	206600
20130813	389.50	390.50	378.59	385.60	439300
20130812	391.70	393.96	387.77	388.58	240600
20130809	394.78	395.73	388.00	391.87	263300
20130808	390.75	394.96	389.55	394.62	249100
20130807	393.41	393.72	386.20	389.94	368600
20130806	393.49	394.76	392.27	392.93	333700
20130805	391.81	394.00	389.19	393.63	252000
20130802	390.39	394.16	389.00	393.65	490100
20130801	389.09	395.79	388.50	392.46	641900
20130731	386.83	392.39	384.08	388.00	866800
20130730	391.46	393.76	384.00	385.82	924400
20130729	397.30	401.00	386.19	391.00	1409500
20130726	374.00	383.89	369.31	382.29	495100
20130725	380.75	383.95	370.59	375.33	940100
20130724	393.60	395.75	382.12	383.96	703900
20130723	396.21	398.97	391.40	394.62	670400
20130722	393.33	399.87	392.18	395.91	830800
20130719	366.00	393.17	357.02	392.67	4673500
20130718	415.58	425.40	415.00	421.47	766300
20130717	423.00	425.00	413.07	415.54	769800
20130716	426.50	427.81	418.36	422.13	429200
20130715	427.56	428.40	417.80	426.78	899900
20130712	429.62	432.50	423.15	429.04	660500
20130711	424.25	430.50	422.12	430.00	600800
20130710	417.54	428.39	416.99	422.68	1191100
20130709	428.00	429.88	406.69	419.30	5576300
20130708	503.90	505.66	498.39	500.08	398900
20130705	504.45	506.62	500.92	504.01	158000
20130703	500.30	503.78	499.31	499.72	116700
20130702	499.79	507.23	499.01	501.19	277100
20130701	509.20	509.20	500.67	501.55	275400
20130628	500.00	508.94	498.65	506.13	288800
20130627	506.42	507.61	500.99	502.19	156700
20130626	497.95	510.54	497.50	503.90	241400
20130625	506.83	508.40	498.66	501.70	163200
20130624	498.50	508.65	495.34	504.17	267000
20130621	500.25	505.09	498.00	502.88	325200
20130620	506.82	509.18	496.45	497.51	309400
20130619	510.50	516.07	508.51	510.00	281000
20130618	503.00	510.88	500.43	509.61	541800
20130617	503.23	504.94	498.04	499.32	265200
20130614	504.50	505.72	497.97	498.31	210900
20130613	492.70	505.34	491.89	504.50	196400
20130612	501.18	503.53	494.07	495.44	148500
20130611	506.53	507.45	499.14	499.57	173700
20130610	510.84	514.25	509.40	510.21	134200
20130607	508.43	513.49	507.41	513.49	278200
20130606	501.87	507.89	499.36	507.41	205800
20130605	498.54	505.34	497.85	500.54	249600
20130604	499.19	500.90	496.26	498.59	202000
20130603	499.36	500.57	495.01	500.23	224500
20130531	503.15	503.76	497.53	497.53	270500
20130530	499.01	507.39	496.01	504.68	270100
20130529	498.00	502.79	493.57	498.50	171700
20130528	505.22	507.99	499.04	501.64	277800
20130524	492.00	508.00	490.71	501.53	915000
20130523	466.31	481.96	465.11	478.46	493400
20130522	486.14	489.45	468.60	470.30	427600
20130521	478.70	489.25	478.70	485.88	206900
20130520	482.37	487.29	478.40	479.42	201200
20130517	479.58	484.83	479.00	484.00	390900
20130516	482.10	485.23	474.18	476.22	289000
20130515	489.09	489.33	483.60	484.40	172900
20130514	485.80	491.09	485.50	487.73	220500
20130513	497.24	500.72	485.00	485.69	442600
20130510	493.00	500.65	488.91	499.57	849300
20130509	490.22	511.79	490.00	505.80	395900
20130508	489.30	490.77	480.65	489.31	375200
20130507	501.55	502.80	489.43	490.07	281200
20130506	503.00	504.50	501.12	501.58	195700
20130503	497.44	504.55	495.35	503.82	319300
20130502	489.86	494.79	489.01	491.86	178100
20130501	491.59	496.88	489.03	490.16	161800
20130430	488.38	493.46	487.60	492.29	210900
20130429	488.20	491.25	480.45	489.16	319500
20130426	482.53	488.24	479.02	486.76	347200
20130425	478.60	488.24	476.23	483.80	315700
20130424	469.25	479.58	469.25	476.88	269400
20130423	474.98	481.99	467.69	471.07	502900
20130422	484.52	489.26	470.00	474.87	655900
20130419	469.00	485.22	465.72	484.75	1528100
20130418	507.00	510.32	488.57	493.37	716100
20130417	505.64	512.64	501.56	507.64	395500
20130416	511.85	515.00	505.43	510.38	324500
20130415	511.15	515.73	508.00	509.99	392600
20130412	512.03	514.99	506.12	512.05	373200
20130411	500.00	513.91	500.00	512.57	345800
20130410	497.03	502.50	494.91	498.83	305800
20130409	496.50	499.28	490.79	496.53	284000
20130408	492.19	501.60	491.61	494.00	332400
20130405	489.81	492.99	486.04	489.97	274900
20130404	499.00	504.00	490.01	496.64	436800
