Date	Open	High	Low	Close	Volume
20130923	54.10	54.28	53.57	53.98	1722200
20130920	53.93	54.45	53.80	54.03	15053400
20130919	55.50	55.51	53.80	53.98	3974600
20130918	55.17	55.65	54.38	55.53	2434400
20130917	54.80	55.20	54.58	55.00	1491800
20130916	54.68	55.17	54.58	54.79	2053300
20130913	53.74	54.28	53.33	54.24	1962700
20130912	53.53	53.64	53.29	53.40	2077300
20130911	53.00	53.73	53.00	53.64	2828100
20130910	54.31	54.40	52.64	53.12	4583000
20130909	53.51	54.44	53.24	54.23	3474000
20130906	53.43	53.81	52.58	53.21	2791400
20130905	52.84	53.26	52.68	52.89	1990000
20130904	52.20	53.20	52.10	52.94	2591600
20130903	52.49	53.13	52.01	52.36	2393800
20130830	51.97	52.25	51.53	51.77	1966500
20130829	51.23	52.29	51.22	51.93	2582400
20130828	51.75	52.00	51.20	51.57	2697200
20130827	51.67	52.31	51.53	51.94	3203400
20130826	53.09	53.09	51.69	52.08	3153500
20130823	52.99	53.38	52.77	52.82	2790600
20130822	52.32	53.29	52.27	53.02	1946700
20130821	52.58	52.76	51.99	52.27	2543800
20130820	52.45	53.61	52.19	52.63	3293400
20130819	52.42	52.50	51.91	52.11	4050000
20130816	53.26	53.34	52.53	52.77	3824600
20130815	54.62	54.69	53.37	53.50	3706600
20130814	56.12	56.19	54.55	55.17	3755300
20130813	55.77	56.37	55.45	56.04	1802400
20130812	56.00	56.59	55.47	55.55	2284700
20130809	56.41	56.41	55.76	56.26	1569800
20130808	55.55	56.47	55.28	56.21	2664000
20130807	56.25	56.50	55.13	55.20	2392000
20130806	56.16	56.84	56.16	56.70	2249700
20130805	56.71	57.05	56.35	56.45	2447300
20130802	57.05	57.75	56.01	57.50	3352600
20130801	57.08	57.48	56.78	57.14	2303300
20130731	56.47	56.94	56.06	56.58	1819500
20130730	56.51	57.13	56.49	56.64	1659200
20130729	56.75	57.00	56.37	56.49	1944100
20130726	56.44	56.70	55.68	56.45	2491100
20130725	56.18	57.07	56.13	56.86	1749000
20130724	57.35	57.68	56.07	56.44	2145100
20130723	58.40	58.40	57.08	57.20	1935900
20130722	58.44	58.76	57.93	58.29	2309200
20130719	57.54	57.97	56.70	57.66	2281300
20130718	57.35	58.05	56.67	57.18	2098600
20130717	57.45	57.71	57.25	57.35	2000000
20130716	57.75	57.84	57.34	57.47	1763900
20130715	56.50	57.75	56.48	57.63	1935100
20130712	56.82	57.19	56.44	56.69	2164800
20130711	56.73	56.87	56.46	56.68	2213100
20130710	55.51	56.33	55.39	56.06	1667600
20130709	55.68	56.00	55.28	55.38	2006300
20130708	55.63	55.97	54.64	55.03	2973600
20130705	56.00	56.05	55.08	55.24	2019700
20130703	55.01	55.58	54.89	55.51	1141700
20130702	55.26	56.07	54.90	55.53	2817500
20130701	55.75	56.25	54.85	54.98	2478000
20130628	54.89	56.00	54.89	55.87	11861400
20130627	54.54	55.75	54.54	55.32	2224800
20130626	54.65	55.13	53.67	54.34	3588900
20130625	54.35	55.14	54.04	54.69	3547600
20130624	53.33	54.22	52.91	53.82	3300400
20130621	53.30	53.84	52.80	53.46	6135400
20130620	55.10	55.15	52.91	52.99	4797800
20130619	56.65	56.74	55.30	55.33	3301200
20130618	55.90	56.73	55.88	56.65	1909500
20130617	55.82	56.47	55.46	55.93	2012600
20130614	55.79	56.48	55.27	55.68	2897500
20130613	53.60	56.12	53.55	55.99	4916700
20130612	54.50	54.60	53.44	53.45	2318200
20130611	54.34	54.48	53.54	54.14	2292500
20130610	54.48	54.52	53.68	54.51	2545600
20130607	54.07	54.47	53.22	54.37	3110800
20130606	53.48	54.04	52.94	53.74	2814400
20130605	54.18	54.31	53.21	53.30	2809200
20130604	55.13	55.47	53.71	54.40	4318400
20130603	55.14	55.39	53.63	54.94	4384700
20130531	55.47	55.69	54.80	55.13	4868200
20130530	56.53	56.86	55.39	55.41	2712100
20130529	57.30	57.54	56.61	56.71	2428900
20130528	57.38	57.84	56.99	57.54	2341800
20130524	56.38	57.14	56.00	57.01	1725500
20130523	56.47	57.15	56.33	56.90	3383900
20130522	56.56	57.26	56.25	56.95	5880400
20130521	56.27	57.09	56.13	56.61	4148100
20130520	56.13	56.27	55.39	56.24	2688000
20130517	55.74	56.13	54.97	56.11	2762000
20130516	55.82	55.82	54.97	55.52	2265900
20130515	54.62	55.26	54.20	55.20	1588700
20130514	54.30	54.81	53.95	54.77	2098400
20130513	55.27	55.35	54.21	54.40	2899300
20130510	55.19	55.54	55.05	55.22	3125700
20130509	55.50	55.57	54.73	55.05	2787600
20130508	54.93	55.13	54.24	55.02	4018800
20130507	53.31	55.69	53.24	54.85	6666100
20130506	53.07	53.65	52.61	53.39	3583200
