Date	Open	High	Low	Close	Volume
20130923	40.34	40.53	40.08	40.33	1278300
20130920	40.45	40.61	40.24	40.24	2180600
20130919	40.50	40.58	40.24	40.45	1009800
20130918	40.27	40.44	39.91	40.43	843700
20130917	40.25	40.49	40.24	40.28	885700
20130916	40.08	40.15	39.79	40.07	1396700
20130913	39.51	39.63	39.32	39.60	495500
20130912	39.45	39.63	39.13	39.47	955700
20130911	39.30	39.62	39.23	39.43	993900
20130910	39.27	39.48	39.15	39.43	1101100
20130909	39.08	39.22	38.77	38.94	1222200
20130906	39.40	39.41	38.67	38.90	2043600
20130905	39.45	39.55	38.90	39.11	2744700
20130904	38.60	39.86	38.59	39.57	2328300
20130903	39.19	39.76	38.86	39.19	2114100
20130830	38.44	39.13	38.44	38.81	1518200
20130829	38.90	39.26	38.82	39.03	1186900
20130828	38.59	39.15	38.54	38.98	1082700
20130827	38.79	38.99	38.53	38.54	1528500
20130826	39.14	39.40	38.91	39.17	1025700
20130823	39.06	39.15	38.69	39.08	1934800
20130822	38.86	39.14	38.48	39.06	629800
20130821	38.97	39.02	38.46	38.84	1256200
20130820	39.00	39.29	38.92	39.11	892500
20130819	38.98	39.41	38.90	38.92	1152800
20130816	39.25	39.85	39.22	39.51	1557400
20130815	40.01	40.01	39.30	39.41	2034000
20130814	40.80	40.80	40.32	40.35	1153600
20130813	40.89	41.00	40.40	40.88	1346800
20130812	40.50	40.95	40.50	40.76	1290800
20130809	40.84	41.01	40.50	40.61	1022700
20130808	41.33	41.37	40.83	40.85	1565400
20130807	41.28	41.29	40.85	41.01	1357400
20130806	41.50	41.68	41.13	41.31	1364900
20130805	41.28	41.70	41.28	41.68	1589300
20130802	41.21	41.48	41.04	41.48	3033200
20130801	41.00	41.78	40.62	41.69	3801100
20130731	39.35	39.88	39.23	39.74	3102800
20130730	39.32	39.44	39.13	39.25	2181400
20130729	39.09	39.42	39.03	39.21	1666000
20130726	39.30	39.59	38.98	39.29	2425200
20130725	39.57	39.74	39.36	39.68	1507700
20130724	40.27	40.27	39.27	39.48	1761800
20130723	40.04	40.39	39.84	40.01	1514500
20130722	40.08	40.14	39.64	39.78	1225000
20130719	39.92	40.03	39.55	39.87	1679800
20130718	40.14	40.14	39.58	40.03	1717200
20130717	39.77	40.12	39.57	39.99	2642400
20130716	39.45	39.67	39.39	39.61	1832900
20130715	39.41	39.61	39.24	39.37	1057600
20130712	38.94	39.54	38.82	39.44	1843100
20130711	38.55	39.04	38.31	38.92	1890900
20130710	37.66	38.04	37.62	38.03	1651000
20130709	37.73	37.87	37.51	37.80	1148900
20130708	38.42	38.47	37.26	37.44	1805500
20130705	38.07	38.33	37.70	38.23	897300
20130703	37.33	37.96	37.19	37.80	721600
20130702	37.24	38.03	37.21	37.45	1418600
20130701	37.57	37.75	37.18	37.37	1322100
20130628	36.90	37.54	36.81	37.25	2824400
20130627	37.15	37.40	36.88	37.09	3069600
20130626	37.17	37.31	36.62	36.95	1111700
20130625	36.70	36.91	36.42	36.81	1432200
20130624	36.52	36.63	36.15	36.30	1516200
20130621	36.54	36.92	36.38	36.75	2559200
20130620	36.89	37.05	36.27	36.44	1906800
20130619	38.01	38.16	37.38	37.41	1339200
20130618	37.49	38.09	37.49	38.04	1371900
20130617	37.32	37.82	37.25	37.55	1621200
20130614	37.22	37.43	36.85	37.04	1276300
20130613	36.37	37.32	36.16	37.25	1539100
20130612	37.11	37.11	36.34	36.34	1992200
20130611	36.48	37.10	36.14	36.77	2660500
20130610	36.70	37.05	36.62	36.82	1975100
20130607	36.41	36.73	36.09	36.70	1288800
20130606	36.56	36.58	35.74	36.21	2106800
20130605	36.90	37.09	36.41	36.44	1789900
20130604	38.21	38.35	36.74	37.09	4826100
20130603	36.50	36.87	36.34	36.84	1685100
20130531	37.01	37.22	36.48	36.48	1780200
20130530	36.71	37.37	36.64	37.24	1627600
20130529	36.72	36.95	36.31	36.59	2028600
20130528	36.62	36.89	36.29	36.44	1069600
20130524	36.17	36.38	35.81	36.32	1446500
20130523	36.14	36.54	35.96	36.34	1974000
20130522	36.69	37.06	36.14	36.32	2309100
20130521	36.66	37.01	36.58	36.67	1988200
20130520	37.01	37.26	36.62	36.68	2020400
20130517	37.47	37.53	36.81	37.08	2997600
20130516	37.56	37.94	37.55	37.58	1438000
20130515	37.30	37.97	37.22	37.63	2249300
20130514	37.29	37.43	37.03	37.40	1669000
20130513	37.00	37.38	36.87	37.16	4332800
20130510	37.13	37.31	36.95	37.21	4623800
20130509	37.35	37.46	36.99	37.10	4974300
20130508	37.17	37.57	37.06	37.46	1504600
20130507	37.38	37.49	36.96	37.16	1949400
20130506	37.31	37.87	37.30	37.41	2936400
20130503	37.71	37.91	37.22	37.55	4158000
20130502	36.09	36.66	36.00	36.61	2325300
20130501	36.31	36.45	36.03	36.10	1051500
20130430	35.92	36.42	35.75	36.42	1385300
20130429	35.65	36.05	35.53	35.96	1082200
20130426	36.27	36.27	35.55	35.60	1997800
20130425	35.93	36.34	35.75	36.29	1707000
20130424	35.50	35.88	35.38	35.75	1097600
20130423	34.92	35.55	34.84	35.40	1386300
20130422	34.39	34.93	34.04	34.71	1767000
20130419	34.09	34.44	33.72	34.34	2148900
20130418	35.30	35.31	34.16	34.23	2729800
20130417	35.90	35.90	34.70	34.93	3372900
20130416	36.00	36.43	35.79	36.30	1343500
20130415	36.07	36.44	35.79	35.87	1368900
20130412	36.65	36.65	36.04	36.31	1310700
20130411	36.57	37.00	36.49	36.70	1529600
20130410	36.08	36.77	36.02	36.74	2049100
20130409	35.74	36.20	35.36	35.92	1847000
20130408	35.47	35.77	35.21	35.70	1397700
20130405	35.10	35.61	34.64	35.54	1685900
