Date	Open	High	Low	Close	Volume
20130923	31.77	32.34	31.70	31.95	9370900
20130920	32.90	32.90	32.26	32.30	14065300
20130919	32.77	33.08	32.50	32.94	10976700
20130918	31.90	32.93	31.84	32.73	9640400
20130917	31.78	32.09	31.67	31.98	7051400
20130916	31.73	31.96	31.64	31.86	9330400
20130913	31.33	31.57	31.21	31.55	6425300
20130912	31.34	31.38	31.08	31.27	8277200
20130911	31.29	31.34	30.75	31.29	7854700
20130910	31.33	31.46	30.69	31.04	7407500
20130909	30.91	31.15	30.79	31.11	6229200
20130906	30.90	31.21	30.43	30.94	7509400
20130905	30.88	30.95	30.70	30.74	6467100
20130904	30.69	31.19	30.66	30.88	10788200
20130903	31.14	31.24	30.53	30.79	8840400
20130830	30.64	30.98	30.55	30.67	7485000
20130829	30.34	30.87	30.15	30.70	7978800
20130828	30.60	30.90	30.18	30.55	8394600
20130827	30.50	30.81	30.40	30.70	6663800
20130826	31.22	31.30	30.64	30.71	7370300
20130823	31.20	31.45	30.95	31.32	7501800
20130822	30.57	32.56	30.40	31.10	8775600
20130821	30.70	31.01	30.46	30.52	9606400
20130820	30.70	31.03	30.59	30.75	6760000
20130819	30.99	31.02	30.60	30.66	8302300
20130816	31.06	31.18	30.73	30.96	10810400
20130815	31.26	31.34	30.91	31.17	13454700
20130814	31.96	31.99	31.59	31.60	7555600
20130813	32.00	32.32	31.89	32.08	6966700
20130812	31.96	32.09	31.59	31.88	8394400
20130809	32.50	32.70	31.97	32.16	6993600
20130808	31.95	32.91	31.57	32.70	19188100
20130807	31.91	31.91	31.14	31.26	10792800
20130806	31.53	31.92	31.50	31.86	6827700
20130805	31.76	31.86	31.48	31.77	5371100
20130802	31.67	32.00	31.48	31.94	6220000
20130801	31.57	31.78	31.31	31.71	6605800
20130731	31.04	31.50	31.00	31.27	8444200
20130730	31.81	31.86	30.99	31.05	11787000
20130729	31.45	31.70	31.26	31.61	7954300
20130726	30.83	31.60	30.80	31.58	9685100
20130725	30.57	31.19	30.53	31.14	6268300
20130724	31.05	31.10	30.60	30.80	10060000
20130723	30.77	31.32	30.70	31.08	12141400
20130722	30.69	31.37	30.45	30.70	8208600
20130719	30.59	30.71	30.19	30.69	9527500
20130718	30.59	30.91	30.38	30.58	13132100
20130717	30.13	31.18	29.85	30.50	19516300
20130716	30.10	30.18	29.75	29.87	7700800
20130715	30.47	30.50	30.09	30.18	7715500
20130712	30.16	30.42	30.03	30.36	8961800
20130711	29.60	30.20	29.45	30.17	8894500
20130710	29.03	29.22	28.90	29.15	7964200
20130709	29.04	29.17	28.74	29.04	9269000
20130708	28.95	29.05	28.69	28.75	9245600
20130705	28.90	28.99	28.50	28.78	6723600
20130703	28.58	28.79	28.54	28.58	4534100
20130702	28.80	29.17	28.69	28.78	6864000
20130701	28.79	29.45	28.71	29.05	9324400
20130628	28.89	29.20	28.53	28.53	12446300
20130627	29.06	29.33	28.89	29.15	7100200
20130626	28.82	29.04	28.68	28.85	8515100
