Date	Open	High	Low	Close	Volume
20130923	54.87	55.82	54.34	54.86	1511400
20130920	55.64	56.02	53.85	55.90	5678600
20130919	58.25	58.74	56.11	56.17	1885300
20130918	57.04	58.17	56.49	58.03	1228900
20130917	55.98	57.82	55.81	57.03	1136100
20130916	55.81	56.59	55.49	55.75	738100
20130913	55.15	55.35	54.34	55.05	996200
20130912	55.34	55.43	54.89	55.10	952600
20130911	55.77	56.24	55.26	55.52	1474300
20130910	56.54	56.54	55.79	56.03	1063400
20130909	55.10	56.33	54.89	56.22	1229500
20130906	56.47	56.47	55.12	55.25	1102000
20130905	56.23	56.49	55.77	56.14	994600
20130904	53.75	56.67	53.53	56.05	2688200
20130903	58.16	58.19	53.94	54.02	4556100
20130830	57.26	57.50	56.78	57.39	940200
20130829	57.43	57.89	56.93	56.98	946800
20130828	57.99	58.43	57.54	57.66	797800
20130827	58.29	58.57	57.91	57.98	873400
20130826	59.53	59.97	58.66	58.99	916100
20130823	60.33	61.16	59.30	59.60	1589700
20130822	58.92	60.16	58.87	60.09	527800
20130821	59.17	59.78	58.85	58.99	1094000
20130820	59.07	59.59	58.65	59.24	1067300
20130819	58.24	59.33	57.99	59.11	1170100
20130816	58.38	58.79	57.63	58.24	1138200
20130815	60.03	60.18	58.53	58.58	1438100
20130814	61.64	61.79	60.39	60.57	1367300
20130813	63.15	63.54	61.62	61.80	1268700
20130812	63.26	63.27	61.10	62.76	2023000
20130809	64.00	66.12	63.64	63.70	4625800
20130808	62.80	63.65	62.43	63.47	2351800
20130807	62.79	63.37	62.43	62.46	1579400
20130806	63.37	63.63	62.43	62.98	1043700
20130805	63.44	63.61	62.44	63.44	645300
20130802	62.65	63.47	62.54	63.37	786000
20130801	61.42	62.96	61.42	62.52	1223300
20130731	60.72	61.69	60.44	60.99	2445900
20130730	60.94	61.60	60.15	60.27	2091100
20130729	63.23	63.61	60.40	60.61	1869900
20130726	62.68	63.18	61.99	62.88	546500
20130725	62.96	63.45	62.56	63.30	699100
20130724	64.65	64.84	62.39	63.23	1295800
20130723	64.61	64.88	63.89	64.65	961400
20130722	63.96	64.83	63.78	64.63	1595100
20130719	63.40	63.66	62.40	63.39	1075100
20130718	63.76	63.76	62.30	63.26	1185400
20130717	60.89	63.75	60.89	62.72	2193600
20130716	60.90	61.04	60.37	60.63	1155800
20130715	60.90	61.15	60.44	60.80	1565800
20130712	60.55	60.99	59.43	59.86	1165500
20130711	60.30	60.97	59.95	60.45	1066200
20130710	59.62	60.12	59.15	59.60	1069700
20130709	60.82	61.37	59.71	59.78	935200
20130708	61.13	61.32	60.29	60.62	787800
20130705	60.79	60.98	59.86	60.59	476500
20130703	60.13	60.58	59.56	60.25	533500
20130702	60.29	60.76	59.86	60.40	1109600
20130701	61.10	61.84	60.60	60.82	1331800
20130628	60.09	61.82	59.84	60.83	2971600
20130627	58.01	59.71	58.00	59.65	1225800
20130626	57.52	58.33	57.39	57.75	844500
20130625	57.20	57.77	56.83	57.20	1055500
20130624	56.06	57.20	55.52	56.82	1670600
20130621	56.12	56.87	54.59	56.22	2955600
20130620	57.76	57.93	55.90	56.04	1374900
20130619	59.58	60.77	58.28	58.36	1511100
20130618	59.99	60.35	59.17	59.63	1074400
20130617	59.68	61.22	59.19	59.61	1884600
20130614	61.67	62.94	58.71	59.26	2737300
20130613	61.71	62.10	61.30	62.00	1451400
20130612	61.76	62.49	61.69	61.90	1227800
20130611	61.63	62.43	61.30	61.37	1004600
20130610	61.84	62.32	61.31	62.20	1159200
20130607	59.82	62.34	59.59	61.62	3244900
20130606	58.80	59.97	58.35	59.74	2109900
20130605	59.28	61.48	58.28	58.62	3874600
20130604	56.28	59.79	55.74	59.60	5591100
20130603	54.43	54.82	53.57	53.96	1827400
20130531	54.76	55.64	54.51	54.59	1524200
20130530	55.06	55.56	54.75	54.82	961800
20130529	55.18	55.49	54.23	54.87	1243700
20130528	56.45	56.87	55.25	55.49	1064800
20130524	56.38	56.51	55.51	55.91	1087300
20130523	56.69	56.96	56.01	56.75	1217800
20130522	57.25	59.34	56.63	56.88	2198200
20130521	56.27	56.89	55.92	56.43	2030200
20130520	56.51	56.84	55.74	56.27	1287400
20130517	57.50	57.54	56.09	56.91	1488800
20130516	57.61	58.83	57.17	57.21	2003900
20130515	56.30	57.89	55.99	57.80	2132200
20130514	55.25	56.76	54.50	56.42	3156400
20130513	53.70	54.87	52.84	53.83	3224400
20130510	54.00	54.37	53.11	54.23	2837300
20130509	51.25	54.01	50.75	54.01	9439000
20130508	57.21	57.78	56.31	56.97	3505500
20130507	56.25	57.26	55.72	57.15	1710500
20130506	57.28	57.40	55.34	56.18	1931300
20130503	55.97	58.29	55.97	57.44	1410300
20130502	55.72	56.50	55.45	55.50	1013600
20130501	55.46	56.26	54.88	55.92	1925600
20130430	56.38	56.84	55.45	56.40	1277200
20130429	56.65	56.80	56.29	56.50	962800
20130426	56.50	57.11	56.46	56.65	1129300
20130425	57.75	57.98	56.74	56.86	2208800
20130424	56.94	58.57	56.94	57.49	2671800
20130423	55.91	57.30	55.76	56.69	1368200
20130422	55.66	56.29	55.28	55.59	1519800
20130419	54.90	56.34	54.71	55.71	1279300
20130418	55.55	56.65	54.95	55.22	1314300
20130417	56.08	57.83	55.43	55.68	2038600
20130416	55.48	56.77	55.26	56.49	1634900
20130415	56.64	57.59	55.27	55.32	2326400
20130412	55.93	56.94	55.05	56.75	1989400
20130411	55.07	55.93	54.80	55.86	2415200
20130410	52.57	55.46	52.57	54.79	2676600
20130409	52.30	53.68	51.87	52.67	2857300
20130408	49.87	52.17	49.68	52.01	3299500
20130405	49.57	50.24	49.15	49.68	1820600
20130404	48.50	50.30	48.18	50.28	2755600
20130403	48.37	48.83	47.83	48.28	1421300
20130402	47.91	49.20	47.62	48.61	1748700
20130401	47.74	48.06	47.16	47.66	1199800
20130328	48.05	48.08	47.24	47.74	1541800
20130327	48.41	48.64	47.40	48.01	1734500
20130326	48.60	49.03	48.36	48.83	1201700
20130325	48.71	48.87	48.06	48.38	1610400
20130322	48.75	50.11	48.06	48.50	2995300
20130321	50.54	51.02	50.03	50.35	1593500
20130320	49.94	51.09	49.70	51.00	1494600
20130319	48.32	50.32	48.23	49.72	3108800
20130318	48.08	48.17	47.60	48.12	1800300
20130315	47.18	48.51	46.97	48.38	4012300
20130314	47.07	47.68	46.68	47.13	1250400
20130313	46.50	47.86	46.27	47.09	2298700
20130312	46.90	47.17	45.38	46.19	2476400
20130311	47.24	47.40	45.84	47.09	2419000
20130308	48.08	48.17	47.24	47.34	1728300
20130307	49.08	49.13	47.66	47.75	2410800
20130306	49.13	49.31	48.22	48.68	1780900
20130305	49.85	50.27	48.76	49.05	1939400
20130304	50.31	50.31	49.14	49.81	2018800
20130301	50.14	51.01	49.05	50.66	2748200
20130228	52.64	53.88	50.26	50.46	6617600
20130227	48.81	50.25	48.38	49.62	2601400
20130226	49.72	49.94	48.26	48.95	1482400
20130225	51.03	51.58	49.63	49.64	1604200
20130222	49.84	51.56	49.80	50.69	1345500
20130221	50.45	51.60	49.11	49.76	2276000
20130220	49.66	50.97	49.12	50.67	2304000
20130219	50.66	50.78	49.03	49.68	2668800
20130215	47.42	51.88	47.08	51.08	6850400
20130214	47.69	48.16	46.46	47.69	2014500
20130213	46.67	49.32	45.95	47.69	3222300
20130212	47.41	47.55	46.53	46.76	1188600
20130211	46.95	47.77	46.67	47.45	1195800
20130208	48.28	48.53	46.46	46.84	2189800
20130207	49.61	49.70	47.86	48.15	1626300
20130206	48.16	50.22	48.16	49.45	1682000
20130205	48.05	48.95	47.44	48.33	1699000
20130204	47.55	48.01	47.24	47.60	1176800
20130201	48.38	48.66	47.30	47.65	1853400
20130131	47.89	48.38	46.90	47.90	1617700
20130130	47.32	48.90	47.25	48.18	1419000
20130129	47.63	48.25	47.06	47.24	1782200
20130128	46.91	47.79	46.72	47.45	1316800
20130125	47.37	47.84	46.54	46.71	1573700
20130124	48.55	48.82	46.91	47.27	1683400
20130123	48.76	48.98	47.74	48.06	1754900
20130122	47.92	48.63	46.97	48.54	2269600
20130118	49.91	49.95	45.80	47.82	5940500
20130117	50.84	50.97	48.84	49.84	2778000
20130116	50.78	51.09	50.03	50.55	1130100
20130115	50.76	51.39	50.51	51.05	1122900
20130114	50.31	50.92	49.80	50.77	1397000
20130111	48.85	51.06	48.80	50.92	2256400
20130110	50.80	50.80	47.98	48.76	2444400
20130109	50.85	50.85	49.87	50.33	965400
20130108	50.06	50.82	49.32	50.73	2156100
20130107	51.91	52.33	49.06	50.06	3502100
20130104	52.26	52.80	51.84	51.89	1614100
20130103	54.06	54.20	51.96	52.21	2147600
20130102	53.70	54.34	53.38	54.23	2029700
20121231	51.87	53.00	51.74	52.84	1169200
20121228	51.85	52.32	51.77	51.88	602000
20121227	52.16	52.67	51.64	52.22	929500
20121226	52.35	52.73	51.87	52.02	624300
20121224	52.07	52.45	51.50	52.42	458300
20121221	51.59	52.41	50.81	52.09	2580100
20121220	53.19	53.41	51.91	52.12	1344800
20121219	53.45	53.68	52.22	53.06	1273000
20121218	52.90	53.88	52.11	53.51	2014900
20121217	53.48	53.84	52.68	52.76	2486300
20121214	54.63	54.68	53.27	53.38	2369600
20121213	56.65	56.96	54.57	54.69	2405000
20121212	55.38	57.36	55.00	56.80	3980100
20121211	54.60	56.46	53.82	54.91	3935300
20121210	53.03	53.98	52.43	52.84	2038200
20121207	51.93	52.90	51.21	52.78	1371700
20121206	51.90	52.03	51.00	51.85	2169100
20121205	51.85	52.55	51.51	51.63	1679500
20121204	51.88	52.18	50.83	51.66	1745800
20121203	52.37	52.56	51.54	51.88	1621100
20121130	51.90	52.31	51.31	52.05	2140400
20121129	52.06	52.39	51.11	51.69	1797000
20121128	51.82	51.84	50.02	51.36	4228600
20121127	45.86	53.19	45.56	51.97	13181000
20121126	45.92	46.24	45.67	45.88	1405100
20121123	45.78	46.00	45.24	45.94	582200
20121121	45.12	45.88	44.67	45.74	1299800
20121120	45.14	45.77	44.10	44.89	2214100
20121119	46.05	46.43	44.61	45.23	2181800
20121116	44.81	46.71	44.55	45.47	3263400
20121115	42.64	44.94	42.44	44.81	4408200
20121114	46.42	46.42	44.68	44.74	1781600
20121113	45.28	46.75	45.17	46.39	2110800
20121112	45.63	45.64	44.97	45.16	2020000
20121109	44.21	45.59	44.05	45.26	2335100
20121108	40.29	45.00	39.99	44.40	8167300
20121107	44.50	45.74	44.09	44.97	3639400
20121106	45.19	45.71	44.41	45.09	2013100
20121105	44.00	45.30	43.78	45.04	1990300
20121102	43.80	44.95	42.87	44.03	2549400
20121101	44.71	45.58	43.11	44.99	2787200
20121031	45.81	45.97	44.06	44.65	2590800
20121026	46.77	47.09	44.40	45.86	3764800
20121025	47.81	48.07	46.22	47.09	5128000
20121024	42.98	48.15	42.60	47.97	12763100
20121023	44.55	44.60	40.06	41.08	19261700
20121022	53.46	53.54	43.60	45.73	21830400
20121019	55.99	56.00	52.52	53.32	3356200
20121018	57.39	57.40	55.81	56.03	2031100
20121017	58.59	58.76	57.09	57.18	1371100
