Date	Open	High	Low	Close	Volume
20130923	17.23	17.35	16.74	17.05	30431700
20130920	17.24	17.49	17.13	17.23	29994000
20130919	17.51	17.59	17.02	17.16	43491100
20130918	16.88	17.30	16.82	17.27	43474600
20130917	16.47	16.86	16.23	16.84	32427500
20130916	16.54	16.69	16.41	16.44	35709000
20130913	16.00	16.24	15.67	16.20	55788100
20130912	16.52	16.85	16.14	16.20	55883900
20130911	16.30	16.60	16.00	16.49	48486800
20130910	15.90	16.65	15.87	16.26	80753700
20130909	15.40	15.69	15.30	15.62	32719100
20130906	15.24	15.36	14.96	15.26	38111000
20130905	14.95	15.21	14.94	15.17	38703300
20130904	14.97	15.27	14.44	14.75	117523000
20130903	13.78	14.15	13.70	14.01	37060500
20130830	13.59	13.68	13.30	13.57	22278600
20130829	13.23	13.74	13.23	13.57	23787700
20130828	13.18	13.35	13.06	13.24	36138600
20130827	13.56	13.59	13.05	13.18	39898700
20130826	13.90	13.92	13.72	13.78	16331500
20130823	13.91	13.93	13.73	13.86	15663000
20130822	13.75	14.08	13.74	13.86	15091700
20130821	13.81	13.90	13.56	13.63	29709100
20130820	13.81	13.91	13.65	13.80	24379600
20130819	14.00	14.03	13.77	13.80	25506900
20130816	14.17	14.35	13.95	14.01	30624000
20130815	14.41	14.41	13.97	14.13	53528900
20130814	14.82	15.07	14.57	14.82	47850600
20130813	14.14	14.98	14.08	14.97	84457700
20130812	13.95	14.16	13.77	13.83	35376800
20130809	13.75	14.52	13.74	13.99	64619700
20130808	13.81	14.05	13.61	13.95	39511800
20130807	14.00	14.04	13.60	13.81	34736800
20130806	14.16	14.24	13.94	14.14	29094900
20130805	13.51	14.18	13.50	14.17	43741000
20130802	13.50	13.60	13.33	13.50	26500600
20130801	13.38	13.63	13.30	13.57	32858900
20130731	12.67	13.29	12.65	13.24	45062600
20130730	12.50	12.69	12.31	12.60	48759000
20130729	12.67	12.87	12.39	12.47	40786800
20130726	13.06	13.10	12.51	12.59	68782400
20130725	12.95	13.43	12.80	13.29	42692600
20130724	13.80	13.83	13.08	13.11	46712000
20130723	13.89	14.06	13.62	13.64	38691100
20130722	13.62	13.91	13.62	13.83	24337500
20130719	13.67	13.73	13.44	13.73	27734400
20130718	13.79	13.86	13.63	13.69	38727500
20130717	13.45	13.72	13.36	13.59	32539300
20130716	13.16	13.41	13.10	13.38	42885300
20130715	12.76	13.19	12.65	13.07	30926300
20130712	12.74	12.85	12.57	12.69	33419400
20130711	12.87	12.88	12.47	12.70	52215600
20130710	12.93	13.24	12.47	12.55	89592900
20130709	14.08	14.14	13.08	13.14	91816900
20130708	14.36	14.36	13.87	14.03	53084600
20130705	14.27	14.37	14.12	14.31	29746900
20130703	14.29	14.29	14.11	14.14	24489300
20130702	14.03	14.33	13.85	14.31	61198800
20130701	14.47	14.60	14.18	14.27	33909600
20130628	14.30	14.47	14.02	14.33	36612300
20130627	14.30	14.53	14.27	14.34	38747100
20130626	13.89	14.31	13.87	14.18	44886100
20130625	13.74	13.82	13.42	13.75	32876400
20130624	13.81	13.87	13.16	13.46	68189200
20130621	13.85	14.05	13.70	13.90	73389200
20130620	13.48	13.81	13.19	13.54	75247900
20130619	13.82	14.11	13.64	13.97	83958500
20130618	13.34	13.76	13.31	13.75	57594500
20130617	13.16	13.50	13.08	13.24	50588300
20130614	13.08	13.16	12.64	12.76	29740300
20130613	12.53	12.92	12.47	12.91	30212000
20130612	12.98	13.12	12.46	12.49	34199300
20130611	12.87	13.20	12.63	12.81	49707600
20130610	12.64	13.08	12.64	12.95	40488200
20130607	12.56	12.72	12.37	12.65	32419000
20130606	12.18	12.54	12.14	12.35	47860200
20130605	11.69	12.14	11.67	12.02	40890700
20130604	11.73	12.00	11.65	11.71	26370500
20130603	11.74	11.99	11.41	11.73	26382900
20130531	11.83	11.91	11.68	11.68	23852400
20130530	11.81	11.99	11.75	11.89	25785400
20130529	11.69	11.92	11.60	11.83	25205300
20130528	11.74	11.88	11.69	11.78	25633800
20130524	11.30	11.66	11.29	11.59	28601200
20130523	10.73	11.49	10.57	11.39	57163600
20130522	11.23	11.68	10.80	10.92	51844400
20130521	11.21	11.32	11.16	11.23	18960900
20130520	11.31	11.40	11.08	11.21	24658400
20130517	11.16	11.42	11.13	11.31	30543500
20130516	10.93	11.26	10.93	11.06	35917300
20130515	10.68	11.00	10.63	10.87	25065200
20130514	10.70	10.71	10.52	10.65	20576300
20130513	10.75	10.81	10.60	10.66	22562900
20130510	10.60	10.90	10.60	10.82	35312700
20130509	10.22	10.75	10.21	10.71	46665700
20130508	9.92	10.26	9.82	10.24	37045600
20130507	9.80	9.98	9.66	9.97	26888100
20130506	9.73	9.94	9.70	9.76	21108200
20130503	9.45	9.70	9.43	9.63	23335200
20130502	9.10	9.36	9.07	9.32	26660200
20130501	9.42	9.47	9.15	9.20	29159700
20130430	9.41	9.46	9.19	9.42	27791600
20130429	9.48	9.50	9.34	9.35	17186600
20130426	9.50	9.73	9.41	9.43	20556000
20130425	9.36	9.64	9.32	9.53	28185700
20130424	9.40	9.50	9.31	9.42	21298900
20130423	9.40	9.49	9.27	9.42	24320300
20130422	9.36	9.43	9.14	9.31	25020600
20130419	9.26	9.47	9.10	9.35	32770600
20130418	9.53	9.58	9.11	9.23	34728800
20130417	9.74	9.76	9.35	9.39	37553400
20130416	9.78	9.89	9.70	9.87	28029600
20130415	9.93	9.96	9.56	9.56	28377200
20130412	9.92	10.09	9.83	10.01	19487800
20130411	9.91	10.15	9.77	9.98	28744300
20130410	9.64	10.22	9.63	10.09	49796900
20130409	9.45	9.67	9.39	9.57	21306900
20130408	9.29	9.41	9.06	9.39	27065000
20130405	9.15	9.59	9.12	9.31	41684200
20130404	9.09	9.33	9.04	9.31	30485200
20130403	9.35	9.45	9.05	9.10	31012800
20130402	9.51	9.71	9.25	9.30	36023200
20130401	9.97	9.98	9.34	9.38	44911900
20130328	10.01	10.03	9.87	9.98	21787500
20130327	9.76	10.04	9.68	9.96	27592700
20130326	9.92	10.10	9.80	9.92	29906700
20130325	10.01	10.13	9.78	9.88	39368000
20130322	9.75	10.27	9.73	10.04	99807600
20130321	9.35	9.37	9.07	9.07	39419600
20130320	9.33	9.48	9.19	9.31	31547600
20130319	9.27	9.41	9.09	9.24	26663100
20130318	9.05	9.32	8.98	9.18	28917300
20130315	9.74	9.75	9.27	9.37	43397000
20130314	9.62	9.74	9.58	9.69	25192800
20130313	9.35	9.66	9.35	9.51	41491000
20130312	9.36	9.45	9.20	9.32	35260600
20130311	9.15	9.40	9.00	9.35	43535800
20130308	9.03	9.24	8.92	9.20	34822800
20130307	8.77	8.95	8.71	8.94	26147300
20130306	8.82	8.88	8.64	8.65	19929100
20130305	8.55	8.79	8.52	8.73	36701000
20130304	8.23	8.54	8.20	8.40	40980800
20130301	8.32	8.36	8.20	8.25	19215200
20130228	8.23	8.50	8.22	8.38	44039800
20130227	7.97	8.23	7.95	8.18	21590500
20130226	7.98	8.08	7.85	7.96	25972800
20130225	8.12	8.22	7.88	7.93	36297900
20130222	7.76	8.03	7.72	8.02	28722100
20130221	7.82	7.88	7.64	7.68	37865800
20130220	8.20	8.25	7.86	7.88	32447700
20130219	7.90	8.12	7.88	8.12	24703800
20130215	8.11	8.22	7.89	7.91	40145400
20130214	7.90	8.09	7.86	8.08	24535600
20130213	7.95	7.98	7.85	7.95	15371200
20130212	7.91	7.98	7.85	7.92	19868600
20130211	7.76	7.95	7.72	7.91	20221800
20130208	7.78	7.81	7.66	7.75	24731700
20130207	7.98	8.04	7.63	7.73	58974800
20130206	7.70	8.06	7.70	7.95	46545300
20130205	7.82	7.93	7.67	7.87	21156900
20130204	7.80	8.01	7.73	7.76	27028200
20130201	7.65	7.84	7.65	7.83	18710800
20130131	7.64	7.70	7.54	7.56	25680800
20130130	7.58	7.73	7.55	7.65	21175000
20130129	7.81	7.82	7.54	7.58	35140300
20130128	7.89	7.99	7.78	7.82	20638000
20130125	7.89	8.08	7.83	7.87	30082500
20130124	7.72	7.89	7.70	7.83	18816000
20130123	7.88	7.90	7.68	7.78	23846100
20130122	7.84	7.93	7.70	7.84	23287200
20130118	7.81	7.99	7.79	7.89	33156900
20130117	7.70	7.87	7.70	7.81	28642800
20130116	7.63	7.75	7.59	7.67	18978000
20130115	7.54	7.62	7.43	7.60	20793800
20130114	7.50	7.69	7.46	7.60	31488200
20130111	7.39	7.56	7.30	7.54	25837200
20130110	7.37	7.44	7.28	7.42	18685600
20130109	7.25	7.38	7.24	7.31	20647500
20130108	7.14	7.29	7.06	7.23	30791800
20130107	7.06	7.28	7.03	7.18	31133300
20130104	6.95	6.96	6.85	6.96	18802700
20130103	6.64	6.97	6.61	6.90	39091500
20130102	6.60	6.67	6.45	6.63	29556500
20121231	6.14	6.36	6.11	6.34	18787600
20121228	6.16	6.28	6.11	6.13	15127400
20121227	6.18	6.26	6.07	6.22	18455400
20121226	6.23	6.34	6.17	6.18	10342300
20121224	6.38	6.38	6.18	6.23	6840000
20121221	6.48	6.49	6.18	6.32	58144400
20121220	6.84	6.87	6.73	6.79	19997000
20121219	6.71	6.87	6.70	6.82	25576000
20121218	6.62	6.71	6.55	6.70	28810700
20121217	6.85	6.90	6.54	6.61	34772400
20121214	6.74	6.89	6.69	6.85	23368900
20121213	6.74	6.80	6.62	6.66	24047400
20121212	6.86	6.86	6.64	6.71	28353700
20121211	6.70	6.84	6.63	6.77	24442700
20121210	6.45	6.73	6.43	6.67	32458100
20121207	6.42	6.51	6.35	6.44	22046900
20121206	6.15	6.42	6.10	6.41	30376200
20121205	6.05	6.20	6.02	6.18	18644200
20121204	6.00	6.05	5.92	6.04	20645500
20121203	6.02	6.03	5.90	5.93	15082300
20121130	5.88	5.98	5.85	5.97	20270200
20121129	5.80	5.92	5.74	5.91	25011800
20121128	5.62	5.79	5.58	5.77	24166600
20121127	5.71	5.78	5.65	5.68	34241300
20121126	5.68	5.79	5.62	5.70	29431300
20121123	5.57	5.71	5.54	5.68	13674700
20121121	5.53	5.56	5.46	5.52	17426100
20121120	5.48	5.59	5.45	5.56	17348700
20121119	5.56	5.67	5.51	5.54	28105900
20121116	5.48	5.52	5.33	5.47	25895300
20121115	5.64	5.64	5.41	5.47	19620000
20121114	5.79	5.82	5.52	5.56	21264400
20121113	5.47	5.81	5.46	5.74	29127300
20121112	5.63	5.69	5.50	5.57	19265200
20121109	5.69	5.80	5.59	5.62	22103800
20121108	5.87	5.93	5.66	5.69	30618500
20121107	5.94	6.02	5.76	5.91	39729900
20121106	5.88	6.09	5.86	6.09	46489800
20121105	5.70	5.88	5.63	5.84	20052000
20121102	5.82	5.87	5.65	5.71	24445700
20121101	5.52	5.80	5.51	5.79	20757200
20121031	5.54	5.65	5.38	5.43	18546200
20121026	5.60	5.69	5.41	5.47	28145300
20121025	5.20	5.71	5.18	5.69	46181100
20121024	5.47	5.50	5.16	5.17	35474400
20121023	5.35	5.49	5.29	5.41	36240300
20121022	5.46	5.47	5.35	5.44	26365300
20121019	5.76	5.77	5.44	5.45	23348000
20121018	5.78	5.82	5.65	5.65	16866700
20121017	5.75	5.85	5.67	5.78	16544400
20121016	5.72	5.80	5.67	5.78	16460300
20121015	5.76	5.76	5.64	5.72	15011600
20121012	5.76	5.80	5.63	5.67	20027100
20121011	5.77	5.79	5.67	5.75	23649500
20121010	5.79	5.80	5.64	5.76	16794300
20121009	5.83	5.86	5.70	5.76	16388700
20121008	5.83	5.90	5.80	5.85	11144500
20121005	5.91	6.03	5.85	5.89	17263600
20121004	5.84	5.89	5.77	5.88	14778900
20121003	5.88	5.90	5.77	5.84	14783500
20121002	5.81	5.85	5.74	5.84	20219900
20121001	6.07	6.10	5.72	5.77	40669400
20120928	6.05	6.24	5.97	5.98	41019800
20120927	6.01	6.07	5.90	6.02	38639200
20120926	6.10	6.10	5.87	5.94	33656700
