Date	Open	High	Low	Close	Volume
20130923	38.50	38.54	37.83	38.07	3343000
20130920	38.42	39.03	38.42	38.66	5417600
20130919	38.59	38.91	38.26	38.33	4004600
20130918	38.44	38.81	38.06	38.60	6085800
20130917	39.36	39.36	38.49	38.50	3790000
20130916	39.35	39.41	38.77	38.95	4645000
20130913	38.80	38.98	38.64	38.92	4046000
20130912	38.21	38.88	38.09	38.72	5729900
20130911	38.24	38.50	37.83	38.05	5591200
20130910	37.53	38.56	37.39	38.24	11219500
20130909	35.46	36.56	35.10	36.49	6830000
20130906	35.89	35.99	34.86	35.29	5327200
20130905	35.95	36.07	35.65	35.88	1711200
20130904	35.65	36.08	35.51	35.93	2589500
20130903	35.75	35.88	35.45	35.71	5851300
20130830	35.37	35.45	35.05	35.34	3197100
20130829	34.83	35.54	34.82	35.34	2546200
20130828	34.84	35.23	34.59	35.06	2434200
20130827	35.26	35.31	34.46	34.76	2658400
20130826	35.70	35.99	35.52	35.52	1878900
20130823	35.71	35.88	35.52	35.79	2330200
20130822	35.42	35.85	35.41	35.58	2046900
20130821	35.62	35.81	35.19	35.44	5044200
20130820	35.99	36.07	35.67	35.73	4053000
20130819	36.88	36.88	35.88	35.99	4145700
20130816	36.10	36.60	36.09	36.19	3354900
20130815	36.59	36.79	36.07	36.20	5761200
20130814	37.21	37.25	36.61	36.82	3991300
20130813	37.13	37.35	36.98	37.15	7605000
20130812	36.99	37.30	36.78	37.19	5967000
20130809	36.86	37.39	36.84	37.19	2973800
20130808	37.10	37.32	36.77	37.05	3443000
20130807	36.80	37.47	36.71	37.08	6348700
20130806	36.93	37.10	36.53	36.82	4619100
20130805	36.61	36.99	36.34	36.88	7182800
20130802	35.41	36.77	35.33	36.40	14189800
20130801	33.73	34.62	33.53	33.98	6080800
20130731	33.37	33.74	33.20	33.56	4442300
20130730	33.27	33.48	33.03	33.41	3763200
20130729	33.33	33.62	33.05	33.10	2852100
20130726	32.58	33.50	32.40	33.43	4305200
20130725	32.19	32.65	32.00	32.59	2001200
20130724	32.32	32.61	32.16	32.38	1894200
20130723	32.72	32.75	32.15	32.32	3815100
20130722	33.00	33.07	32.53	32.65	2447800
20130719	32.42	32.70	32.00	32.67	2839800
20130718	32.01	32.62	32.00	32.30	2753600
20130717	32.10	32.24	31.76	31.98	3222900
20130716	32.23	32.28	31.92	32.11	3670000
20130715	32.10	32.24	31.64	32.13	3153400
20130712	31.55	32.10	31.51	32.09	3558400
20130711	31.57	31.75	31.42	31.44	4823800
20130710	31.23	31.49	30.98	31.28	3239600
20130709	31.13	31.50	30.91	31.19	3631700
20130708	31.02	31.12	30.59	30.90	3394400
20130705	30.73	30.96	30.57	30.84	2300900
20130703	30.18	30.57	30.01	30.47	1723000
20130702	30.83	30.89	30.28	30.37	3793900
20130701	30.95	31.39	30.85	30.86	3266600
20130628	30.85	31.47	30.73	31.03	5697300
20130627	30.72	30.98	30.60	30.90	3778900
20130626	30.45	30.81	30.34	30.48	3138900
20130625	30.55	30.72	30.10	30.40	5096300
20130624	30.33	30.51	29.93	30.25	3814000
20130621	30.49	30.81	29.90	30.63	10274300
20130620	31.04	31.06	30.18	30.35	5468800
20130619	31.89	31.92	31.14	31.27	3461800
20130618	31.62	31.96	31.41	31.87	3417300
20130617	31.83	32.00	31.21	31.54	4009400
20130614	31.45	32.00	31.30	31.68	3841100
20130613	30.81	31.42	30.44	31.34	3451300
20130612	30.92	31.36	30.73	30.82	4410500
20130611	30.51	31.12	30.30	30.77	4127600
20130610	30.65	30.90	30.43	30.71	2560600
20130607	30.52	30.96	30.15	30.58	2540900
20130606	29.90	30.42	29.70	30.41	3588000
20130605	29.90	30.45	29.73	29.89	5448800
20130604	30.31	30.40	29.50	29.87	6481200
20130603	30.46	30.85	30.11	30.40	4567200
20130531	30.84	31.01	30.48	30.48	4798200
20130530	31.07	31.33	30.90	30.97	4317900
20130529	31.63	31.67	30.95	31.11	3845700
20130528	31.58	32.27	31.44	31.63	4299100
20130524	31.69	31.69	31.04	31.18	5952800
20130523	31.27	32.00	31.17	31.75	4021900
20130522	31.25	32.09	31.15	31.55	8435100
20130521	31.23	31.38	30.95	31.23	3568500
20130520	31.35	31.89	31.14	31.28	4321400
20130517	30.90	31.47	30.84	31.40	5720300
20130516	30.80	31.47	30.34	30.70	7256100
20130515	27.77	30.53	27.77	30.50	5631000
20130514	29.30	31.00	29.02	30.10	9796100
20130513	29.56	29.63	29.05	29.20	3709800
20130510	29.12	29.66	28.99	29.65	4961700
20130509	29.21	29.41	28.87	29.27	5827300
20130508	29.67	29.93	29.30	29.33	4414300
20130507	29.57	29.90	29.53	29.69	4555600
20130506	29.00	29.49	28.67	29.45	6633200
20130503	29.03	29.17	28.80	28.90	4872600
20130502	28.75	28.93	28.48	28.83	5378900
20130501	29.08	29.14	28.68	28.70	4853800
20130430	28.89	29.13	28.73	29.11	6278400
20130429	29.30	29.51	28.99	29.01	4884700
20130426	29.30	29.50	29.17	29.31	6767800
20130425	28.82	29.31	28.73	29.28	9660500
20130424	28.70	28.81	28.55	28.69	5908100
