Date	Open	High	Low	Close	Volume
20130923	320.39	320.39	299.52	302.04	4575800
20130920	305.84	315.89	305.62	313.83	4398800
20130919	308.37	308.75	304.01	305.50	2478800
20130918	298.96	307.68	298.12	306.92	1962800
20130917	302.04	303.26	297.70	299.55	2600100
20130916	310.00	310.19	301.80	302.16	2007900
20130913	302.00	306.00	299.19	305.65	2147100
20130912	301.84	306.45	298.35	301.41	3135400
20130911	313.74	314.18	303.88	308.30	4277200
20130910	297.50	313.24	296.81	313.06	5229400
20130909	292.75	295.30	290.28	294.15	1977200
20130906	296.33	296.51	290.20	291.54	2528400
20130905	296.80	298.93	294.42	295.11	2724600
20130904	288.84	293.06	286.99	292.43	2814500
20130903	287.43	290.71	284.55	289.00	2852800
20130830	288.25	288.83	282.95	283.91	2164200
20130829	284.03	290.23	283.84	287.85	2722800
20130828	278.66	285.00	276.40	283.36	2765100
20130827	279.15	285.88	274.50	276.04	3305500
20130826	276.11	289.94	274.04	282.72	4431100
20130823	270.05	278.39	269.02	278.36	3183600
20130822	272.52	273.46	268.23	269.75	1423100
20130821	272.89	274.65	267.50	270.37	3036900
20130820	262.93	273.54	262.50	273.29	4305800
20130819	258.00	263.50	257.75	259.78	2213900
20130816	253.21	260.15	251.13	258.87	3050600
20130815	259.00	260.49	251.36	253.41	2375600
20130814	258.30	263.79	258.02	261.81	2485700
20130813	258.65	262.20	253.26	259.19	3134400
20130812	251.28	257.00	250.42	256.60	2543500
20130809	249.99	253.71	249.80	252.75	1760400
20130808	251.87	253.90	248.45	250.40	2114300
20130807	254.36	257.47	248.66	249.21	2332700
20130806	253.95	257.60	250.10	255.90	2916200
20130805	243.91	253.90	241.38	253.84	3280300
20130802	249.34	249.34	244.80	246.18	1982800
20130801	246.54	250.00	244.57	249.12	2019900
20130731	243.41	247.10	241.94	244.48	1874400
20130730	245.40	247.91	241.81	243.76	1555800
20130729	246.06	250.67	242.50	244.96	1887900
20130726	244.62	246.98	240.81	246.31	2546700
20130725	240.56	247.66	239.91	246.74	2804900
20130724	249.72	252.25	240.20	241.30	4772800
20130723	251.40	262.23	246.20	250.26	10975600
20130722	266.85	268.75	257.12	261.96	6759100
20130719	267.43	267.95	263.18	264.58	2588600
20130718	270.31	270.31	264.00	266.41	2926800
20130717	261.24	268.26	258.67	267.92	2787200
20130716	257.29	266.37	256.70	260.48	4765200
20130715	259.40	259.85	252.13	257.98	2944700
20130712	245.83	257.43	245.75	257.26	4891200
20130711	248.00	249.20	240.82	244.17	3020900
20130710	245.55	246.90	239.21	243.82	3225500
20130709	235.04	247.41	234.87	247.38	5072800
20130708	226.98	235.24	225.51	233.10	3469900
20130705	222.09	225.25	219.33	225.10	1422500
20130703	222.12	224.00	218.95	220.91	1232200
20130702	225.23	227.47	218.00	221.46	2532900
20130701	213.62	225.33	212.00	224.28	3502500
20130628	214.27	216.30	210.05	211.09	2797300
20130627	212.91	216.73	209.60	214.97	2618100
20130626	214.55	218.25	210.82	212.10	2690600
20130625	211.97	213.50	207.56	212.90	2988400
20130624	213.00	219.08	209.00	215.60	2556600
20130621	225.05	226.38	214.20	216.90	3342600
20130620	229.47	231.00	220.54	223.52	3016600
