Date	Open	High	Low	Close	Volume
20130923	19.19	19.32	18.88	18.91	3785600
20130920	19.38	19.44	19.18	19.27	4766400
20130919	19.34	19.44	19.08	19.40	3420700
20130918	19.23	19.37	19.05	19.31	3319400
20130917	19.09	19.27	18.89	19.23	3174700
20130916	19.44	19.44	19.11	19.15	3342500
20130913	19.36	19.48	19.06	19.31	5382600
20130912	19.88	19.89	19.40	19.50	4715000
20130911	19.87	20.01	19.80	19.97	3610800
20130910	20.01	20.01	19.63	19.97	3622300
20130909	19.56	19.99	19.45	19.80	6906100
20130906	19.29	19.75	19.06	19.66	4786100
20130905	19.33	19.41	19.15	19.21	2665000
20130904	19.25	19.29	19.02	19.24	2329500
20130903	19.32	19.40	18.84	19.13	5127500
20130830	18.90	19.20	18.65	19.09	8393600
20130829	18.34	18.71	18.00	18.31	6157700
20130828	18.77	18.79	18.48	18.50	4532400
20130827	18.81	18.96	18.75	18.88	3308300
20130826	19.33	19.42	18.97	19.01	2292000
20130823	18.89	19.50	18.53	19.31	5770700
20130822	19.11	19.28	19.02	19.20	1593100
20130821	19.08	19.30	18.98	19.09	1588600
20130820	19.30	19.40	19.02	19.19	2576000
20130819	19.04	19.27	18.89	19.06	2409100
20130816	19.25	19.29	18.94	19.04	3964900
20130815	19.65	19.70	19.19	19.28	2854300
20130814	19.74	19.90	19.57	19.72	3404600
20130813	19.36	19.90	19.11	19.68	6179100
20130812	19.02	19.37	18.92	19.34	2769000
20130809	19.37	19.78	19.06	19.11	5385300
20130808	19.50	19.50	19.12	19.33	6337800
20130807	17.98	19.22	17.90	19.10	14740500
20130806	19.20	19.35	18.84	19.33	5539000
20130805	19.30	19.42	19.08	19.17	2436100
20130802	19.12	19.36	19.00	19.32	2762000
20130801	18.87	19.10	18.87	19.08	2371100
20130731	18.56	18.98	18.51	18.76	2967400
20130730	18.51	18.53	18.33	18.42	3380900
20130729	18.75	18.82	18.35	18.39	4200500
20130726	18.89	18.98	18.73	18.77	2856400
20130725	19.02	19.22	18.97	19.05	2601600
20130724	19.17	19.31	18.98	19.08	3180700
20130723	18.88	19.03	18.82	18.96	2673400
20130722	18.75	18.98	18.68	18.91	2059600
20130719	19.10	19.14	18.77	18.82	3796400
20130718	19.20	19.44	19.05	19.14	2569100
20130717	19.10	19.21	19.00	19.16	2093800
20130716	19.14	19.24	19.00	19.10	2621200
20130715	19.04	19.15	18.88	19.11	3156300
20130712	19.00	19.16	18.89	19.04	3495500
20130711	19.25	19.33	18.91	18.98	3805100
20130710	18.99	19.09	18.89	19.08	2096200
20130709	19.10	19.13	18.95	19.02	2286200
20130708	19.12	19.26	18.90	19.05	1986500
20130705	18.89	19.06	18.81	19.04	1741500
20130703	18.57	18.94	18.50	18.84	1180200
20130702	18.90	18.93	18.58	18.70	2662100
20130701	18.46	18.98	18.35	18.84	3467000
20130628	18.54	18.61	18.38	18.40	7840600
20130627	18.27	18.68	18.17	18.63	5568300
20130626	18.42	18.57	18.12	18.12	2910100
20130625	18.24	18.41	18.15	18.33	2307900
20130624	18.31	18.36	18.05	18.13	4169500
20130621	18.48	18.65	18.36	18.50	5757100
20130620	18.63	18.70	18.44	18.52	4240100
20130619	19.11	19.16	18.78	18.78	3540300
20130618	18.78	19.05	18.77	19.04	3297800
20130617	18.78	18.95	18.66	18.85	4459800
20130614	18.89	19.04	18.61	18.69	4819400
20130613	18.80	19.06	18.61	18.98	3925300
20130612	19.01	19.04	18.75	18.89	3757400
20130611	18.55	19.10	18.51	18.90	5255000
20130610	19.06	19.10	18.73	18.76	6865700
20130607	18.98	19.25	18.87	19.04	3834100
20130606	18.50	18.88	18.36	18.88	5629000
20130605	18.85	18.90	18.30	18.53	7602900
20130604	18.78	19.10	18.75	18.98	3820600
20130603	19.13	19.16	18.64	18.79	5647400
20130531	19.37	19.37	19.00	19.00	5781000
20130530	19.37	19.72	19.34	19.59	2716000
20130529	19.27	19.48	19.25	19.36	2356600
20130528	19.42	19.76	19.35	19.50	3741600
20130524	19.09	19.27	19.03	19.21	2923700
20130523	18.87	19.38	18.82	19.23	6861600
20130522	19.34	19.78	19.03	19.24	7799100
20130521	18.81	19.56	18.80	19.27	8812800
20130520	18.57	18.76	18.45	18.72	4600700
20130517	18.71	18.73	18.55	18.62	5391600
20130516	18.70	18.75	18.59	18.62	5812300
20130515	18.70	18.72	18.54	18.59	6430100
20130514	18.78	18.94	18.73	18.79	5421800
20130513	19.10	19.10	18.72	18.76	6416600
20130510	19.15	19.15	18.85	19.01	9197100
20130509	19.20	19.21	18.79	18.88	9486100
20130508	19.43	19.49	19.12	19.16	7767600
20130507	19.50	19.56	19.10	19.29	5842200
20130506	19.60	19.69	19.27	19.47	5647200
20130503	19.59	20.09	19.51	19.53	9682700
20130502	19.09	19.41	18.95	19.40	7477500
20130501	19.26	19.35	18.84	18.97	11014000
20130430	19.66	19.75	18.75	19.04	36013200
20130429	22.98	23.38	22.75	23.30	4146200
20130426	22.62	22.87	22.38	22.77	3487800
20130425	22.39	22.91	22.25	22.75	5155500
20130424	21.33	22.64	21.25	22.27	8726000
20130423	21.22	21.44	21.05	21.35	3576000
20130422	20.40	21.20	20.37	21.04	7682200
20130419	20.41	20.57	20.01	20.39	2649000
20130418	20.71	20.76	20.07	20.24	2456000
20130417	20.95	20.97	20.44	20.69	2528800
20130416	21.02	21.19	20.86	21.12	3964700
20130415	21.43	21.45	20.62	20.82	4478500
20130412	21.59	21.65	21.31	21.61	2689100
20130411	21.56	22.05	21.29	21.65	4140300
20130410	21.00	21.88	21.00	21.60	4348300
20130409	20.32	21.30	20.16	20.96	7603300
20130408	20.52	20.65	20.15	20.27	3333300
20130405	20.49	20.57	19.98	20.52	6482800
20130404	21.10	21.43	20.80	20.81	4671900
20130403	21.41	21.50	21.02	21.06	5572800
20130402	21.87	21.90	21.02	21.33	16047700
20130401	20.16	20.21	19.89	20.18	5448400
20130328	20.09	20.23	19.98	20.18	3046800
20130327	19.80	20.13	19.67	20.11	3755100
20130326	19.94	20.03	19.79	19.99	4063600
20130325	19.67	19.94	19.67	19.81	4967800
20130322	19.74	19.87	19.51	19.86	6151500
20130321	19.19	20.10	18.95	19.86	9178000
20130320	18.67	19.52	18.61	19.50	9487300
20130319	18.61	18.75	18.31	18.44	2917300
20130318	18.40	18.75	18.23	18.61	3382400
20130315	19.35	19.42	18.49	18.57	7611900
20130314	19.32	19.56	19.15	19.41	2237400
20130313	19.16	19.29	18.99	19.21	3252400
20130312	19.25	19.33	19.11	19.21	3105600
20130311	19.13	19.37	19.02	19.33	2786000
20130308	19.10	19.34	18.83	19.22	3524400
20130307	18.88	19.07	18.76	19.02	3315600
20130306	19.00	19.03	18.66	18.88	4309200
20130305	18.66	18.92	18.58	18.91	5328800
20130304	18.23	18.44	18.18	18.43	4078000
20130301	18.29	18.46	18.00	18.25	5250000
20130228	18.28	18.50	18.01	18.41	4522700
20130227	18.27	18.54	18.15	18.30	3559000
20130226	18.40	18.51	18.13	18.33	3723000
20130225	18.75	19.11	18.36	18.39	4422600
20130222	18.38	18.72	18.38	18.66	3457000
20130221	18.55	18.64	18.19	18.35	5347100
20130220	18.83	19.03	18.54	18.65	6843600
20130219	18.75	18.89	18.65	18.87	5314500
20130215	19.18	19.34	18.58	18.73	6447700
20130214	18.50	19.18	18.45	19.13	8555400
20130213	19.17	19.18	18.38	18.51	11798200
20130212	19.52	19.56	18.83	18.91	11829000
20130211	20.02	20.05	19.51	19.52	7763400
20130208	20.38	20.93	19.80	20.00	33915200
20130207	24.45	24.85	24.29	24.55	6275100
20130206	24.38	24.67	24.03	24.61	2855900
20130205	24.17	24.47	23.95	24.38	2251500
20130204	24.03	24.38	24.00	24.23	3932800
20130201	24.11	24.40	23.96	24.26	2043700
20130131	24.01	24.32	23.86	24.05	2531400
20130130	24.14	24.31	23.95	24.09	2788100
20130129	23.89	24.27	23.56	24.22	2724300
20130128	23.58	24.12	23.57	24.02	3246700
20130125	22.81	23.60	22.70	23.58	2973500
20130124	22.85	22.96	22.61	22.81	3091800
20130123	23.16	23.30	22.83	23.15	2763200
20130122	23.21	23.24	22.78	23.10	2501300
20130118	23.40	23.45	23.11	23.23	1743300
20130117	23.30	23.46	22.93	23.33	2575800
20130116	23.50	23.66	23.15	23.15	2555400
20130115	23.07	23.49	22.88	23.38	2006900
20130114	23.08	23.20	22.93	23.18	1226800
20130111	23.10	23.25	22.83	23.02	1484600
20130110	23.14	23.28	22.78	23.18	1470700
20130109	23.41	23.46	23.01	23.02	1352000
20130108	23.00	23.46	22.88	23.35	2101100
20130107	23.00	23.09	22.51	23.00	1954500
20130104	23.00	23.11	22.54	22.94	2305100
20130103	23.41	23.43	22.77	22.90	2221800
20130102	23.04	23.68	22.99	23.30	3343300
20121231	21.83	22.34	21.67	22.32	1946600
20121228	21.94	22.15	21.84	21.87	1036300
20121227	22.20	22.20	21.85	22.08	1662300
20121226	22.15	22.61	22.05	22.16	1366200
20121224	22.19	22.22	21.90	22.21	589900
20121221	21.79	22.21	21.50	22.13	3710600
20121220	22.93	23.00	22.34	22.40	2289600
20121219	22.96	23.05	22.79	22.90	2612700
20121218	22.32	23.01	22.24	22.95	2982300
20121217	22.01	22.33	21.83	22.32	1883200
20121214	21.83	22.10	21.73	22.01	1880900
20121213	22.25	22.43	21.60	21.86	2248600
20121212	22.42	22.50	22.09	22.24	2178000
20121211	22.09	22.50	22.03	22.42	2613800
20121210	21.66	22.14	21.63	21.88	1333100
20121207	21.95	22.00	21.52	21.83	1648500
20121206	21.96	22.11	21.87	21.92	1603500
20121205	21.64	22.05	21.44	21.99	1731700
20121204	21.79	21.88	21.49	21.60	1844400
20121203	22.28	22.33	21.64	21.77	1931900
20121130	22.00	22.46	21.96	22.24	3115300
20121129	21.89	22.20	21.81	22.06	1902500
20121128	21.68	21.85	21.15	21.81	2365100
20121127	21.51	21.82	21.46	21.75	3535700
20121126	20.68	21.59	20.68	21.57	3319900
20121123	20.53	20.83	20.50	20.65	1311300
20121121	20.15	20.57	20.13	20.47	2747500
20121120	21.08	21.43	19.99	20.10	7577100
20121119	20.83	21.66	20.61	21.57	5764700
20121116	20.39	20.54	20.18	20.35	4728500
20121115	20.25	20.56	20.17	20.34	4013500
20121114	20.79	20.95	20.14	20.16	2168700
20121113	20.98	21.02	20.70	20.71	2163400
20121112	21.24	21.25	21.00	21.08	888500
20121109	21.38	21.41	20.99	21.15	2069700
20121108	21.91	21.97	21.41	21.42	1333700
20121107	22.55	22.56	21.51	21.74	2716100
20121106	22.75	23.00	22.67	22.71	1388500
20121105	22.67	22.78	22.46	22.67	866300
20121102	23.11	23.14	22.70	22.70	1354600
20121101	22.27	22.95	22.12	22.95	1459800
20121031	22.08	22.35	22.01	22.27	1667200
20121026	22.14	22.41	22.00	22.35	1726600
20121025	22.33	22.54	22.00	22.19	1304400
20121024	22.48	22.49	21.99	22.16	1310100
20121023	21.84	22.46	21.81	22.28	1627900
20121022	22.37	22.38	21.84	22.11	1926300
20121019	22.54	22.86	22.05	22.34	2952900
20121018	23.25	23.31	22.53	22.53	3218500
20121017	23.40	23.55	23.25	23.46	1818200
20121016	23.41	23.68	23.20	23.62	1608400
20121015	23.39	23.55	23.10	23.39	1140400
20121012	23.21	23.47	23.15	23.32	1607700
20121011	23.19	23.46	22.96	23.32	2015400
20121010	23.27	23.30	22.77	22.91	2445700
20121009	24.09	24.14	23.12	23.27	3194500
20121008	24.36	24.54	24.13	24.15	1216000
20121005	24.86	25.00	24.43	24.46	1768100
20121004	24.81	24.85	24.56	24.70	1634300
20121003	24.99	25.03	24.61	24.75	1926200
20121002	24.75	25.33	24.54	24.99	2481300
20121001	24.95	25.18	24.45	24.69	3130500
20120928	24.59	25.10	24.41	24.89	4365000
20120927	24.10	24.77	23.85	24.70	2651100
20120926	24.41	24.47	23.58	24.00	2818600
20120925	25.00	25.20	24.32	24.34	3641200
20120924	25.00	25.14	24.78	24.93	2777700
20120921	25.51	25.51	25.05	25.16	3760900
20120920	25.36	25.40	25.04	25.22	2151100
20120919	25.40	25.65	25.36	25.39	2831400
20120918	25.39	25.55	25.15	25.40	2304000
20120917	25.70	25.75	25.37	25.49	1672400
20120914	25.58	25.86	25.50	25.79	2843600
20120913	25.06	25.89	25.02	25.61	6257700
20120912	24.94	25.07	24.64	24.86	3478600
20120911	24.37	25.14	24.20	24.84	6796500
20120910	24.34	24.50	24.16	24.42	2395500
20120907	24.26	24.49	24.10	24.45	2214800
20120906	23.62	24.30	23.45	24.30	2754800
20120905	23.70	23.79	23.35	23.45	3867200
20120904	23.67	23.89	23.42	23.67	3400700
20120831	23.72	23.97	23.27	23.85	2165600
20120830	23.86	24.04	23.39	23.56	2804300
20120829	24.05	24.26	23.99	24.05	2664800
20120828	23.91	24.28	23.69	24.07	4588800
20120827	24.02	24.07	23.65	23.96	2695200
20120824	23.90	24.23	23.65	23.89	3610200
20120823	24.02	24.22	23.84	23.93	3428600
20120822	24.34	24.35	23.76	24.03	2944000
20120821	24.04	24.66	24.02	24.32	4538600
20120820	24.09	24.11	23.60	23.88	3100800
20120817	23.95	24.13	23.63	24.07	3114400
20120816	23.45	24.05	23.33	23.90	3323000
20120815	23.46	23.65	22.95	23.46	4090200
20120814	23.20	23.88	23.19	23.55	5623200
20120813	23.38	23.48	22.67	23.12	2501000
20120810	22.65	23.73	22.64	23.53	4382200
20120809	23.00	23.00	22.59	22.64	4564000
20120808	21.92	23.80	21.79	23.18	8878400
20120807	23.00	23.51	21.15	21.63	8779800
20120806	21.74	22.72	21.65	22.39	4392900
20120803	21.30	21.55	21.06	21.45	3643300
20120802	20.39	21.13	20.20	20.97	3508200
20120801	20.50	20.98	20.41	20.48	3549300
20120731	20.86	21.16	20.28	20.35	4600300
20120730	21.03	21.16	20.48	20.65	1795900
20120727	20.25	21.14	20.24	21.06	2656300
20120726	20.22	20.50	20.00	20.13	2886300
20120725	19.75	20.14	19.60	19.98	3576600
20120724	20.52	20.52	19.58	19.81	4446400
20120723	21.06	21.12	20.19	20.38	3573000
20120720	22.06	22.15	21.25	21.43	2871700
20120719	21.54	22.15	21.47	22.07	3242000
20120718	21.18	21.57	21.04	21.45	3746000
20120717	21.32	21.37	20.75	21.22	3424700
20120716	21.55	21.55	21.11	21.22	2551600
20120713	21.30	21.74	21.26	21.58	2318900
20120712	21.31	21.47	20.57	21.26	4398100
20120711	22.12	22.22	21.25	21.41	4152100
20120710	22.58	22.78	21.92	22.16	2571400
20120709	22.74	22.90	22.35	22.44	3087400
20120706	23.51	23.52	22.55	22.75	3338800
20120705	23.90	23.99	23.44	23.61	2584700
20120703	23.35	24.00	23.34	24.00	2276400
20120702	23.72	23.84	23.15	23.32	2820000
20120629	23.27	23.98	23.23	23.82	3271500
20120628	22.74	22.98	22.30	22.77	3159200
20120627	22.53	23.17	22.47	23.00	3019100
20120626	22.52	22.82	22.33	22.54	4074000
20120625	22.70	22.76	22.19	22.41	2746100
20120622	22.18	22.95	22.12	22.92	3923700
20120621	22.75	22.82	22.03	22.14	4188800
20120620	22.41	23.00	22.36	22.84	4438100
20120619	21.83	22.88	21.76	22.53	6716900
