Date	Open	High	Low	Close	Volume
20130923	15.78	15.91	15.55	15.64	6781100
20130920	15.97	16.07	15.76	15.79	8881500
20130919	16.07	16.10	15.86	15.93	5689300
20130918	15.87	16.04	15.79	16.00	6704200
20130917	15.87	15.99	15.80	15.86	4215200
20130916	15.93	16.04	15.75	15.81	5785300
20130913	15.75	15.87	15.64	15.80	3992400
20130912	15.63	15.90	15.63	15.70	7595200
20130911	15.43	15.75	15.32	15.71	9904100
20130910	15.24	15.46	15.17	15.45	7303300
20130909	15.00	15.13	14.96	15.13	6160200
20130906	14.95	15.03	14.77	14.88	5668900
20130905	14.84	15.00	14.83	14.94	4343300
20130904	14.76	14.99	14.74	14.90	5552000
20130903	14.79	14.97	14.67	14.76	7117000
20130830	14.78	14.82	14.68	14.75	9497300
20130829	14.75	14.91	14.71	14.77	6905400
20130828	14.83	14.94	14.74	14.80	7970600
20130827	14.85	14.95	14.75	14.80	6936600
20130826	14.97	15.03	14.93	14.99	7503800
20130823	14.98	15.10	14.93	14.96	6128000
20130822	14.87	15.10	14.87	14.96	3225400
20130821	14.86	15.05	14.82	14.88	6538500
20130820	14.87	15.05	14.85	14.95	5854800
20130819	15.10	15.15	14.94	14.95	9835800
20130816	15.10	15.40	15.07	15.19	16511400
20130815	14.87	15.25	14.81	15.13	18090400
20130814	14.39	15.12	14.38	15.03	20712700
20130813	14.39	14.48	14.30	14.42	4936700
20130812	13.90	14.58	13.11	14.37	6439200
20130809	14.12	14.71	14.11	14.49	22655600
20130808	14.68	14.77	14.51	14.70	8642400
20130807	14.53	14.75	14.52	14.60	6109500
20130806	14.84	14.87	14.58	14.61	5165200
20130805	14.72	14.88	14.64	14.83	4629700
20130802	14.61	14.79	14.51	14.76	5240700
20130801	14.49	14.67	14.32	14.64	6941200
20130731	14.34	14.58	14.33	14.44	6754000
20130730	14.22	14.60	14.21	14.41	6651900
20130729	14.17	14.35	14.13	14.17	4488500
20130726	14.09	14.29	14.09	14.20	5684000
20130725	14.20	14.45	14.10	14.26	6083000
20130724	14.34	14.38	14.19	14.21	7106300
20130723	14.41	14.41	14.14	14.21	6169800
20130722	14.35	14.48	14.17	14.23	7309600
20130719	14.46	14.53	14.09	14.24	12013300
20130718	14.59	14.64	14.36	14.55	8612200
20130717	14.69	14.74	14.57	14.61	4152500
20130716	14.67	14.77	14.60	14.69	4064000
20130715	14.67	14.67	14.38	14.61	5033300
20130712	14.60	14.78	14.55	14.64	5409000
20130711	14.51	14.65	14.48	14.63	5995800
20130710	14.24	14.47	14.20	14.43	5211700
20130709	14.20	14.33	14.16	14.24	3934100
20130708	14.28	14.35	14.09	14.17	6552100
20130705	14.17	14.27	14.08	14.24	4617100
20130703	13.97	14.30	13.97	14.13	3509700
20130702	14.02	14.30	13.96	14.09	6409800
20130701	14.14	14.17	14.01	14.10	4988100
20130628	14.01	14.18	13.83	14.04	10788400
20130627	14.18	14.20	13.86	14.01	20200900
20130626	14.38	14.40	14.08	14.14	14493800
20130625	14.27	14.30	14.07	14.22	11434000
20130624	14.21	14.39	13.91	14.12	14519300
20130621	14.52	14.57	14.18	14.42	17855700
20130620	14.72	14.74	14.34	14.44	15717400
20130619	14.53	15.48	14.48	14.84	28989700
20130618	14.56	14.72	14.28	14.40	12169300
20130617	14.46	14.62	14.38	14.49	6383400
20130614	14.42	14.44	14.25	14.35	5900300
20130613	14.00	14.44	13.99	14.37	5906400
20130612	14.24	14.36	13.97	14.05	7814700
20130611	14.25	14.45	14.17	14.17	7408400
20130610	14.41	14.53	14.33	14.44	5603700
20130607	14.35	14.54	14.29	14.45	6864600
20130606	14.16	14.36	14.15	14.25	8526100
20130605	14.45	14.56	14.12	14.16	11613000
20130604	14.54	14.80	14.38	14.47	9091900
20130603	14.49	14.60	14.15	14.45	11111700
20130531	14.55	14.76	14.47	14.47	14437700
20130530	14.42	14.78	14.38	14.63	7112600
20130529	14.44	14.53	14.38	14.44	8376300
20130528	14.65	14.69	14.39	14.53	6982500
20130524	14.55	14.67	14.38	14.54	7082600
20130523	14.23	14.68	14.19	14.63	9847100
20130522	14.98	14.98	14.34	14.40	12010100
20130521	14.85	14.98	14.68	14.92	8944600
20130520	14.81	14.90	14.76	14.84	5909500
20130517	14.70	14.97	14.59	14.87	7802900
20130516	14.68	14.83	14.58	14.63	7709200
20130515	14.38	14.75	14.38	14.70	7829300
20130514	14.41	14.57	14.27	14.45	11353500
20130513	14.44	14.50	14.18	14.24	7245300
20130510	14.20	14.60	14.20	14.54	21528400
