Date	Open	High	Low	Close	Volume
20130923	125.01	125.49	123.90	124.84	566900
20130920	126.93	127.71	124.98	125.74	1308500
20130919	127.08	127.50	126.10	126.64	697100
20130918	125.28	127.15	124.84	126.95	608600
20130917	124.39	126.01	124.39	125.38	515800
20130916	127.04	127.25	124.86	125.18	455100
20130913	125.56	126.03	124.54	125.83	443200
20130912	125.58	126.29	125.02	125.75	490800
20130911	125.59	126.71	125.33	126.22	509500
20130910	124.62	126.30	124.05	125.34	581500
20130909	122.36	124.04	122.36	123.76	370400
20130906	124.30	124.30	122.06	122.35	430300
20130905	123.67	124.48	123.05	123.50	323700
20130904	122.90	124.34	121.61	123.80	562200
20130903	123.97	124.74	122.25	122.95	455600
20130830	123.40	123.89	121.50	122.71	677000
20130829	121.72	123.53	121.44	123.07	428600
20130828	121.79	122.62	121.41	121.97	479500
20130827	122.83	123.41	121.91	122.02	444600
20130826	123.34	124.48	123.28	123.94	393800
20130823	123.00	123.70	122.00	123.66	334200
20130822	122.58	123.62	121.51	122.33	431000
20130821	123.08	123.64	121.57	122.18	347000
20130820	122.26	123.69	122.26	123.59	563700
20130819	122.90	123.86	121.94	121.96	699000
20130816	122.83	124.11	122.80	123.14	578300
20130815	125.66	126.14	123.12	123.18	434100
20130814	127.47	127.71	126.18	126.39	451700
20130813	127.36	127.75	126.34	127.54	435000
20130812	125.28	127.24	125.07	126.96	669800
20130809	122.06	126.05	122.06	125.75	342100
20130808	125.91	126.20	123.58	125.61	894900
20130807	127.15	127.20	124.85	125.45	550000
20130806	127.61	128.29	126.40	127.20	730300
20130805	127.50	128.45	127.20	128.20	577400
20130802	127.45	128.01	126.67	127.81	625700
20130801	126.23	128.24	126.09	128.09	763900
20130731	124.97	126.14	124.56	125.30	740700
20130730	123.23	124.72	123.23	124.56	576200
20130729	123.39	123.69	122.64	123.57	378800
20130726	122.80	123.95	122.18	123.06	706100
20130725	124.03	124.28	120.80	122.63	1866200
20130724	118.95	119.98	117.09	117.83	595500
20130723	120.15	120.30	118.42	118.54	822200
20130722	120.25	120.35	118.11	119.61	908200
20130719	118.17	118.45	116.31	118.42	706400
20130718	116.26	118.35	115.01	117.03	586700
20130717	116.28	117.25	115.30	115.77	622200
20130716	116.61	117.00	116.00	116.21	589200
20130715	117.23	117.47	115.91	116.23	778400
20130712	117.62	118.01	116.63	116.95	648100
20130711	117.68	117.98	116.64	117.40	609600
