Date	Open	High	Low	Close	Volume
20130923	1000.00	1008.50	986.06	996.76	445000
20130920	1000.80	1007.15	998.08	1003.01	609800
20130919	997.48	1003.31	989.03	1000.62	539700
20130918	967.26	1001.00	967.02	995.09	671200
20130917	965.97	973.42	962.10	970.24	279100
20130916	979.90	979.99	965.89	967.74	451300
20130913	971.70	971.70	960.17	966.82	552700
20130912	979.23	982.13	968.08	969.79	310900
20130911	977.42	985.77	970.84	981.56	348700
20130910	970.75	979.93	968.56	977.50	407500
20130909	961.50	968.44	959.21	965.66	391700
20130906	962.42	965.00	946.51	959.15	592100
20130905	950.91	962.96	950.52	957.80	317800
20130904	945.00	952.62	937.21	952.45	444000
20130903	949.40	953.65	940.84	942.83	441600
20130830	942.00	946.27	935.07	938.53	383100
20130829	932.99	946.89	932.99	940.65	331500
20130828	935.77	939.13	930.82	934.61	306700
20130827	939.65	944.27	932.11	935.60	484600
20130826	952.31	961.24	948.72	949.54	342000
20130823	956.50	956.87	951.10	954.23	378600
20130822	945.29	954.43	943.51	952.15	369200
20130821	936.49	951.00	932.00	940.20	537200
20130820	933.47	942.15	932.62	932.77	342300
20130819	934.00	947.00	931.90	933.13	467000
20130816	940.20	949.00	937.01	940.07	820700
20130815	935.23	943.41	928.80	938.79	823200
20130814	950.23	958.97	938.98	940.00	835700
20130813	960.43	963.37	948.99	953.61	670500
20130812	966.32	969.66	956.90	958.02	714100
20130809	992.03	994.98	969.45	969.89	2619700
20130808	936.05	937.00	915.93	933.75	1329400
20130807	931.79	932.72	912.73	927.58	869600
20130806	935.66	940.00	923.36	935.38	934000
20130805	914.90	930.74	910.26	928.58	704500
20130802	907.24	913.82	899.24	908.36	673800
20130801	885.74	906.53	883.28	904.35	1007800
20130731	890.17	890.17	875.19	875.67	654300
20130730	894.72	898.73	881.00	886.86	491100
20130729	900.59	904.69	886.67	888.11	444800
20130726	885.66	907.25	884.00	900.08	1020500
20130725	902.69	919.39	900.61	912.00	957600
20130724	901.37	905.64	892.10	894.02	445600
20130723	903.20	906.95	890.80	895.79	367600
20130722	901.10	908.00	898.32	900.48	469000
20130719	900.52	900.52	889.00	896.29	718500
20130718	903.40	904.00	893.01	899.60	502100
20130717	904.77	912.80	900.02	906.68	538900
20130716	915.00	916.12	892.14	902.05	675700
20130715	922.50	926.40	910.70	911.66	581200
20130712	908.71	920.92	907.48	920.39	663400
20130711	900.85	912.86	895.60	910.35	816700
20130710	894.43	897.00	886.49	892.32	522100
