Date	Open	High	Low	Close	Volume
20130923	299.19	300.03	292.00	295.76	698000
20130920	306.81	307.00	299.11	300.80	1837700
20130919	309.91	310.63	298.11	307.11	1045400
20130918	297.78	311.00	297.75	309.17	1263700
20130917	294.59	298.43	291.07	296.62	675300
20130916	291.73	295.98	285.29	294.36	821200
20130913	278.75	290.00	278.75	289.97	1007900
20130912	276.97	278.81	272.20	273.60	328700
20130911	277.07	277.77	269.50	276.85	474400
20130910	279.80	279.95	275.28	276.64	584800
20130909	267.91	277.48	267.91	276.80	804700
20130906	270.00	270.12	261.80	267.57	479100
20130905	268.52	270.00	265.99	268.64	602700
20130904	258.90	269.11	255.00	268.21	916100
20130903	245.99	259.98	245.99	259.15	919500
20130830	243.20	244.28	237.88	242.31	462300
20130829	241.08	247.76	241.02	243.58	606700
20130828	239.93	243.48	235.02	243.07	559900
20130827	240.74	243.27	238.19	239.17	672800
20130826	239.00	246.59	238.03	245.01	738900
20130823	239.53	240.00	236.43	238.85	484500
20130822	233.84	240.22	233.06	237.35	410000
20130821	231.71	236.55	230.70	232.37	602700
20130820	229.55	238.80	227.97	233.30	692400
20130819	229.90	231.89	227.64	227.65	550600
20130816	233.73	236.77	230.78	230.98	698700
20130815	240.20	240.80	233.50	233.82	664800
20130814	244.00	248.13	240.87	241.27	369800
20130813	245.59	246.41	242.02	244.39	619600
20130812	248.59	249.15	242.84	245.96	491700
20130809	251.08	256.00	249.58	250.01	391900
20130808	254.98	255.99	251.87	252.49	425800
20130807	254.32	258.56	251.15	253.23	727700
20130806	258.65	264.00	249.17	254.50	2044300
20130805	273.30	276.00	269.73	270.99	636700
20130802	277.64	277.99	270.41	272.39	636600
20130801	272.57	278.73	267.80	278.29	512600
20130731	275.35	276.10	269.51	270.06	498100
20130730	270.41	276.51	268.71	273.67	444700
20130729	267.43	274.16	265.32	269.20	304400
20130726	267.18	269.89	264.41	269.21	340300
20130725	269.19	272.61	261.49	267.83	513900
20130724	270.37	270.93	264.22	267.93	606000
20130723	278.44	279.92	267.75	268.34	789600
20130722	278.11	282.27	276.25	277.99	855200
20130719	268.55	275.00	264.00	274.86	881600
20130718	269.71	273.80	264.00	267.48	487400
20130717	267.43	269.98	265.14	269.52	529900
20130716	267.23	270.82	258.32	262.71	756200
20130715	270.50	270.50	261.06	268.64	672200
20130712	255.52	268.68	253.00	266.00	1512800
20130711	242.19	248.68	239.17	247.87	889700
20130710	236.83	239.25	232.21	236.70	518400
20130709	228.22	237.79	228.22	235.92	606700
20130708	234.81	235.99	225.78	229.02	699400
20130705	233.98	237.10	231.00	233.48	439400
20130703	229.20	234.46	229.03	232.93	363100
20130702	230.14	233.88	228.02	231.12	710500
20130701	231.60	239.78	228.01	230.14	1082700
20130628	233.06	234.25	224.43	224.88	1985800
