Date	Open	High	Low	Close	Volume
20130923	71.39	71.85	71.31	71.67	1154200
20130920	72.50	72.67	71.38	71.58	2595500
20130919	72.20	72.84	72.19	72.34	1165200
20130918	71.30	72.54	71.02	72.22	1308900
20130917	70.87	71.59	70.87	71.17	972000
20130916	71.00	71.05	70.54	70.89	1231400
20130913	70.70	70.70	69.70	70.15	888900
20130912	70.66	70.81	70.15	70.37	1388200
20130911	70.00	70.76	69.92	70.66	1601200
20130910	69.63	69.94	69.26	69.87	1027200
20130909	68.85	69.22	68.72	69.09	745200
20130906	69.37	69.73	68.68	68.76	1316900
20130905	69.18	69.80	68.98	69.56	1336400
20130904	68.29	69.54	68.03	69.09	1567300
20130903	68.27	69.03	67.31	68.15	1785700
20130830	67.93	67.98	67.07	67.26	1020300
20130829	67.32	68.00	67.24	67.79	972900
20130828	68.02	68.32	67.59	67.77	1154800
20130827	68.49	68.60	67.73	67.73	1709800
20130826	70.00	70.00	68.97	69.06	1873900
20130823	70.77	70.86	69.19	69.86	3664800
20130822	67.42	70.18	67.31	68.52	2354500
20130821	67.04	67.93	66.53	67.56	2660100
20130820	66.30	67.72	66.25	67.38	3182700
20130819	65.66	66.11	65.10	65.18	2125900
20130816	64.76	65.42	64.67	64.76	1935800
20130815	66.00	66.00	64.65	64.89	2182400
20130814	67.39	67.39	66.31	66.64	1565600
20130813	67.76	68.22	67.47	67.85	1222200
20130812	66.75	67.86	66.69	67.72	1135100
20130809	66.87	67.18	66.50	67.01	855800
20130808	67.56	67.56	66.89	67.13	1400300
20130807	67.68	67.74	66.71	66.88	1823500
20130806	68.43	68.48	67.34	67.75	2284800
20130805	68.66	69.18	68.52	68.81	745800
20130802	68.90	69.18	68.44	68.93	1436100
20130801	67.90	69.36	67.85	69.20	1078300
20130731	67.31	67.94	67.13	67.49	1055700
20130730	67.10	67.75	66.92	67.18	964700
20130729	66.74	67.21	66.42	67.09	716900
20130726	66.92	67.21	66.30	67.14	739000
20130725	66.27	67.40	66.27	67.17	1200400
20130724	67.25	67.43	66.34	66.63	798000
20130723	67.35	67.47	66.67	67.05	1353000
20130722	67.56	67.56	66.47	67.49	1476500
20130719	67.00	67.08	66.42	66.79	1640900
20130718	66.37	66.88	66.06	66.57	1947800
20130717	66.49	66.88	65.72	66.06	1214800
20130716	66.80	67.24	66.22	66.22	1090600
20130715	67.20	67.33	66.63	66.68	1120500
20130712	67.25	67.77	66.70	67.05	1543500
20130711	67.47	67.54	66.88	67.24	1249300
20130710	66.14	67.20	66.14	67.00	1254300
20130709	66.93	67.36	66.43	66.45	1348500
20130708	66.51	67.17	66.11	66.50	1281400
20130705	65.98	66.56	65.07	66.12	749400
20130703	64.79	65.59	64.64	65.39	480400
20130702	65.50	65.94	65.14	65.45	849600
20130701	65.30	65.93	65.15	65.40	1378000
20130628	64.43	65.73	64.43	64.81	2111800
20130627	64.11	65.23	64.11	64.80	1124500
20130626	64.18	64.72	63.71	63.72	1123500
20130625	63.89	64.37	63.00	63.83	1250800
20130624	63.53	63.85	62.65	63.29	1205100
20130621	63.86	64.19	62.94	63.80	2234100
20130620	63.75	63.87	63.03	63.40	1160400
20130619	65.15	65.72	64.14	64.24	822800
20130618	64.36	65.45	64.34	65.31	812900
20130617	65.41	65.41	63.98	64.54	971700
20130614	65.34	65.95	64.22	64.86	1369400
20130613	64.20	65.66	63.92	65.34	1714900
20130612	64.23	64.37	63.36	63.53	682500
20130611	64.01	64.49	63.49	63.84	798000
20130610	64.95	65.20	64.38	64.78	965400
20130607	64.13	64.95	63.68	64.87	1188000
20130606	64.10	64.16	62.73	63.66	1696600
20130605	64.64	64.97	63.56	63.95	835000
20130604	64.70	65.13	64.25	64.65	961200
20130603	64.43	64.82	63.57	64.81	1320000
20130531	64.36	65.82	63.71	64.32	2540600
20130530	65.36	65.71	64.63	64.67	1134900
20130529	65.72	66.00	64.80	65.13	1430800
20130528	66.23	66.44	65.85	66.23	1270600
20130524	65.32	66.17	64.32	65.84	1826600
20130523	65.24	65.42	64.30	65.08	1396400
20130522	66.30	66.48	64.80	65.20	1127800
20130521	65.24	66.35	64.94	66.17	1456100
20130520	65.04	65.50	64.63	65.12	1469900
20130517	65.17	65.68	64.90	65.59	1785100
20130516	65.81	66.11	64.67	64.88	2049200
20130515	65.87	66.22	65.19	66.21	1519800
20130514	65.00	66.18	64.95	65.73	1698100
20130513	65.82	65.82	64.82	64.95	1401900
20130510	65.93	66.12	65.21	65.85	1388500
20130509	65.99	66.60	65.41	65.73	1926900
20130508	66.34	66.49	65.64	66.13	1508700
20130507	65.44	66.50	65.11	66.50	1929000
20130506	65.75	65.94	64.78	65.20	1179300
20130503	65.28	65.99	65.02	65.70	1789000
20130502	64.99	65.27	64.24	64.66	2368800
20130501	65.96	66.11	64.83	64.99	1330500
20130430	65.91	66.12	65.39	66.07	2117400
20130429	65.25	65.97	65.20	65.72	1832900
20130426	64.95	65.40	64.75	65.12	1332200
20130425	63.96	65.17	63.77	65.03	1812600
20130424	63.66	64.47	63.41	63.62	1357700
20130423	63.71	64.33	63.10	63.70	2000400
20130422	62.99	63.23	62.30	63.00	1340200
20130419	62.48	63.07	62.43	62.86	1795400
20130418	63.28	63.28	62.04	62.51	2093200
20130417	63.30	63.83	62.63	62.99	1858100
20130416	63.35	63.86	63.09	63.80	1932400
20130415	63.45	64.48	62.90	63.07	2475400
20130412	64.02	64.81	63.39	64.67	2614400
20130411	63.02	65.00	62.96	63.80	6594400
20130410	59.68	60.25	59.61	60.24	1811900
20130409	59.24	59.97	58.60	59.61	2018200
20130408	59.14	59.38	58.92	59.32	1874000
20130405	59.20	59.57	58.96	59.32	1943100
20130404	59.38	60.31	59.30	60.08	2050700
20130403	59.44	60.15	58.85	59.26	2368000
20130402	60.00	60.14	59.29	59.41	2374600
20130401	60.49	60.60	59.68	59.83	2609700
20130328	60.11	60.68	59.67	60.62	3178500
20130327	58.89	60.27	58.83	60.05	1940800
20130326	59.43	59.98	59.19	59.43	2495500
20130325	59.15	59.56	58.87	59.04	3158800
20130322	57.84	59.60	57.59	59.21	2638400
20130321	56.26	58.39	55.56	58.06	4505600
20130320	55.87	56.24	55.42	56.17	2042700
20130319	55.97	56.10	55.07	55.46	2914400
20130318	55.56	56.25	55.42	56.04	2615600
20130315	55.65	56.77	55.64	56.28	2823000
20130314	55.48	56.29	55.36	55.87	2119700
20130313	56.09	56.30	55.12	55.29	3382300
20130312	56.18	56.49	55.73	55.90	1380500
20130311	56.01	56.57	55.86	56.18	2003200
20130308	55.75	56.81	55.50	56.20	4230000
20130307	59.61	59.61	54.86	55.23	9979800
20130306	59.23	59.74	59.00	59.70	2432800
20130305	58.97	59.60	58.66	59.36	1897700
20130304	57.71	58.97	57.50	58.90	2592800
20130301	57.89	58.24	57.22	58.13	2234200
20130228	57.73	58.56	57.57	58.00	2645300
20130227	56.25	57.92	56.18	57.56	1749200
20130226	56.57	57.07	56.18	56.23	2630800
20130225	58.42	58.47	56.53	56.56	2460600
20130222	57.87	58.31	56.93	58.16	2207000
20130221	58.67	58.78	57.70	57.74	1919900
20130220	59.80	59.99	58.62	58.70	2015000
20130219	60.10	60.10	59.13	59.93	2115400
20130215	60.42	60.78	59.10	59.91	2641100
20130214	60.25	60.72	60.02	60.38	1336300
20130213	60.80	61.35	60.40	60.44	2021500
20130212	60.98	60.99	60.18	60.66	1876800
20130211	60.79	61.06	60.40	60.86	1840000
20130208	60.79	61.71	60.45	61.06	2738500
20130207	58.74	62.07	58.74	60.29	3686200
20130206	59.36	59.74	58.58	59.11	2539900
20130205	58.70	59.95	58.60	59.60	2462000
20130204	59.20	59.83	58.52	58.59	1513200
20130201	60.17	60.18	59.31	59.43	2240700
20130131	59.87	59.96	59.19	59.70	2421400
20130130	59.27	60.13	59.20	59.88	2198800
20130129	60.32	60.44	59.35	59.41	2462700
20130128	61.22	61.27	60.13	60.31	1911300
20130125	61.25	61.35	60.76	61.09	2229000
20130124	60.20	61.25	60.07	61.15	3497000
20130123	58.74	59.27	58.69	59.09	2296300
20130122	58.12	59.17	57.70	58.87	2159600
20130118	58.07	58.24	57.51	58.22	1830900
20130117	57.52	58.50	57.52	58.27	1434200
20130116	57.78	57.92	57.25	57.57	1762100
20130115	56.12	58.06	56.06	58.00	2136100
20130114	56.56	56.90	56.11	56.25	1337800
20130111	57.31	57.51	56.48	56.57	1357400
20130110	56.96	57.41	56.37	57.30	1701300
20130109	57.88	58.34	56.52	56.90	2609200
20130108	57.28	57.70	56.78	56.82	2410500
20130107	57.70	57.96	57.24	57.57	1791800
20130104	58.79	58.82	57.76	57.95	2219400
20130103	56.73	59.12	56.70	58.78	7174100
20130102	54.27	54.55	53.04	54.44	3560800
20121231	52.95	54.24	52.89	54.09	2029500
20121228	52.91	53.92	52.90	53.21	1406400
20121227	52.50	53.29	52.01	53.14	2218100
20121226	53.70	53.89	52.34	52.39	1831100
20121224	53.74	53.92	53.25	53.77	745100
20121221	52.59	54.19	52.16	53.93	3355300
20121220	54.05	54.22	52.93	53.26	2397100
20121219	54.26	55.54	53.54	53.79	2560200
20121218	54.86	54.89	54.22	54.41	2467300
20121217	53.29	54.69	53.22	54.66	2111600
20121214	53.33	53.67	53.14	53.20	1946300
20121213	54.41	54.80	53.49	53.54	2079200
