Date	Open	High	Low	Close	Volume
20130923	85.59	86.34	85.19	85.57	387900
20130920	87.47	87.71	85.86	85.93	1265900
20130919	88.22	88.55	87.59	88.00	454700
20130918	86.21	87.86	85.69	87.85	683000
20130917	86.37	86.50	85.81	86.10	288400
20130916	87.00	87.06	85.84	86.16	353300
20130913	85.17	85.64	84.68	85.48	377300
20130912	85.43	85.80	84.52	84.91	613800
20130911	84.86	85.66	84.34	85.53	656000
20130910	83.18	84.85	83.06	84.62	753600
20130909	83.16	83.69	82.95	82.96	848900
20130906	83.79	83.86	82.57	83.11	227700
20130905	83.20	83.91	83.04	83.52	299700
20130904	82.24	83.64	82.03	83.45	577800
20130903	83.36	84.22	82.26	82.54	554700
20130830	82.13	82.80	82.04	82.47	531800
20130829	81.96	82.37	81.86	82.09	657900
20130828	82.93	82.93	82.17	82.26	274200
20130827	83.08	83.87	82.52	82.88	516500
20130826	84.01	84.48	83.46	83.64	259000
20130823	84.38	84.38	83.51	83.93	397500
20130822	83.90	84.99	83.65	83.97	272000
20130821	83.92	84.40	83.49	83.77	294500
20130820	83.63	84.47	83.27	84.18	504800
20130819	84.15	84.34	83.54	83.59	380200
20130816	84.17	84.55	83.81	84.13	518300
20130815	85.26	85.26	84.00	84.40	565600
20130814	85.94	86.02	85.25	85.28	381100
20130813	86.03	86.35	85.69	85.94	287400
20130812	85.26	86.05	85.11	85.86	298400
20130809	84.97	85.83	84.80	85.68	313600
20130808	85.30	85.67	84.93	85.41	395900
20130807	84.97	85.07	84.51	84.74	282300
20130806	84.18	85.28	83.97	85.02	319800
20130805	84.96	85.13	84.19	84.47	248300
20130802	84.80	85.03	84.54	84.96	443300
20130801	84.17	85.42	83.12	85.27	609800
20130731	83.70	84.12	83.07	83.56	557700
20130730	83.23	83.69	82.55	83.26	538000
20130729	82.58	83.38	82.13	83.13	377600
20130726	82.98	83.15	82.09	82.71	479100
20130725	82.87	83.48	82.73	83.31	577200
20130724	83.00	83.28	82.54	83.02	584300
20130723	84.04	84.39	82.36	82.99	1021800
20130722	85.08	85.24	83.94	83.98	813300
20130719	84.27	84.62	83.50	84.46	733900
20130718	83.93	84.52	83.60	83.76	572600
20130717	84.25	84.51	83.49	83.90	405000
20130716	84.73	84.87	83.47	83.68	611200
20130715	84.03	84.65	83.86	84.23	540300
20130712	83.98	84.39	83.81	84.35	711900
20130711	83.62	84.26	83.52	84.08	576800
20130710	82.45	82.93	82.15	82.91	608700
20130709	82.41	82.99	82.25	82.35	750600
20130708	81.62	82.23	81.43	82.13	808000
20130705	81.27	81.62	80.62	81.29	321500
20130703	80.65	81.21	80.25	80.90	309600
20130702	81.01	81.68	80.48	81.09	848000
20130701	80.89	82.03	80.52	81.14	551300
20130628	80.51	81.14	80.10	80.42	768500
20130627	81.15	81.36	80.75	80.99	396800
20130626	80.94	81.37	80.43	80.98	584300
20130625	81.20	81.20	80.11	80.49	513400
20130624	80.61	80.70	79.67	80.21	676300
20130621	80.75	81.26	80.22	80.73	1189000
20130620	80.34	81.13	79.86	80.40	786600
20130619	81.24	82.15	81.14	81.19	518100
20130618	81.96	82.64	81.68	82.18	600600
20130617	81.77	82.11	81.31	81.73	626400
20130614	82.43	82.56	81.31	81.48	687800
20130613	81.18	82.34	80.68	82.21	824600
20130612	82.63	82.63	80.99	81.36	678900
20130611	82.19	82.35	81.61	81.91	456800
20130610	82.82	83.02	82.39	82.75	454600
20130607	83.06	83.14	82.61	82.87	614500
20130606	82.68	82.79	82.01	82.78	657800
20130605	83.92	84.19	82.84	82.87	668100
20130604	83.75	84.26	83.45	83.92	516700
20130603	84.06	84.12	83.33	83.76	659800
20130531	83.65	84.56	83.54	83.70	562900
20130530	84.37	84.66	83.82	84.02	380400
20130529	84.30	84.64	83.86	84.08	570200
20130528	85.24	85.91	84.83	85.14	970400
20130524	83.64	84.79	83.59	84.59	521000
20130523	83.86	84.50	83.34	84.42	526300
20130522	84.28	85.29	83.62	84.34	728000
20130521	84.50	84.66	83.83	84.27	678700
20130520	83.80	84.32	83.53	84.11	556400
20130517	83.23	84.31	83.11	84.19	1633100
20130516	82.67	83.33	82.44	82.85	903100
20130515	81.33	83.25	81.18	82.94	1167700
20130514	80.40	81.67	80.40	81.48	575300
20130513	80.57	80.81	79.68	80.49	415500
20130510	80.00	80.58	79.86	80.56	533200
20130509	79.48	79.98	79.48	79.90	347800
20130508	79.44	79.88	79.06	79.78	340300
20130507	78.88	79.37	78.76	79.26	368600
20130506	78.93	79.07	78.27	78.88	453500
