Date	Open	High	Low	Close	Volume
20130923	41.26	41.47	40.53	40.94	2836600
20130920	41.29	41.61	41.07	41.40	4736200
20130919	41.80	42.08	41.33	41.36	3132700
20130918	41.41	41.66	41.01	41.64	3273200
20130917	41.04	41.39	40.65	41.26	3386000
20130916	40.89	41.25	40.49	40.94	3654400
20130913	39.98	40.28	39.77	40.25	2132100
20130912	40.45	40.80	40.02	40.13	2697200
20130911	41.22	41.42	40.20	40.59	3170400
20130910	40.50	41.87	40.41	41.07	5173000
20130909	39.45	40.46	39.10	40.16	3428400
20130906	39.76	39.76	38.75	39.46	2855100
20130905	39.27	39.80	38.97	39.52	3170200
20130904	38.74	39.53	38.38	39.22	3565600
20130903	38.77	39.39	38.52	38.67	3539500
20130830	38.26	38.87	38.00	38.32	4222900
20130829	38.57	38.63	37.17	38.09	6676000
20130828	38.69	39.21	38.40	38.87	2396500
20130827	39.74	40.06	38.27	38.51	2898500
20130826	40.13	40.58	39.75	40.10	2149200
20130823	40.17	40.71	39.82	40.13	2144000
20130822	39.69	40.49	39.63	40.08	1675000
20130821	39.05	40.02	38.93	39.51	2763800
20130820	38.91	39.38	38.66	39.22	2030400
20130819	39.20	39.64	38.66	38.77	2959400
20130816	39.70	39.81	39.11	39.20	3417000
20130815	40.59	40.63	39.28	39.52	3871000
20130814	41.20	41.54	40.95	41.07	2463400
20130813	41.34	41.55	41.01	41.17	2142700
20130812	40.74	41.34	40.59	41.34	2118500
20130809	40.89	41.05	40.47	40.86	2263600
20130808	40.30	41.29	40.27	40.91	3360200
20130807	40.35	40.37	39.53	40.09	3382200
20130806	40.41	40.70	39.86	40.30	4183300
20130805	40.61	41.19	40.33	40.43	2250200
20130802	41.66	41.66	40.76	41.10	3658300
20130801	41.12	41.93	41.02	41.79	2923700
20130731	41.17	41.34	40.65	40.91	4207100
20130730	40.38	41.47	40.31	41.25	3970400
20130729	40.95	41.25	40.20	40.30	4082500
20130726	42.21	42.21	40.95	41.05	7078700
20130725	42.90	42.90	41.01	42.32	9627200
20130724	43.42	44.29	40.80	44.19	13194300
20130723	47.13	47.29	45.26	45.31	5338100
20130722	47.56	47.82	46.74	46.82	3830300
20130719	46.86	47.76	46.54	47.52	6541200
20130718	46.93	47.20	46.63	46.90	2511000
20130717	46.67	46.91	46.48	46.69	1811900
20130716	46.80	47.00	46.34	46.56	2355200
20130715	46.63	46.98	46.55	46.71	1992500
20130712	46.43	46.70	46.24	46.68	2474800
20130711	46.37	46.50	45.79	46.31	3021300
20130710	45.75	46.16	45.38	45.83	3164800
20130709	45.48	46.00	45.32	45.73	2552900
20130708	46.00	46.42	45.39	45.45	3401600
20130705	45.62	45.93	45.09	45.72	2622700
20130703	44.96	45.46	44.57	45.10	1948400
20130702	45.60	45.84	44.86	45.22	2711900
20130701	45.49	45.78	45.12	45.47	2837700
20130628	44.50	45.50	44.24	44.83	3896300
20130627	43.38	44.99	43.21	44.69	4063500
20130626	42.78	43.07	42.28	42.70	2784600
20130625	41.90	42.61	41.44	42.40	3339100
20130624	41.96	42.00	40.68	41.23	3867400
20130621	43.17	43.17	41.91	42.25	5996100
20130620	43.86	44.06	42.40	42.84	5166500
20130619	44.74	45.05	44.13	44.38	3490300
20130618	44.18	45.05	44.04	44.99	4571800
20130617	43.96	44.44	43.75	44.01	3120800
20130614	44.02	44.32	43.58	43.72	2605500
20130613	43.67	44.10	43.15	43.98	2932100
20130612	44.36	44.62	43.41	43.57	3389700
20130611	43.59	44.61	43.51	43.94	4211000
20130610	43.69	44.13	43.15	43.97	3943400
20130607	44.39	44.46	43.63	44.01	3292700
20130606	43.71	44.12	43.21	44.12	4185400
20130605	44.73	44.83	43.38	43.69	4269600
20130604	44.02	45.00	44.02	44.74	5100100
20130603	43.15	44.00	42.67	43.96	4042500
20130531	43.59	43.85	43.07	43.08	6208700
20130530	43.90	44.44	43.57	43.67	3707000
20130529	42.70	43.99	42.69	43.76	4026200
20130528	43.55	43.60	43.03	43.11	3407300
20130524	42.72	43.04	42.24	42.85	2749900
20130523	42.25	43.60	41.64	42.99	7468800
20130522	41.15	42.88	41.15	42.17	7497600
20130521	41.04	41.52	40.78	41.52	3118900
20130520	41.11	41.19	40.71	41.04	4386900
20130517	40.92	41.48	40.59	41.47	4901200
20130516	40.74	41.14	40.47	40.59	6561700
20130515	40.90	40.99	40.47	40.61	7891900
20130514	40.49	41.20	40.15	40.85	5263900
20130513	40.03	40.90	39.97	40.27	4013400
20130510	40.29	40.72	40.05	40.50	4252700
20130509	40.91	41.40	40.11	40.33	10508500
20130508	42.18	42.50	41.50	42.32	5394100
20130507	42.05	42.49	41.56	42.32	5535200
20130506	41.27	42.24	41.27	41.97	7023400
20130503	40.00	41.52	39.89	41.23	8594800
20130502	38.06	39.92	38.05	39.63	14001200
20130501	36.80	37.22	36.41	36.94	6202800
20130430	36.19	36.70	35.99	36.70	5548700
20130429	36.48	36.73	35.86	36.22	4811600
20130426	36.47	36.75	36.21	36.40	6434600
20130425	37.01	37.85	36.34	36.54	8986100
