Date	Open	High	Low	Close	Volume
20130923	25.09	25.13	24.70	24.74	4454700
20130920	25.35	25.40	25.09	25.14	5161600
20130919	25.40	25.67	25.13	25.21	6647400
20130918	25.26	25.43	25.19	25.36	6332900
20130917	25.41	25.57	25.25	25.30	3733700
20130916	25.24	25.58	25.24	25.38	4345900
20130913	25.09	25.22	24.75	25.07	6344000
20130912	24.47	25.18	24.36	24.97	8530700
20130911	25.26	25.48	25.14	25.26	6763500
20130910	25.61	25.70	25.21	25.23	7081300
20130909	25.50	25.63	25.38	25.39	4030700
20130906	25.46	25.58	24.98	25.35	4082700
20130905	25.26	25.61	25.26	25.45	4600600
20130904	25.92	25.99	25.24	25.32	9326600
20130903	25.93	26.34	25.81	26.08	4674200
20130830	26.00	26.14	25.53	25.61	4174400
20130829	25.59	26.14	25.49	26.05	3413800
20130828	25.50	25.81	25.28	25.69	5225200
20130827	25.74	25.90	25.40	25.46	4709300
20130826	26.28	26.40	26.02	26.03	3289300
20130823	26.30	26.48	26.18	26.33	3568200
20130822	26.01	26.46	25.86	26.34	2755300
20130821	26.09	26.29	25.95	26.04	4067800
20130820	26.13	26.38	26.04	26.26	3596700
20130819	26.11	26.57	26.11	26.19	4138300
20130816	26.30	26.47	26.17	26.24	5682900
20130815	26.53	26.73	26.34	26.44	5462000
20130814	27.01	27.03	26.75	26.78	4462500
20130813	26.89	27.05	26.63	26.96	4536500
20130812	26.68	27.00	26.60	26.93	3616000
20130809	26.66	27.01	26.53	26.82	4083600
20130808	26.87	27.10	26.67	26.82	7252300
20130807	26.67	26.85	26.41	26.74	5317900
20130806	26.61	26.70	26.44	26.66	6101400
20130805	26.50	26.67	26.26	26.66	5379600
20130802	26.61	26.70	26.38	26.52	5569500
20130801	26.68	26.89	26.61	26.70	7482500
20130731	25.61	26.89	25.60	26.68	18885100
20130730	24.26	24.54	24.11	24.35	9061100
20130729	24.07	24.29	23.98	24.07	5525700
20130726	24.06	24.34	23.86	24.27	4626800
20130725	24.07	24.26	23.95	24.25	3613200
20130724	23.95	24.21	23.94	24.12	4472200
20130723	24.44	24.44	23.88	23.92	5117800
20130722	24.10	24.11	23.94	24.02	5377500
20130719	24.29	24.29	23.90	24.00	8428800
20130718	24.34	24.42	24.14	24.29	6473100
20130717	24.13	24.34	24.02	24.23	5697200
20130716	23.98	24.22	23.87	23.97	8340200
20130715	23.85	23.94	23.74	23.92	5336900
20130712	23.69	23.85	23.43	23.83	5371300
20130711	23.41	23.66	23.26	23.65	5317000
20130710	22.84	23.13	22.81	23.10	3653800
20130709	22.93	22.99	22.56	22.85	4753100
20130708	23.07	23.12	22.65	22.79	4985200
20130705	22.58	23.02	22.46	23.02	5639700
20130703	22.27	22.59	22.22	22.36	3547900
20130702	22.54	22.80	22.39	22.44	5667800
20130701	22.54	22.74	22.46	22.48	5915100
20130628	22.42	22.53	22.21	22.48	13769100
20130627	22.61	22.73	22.41	22.50	9281400
20130626	22.33	22.56	22.28	22.52	7549300
20130625	22.27	22.35	21.95	22.10	5679900
20130624	22.17	22.42	21.91	22.01	8386800
20130621	22.54	22.55	21.99	22.23	13174300
20130620	22.50	22.63	22.29	22.39	9023600
20130619	22.72	22.99	22.65	22.70	8798000
20130618	22.32	22.81	22.32	22.73	11890700
20130617	22.37	22.46	22.20	22.33	7110500
20130614	22.55	22.66	22.32	22.36	7893200
20130613	22.10	22.54	21.98	22.49	9999700
20130612	22.23	22.51	22.12	22.18	11250300
20130611	22.13	22.44	21.85	22.01	12724200
20130610	22.17	22.35	21.91	22.25	9544000
20130607	22.06	22.33	21.92	22.19	9648700
20130606	21.59	21.88	21.41	21.85	9890900
20130605	21.73	22.00	21.60	21.62	9620700
20130604	22.29	22.41	21.90	21.90	12670300
20130603	22.41	22.56	22.11	22.40	11005800
20130531	22.80	22.83	22.39	22.39	11305600
20130530	22.80	23.06	22.71	22.95	7356900
20130529	22.69	23.00	22.47	22.88	12459400
20130528	23.01	23.15	22.77	22.90	8651000
20130524	22.94	23.01	22.30	22.85	9596000
20130523	23.48	23.54	22.99	23.06	13556500
20130522	24.06	24.15	23.49	23.62	10649100
20130521	24.33	24.39	24.02	24.03	7951000
20130520	24.22	24.32	24.06	24.15	8210500
20130517	24.37	24.50	24.18	24.30	7196700
20130516	24.61	24.69	24.25	24.30	31033700
20130515	24.33	24.69	24.33	24.66	9034800
20130514	24.22	24.55	24.22	24.52	10082600
20130513	24.33	24.33	23.95	24.22	11321200
20130510	24.41	24.50	24.21	24.35	7012500
20130509	24.50	24.53	24.18	24.37	7349500
20130508	23.86	24.55	23.54	24.49	21491300
20130507	25.00	25.26	24.89	25.10	10302000
20130506	24.81	25.00	24.64	24.95	7334100
20130503	24.74	25.00	24.58	24.84	7049500
20130502	24.36	24.69	24.12	24.56	5622800
20130501	24.24	24.60	24.24	24.35	4147000
20130430	24.48	24.54	21.93	24.30	10019600
20130429	24.45	24.74	24.42	24.59	6972300
20130426	24.45	24.54	24.30	24.42	3994700
20130425	24.50	24.62	24.19	24.45	8204400
20130424	24.15	24.49	24.15	24.37	5624700
20130423	23.89	24.29	23.71	24.16	6834300
20130422	23.70	23.77	23.41	23.67	6876400
20130419	23.52	23.72	23.34	23.55	6877100
20130418	23.85	23.85	23.41	23.56	6307200
20130417	24.00	24.02	23.40	23.78	8357300
20130416	24.07	24.24	23.92	24.15	5994500
20130415	23.98	24.32	23.93	23.95	7727900
20130412	24.27	24.28	23.96	24.25	6464200
20130411	24.18	24.52	24.13	24.30	5191000
20130410	24.21	24.55	24.20	24.45	6008900
20130409	24.25	24.34	23.98	24.21	5265700
20130408	24.24	24.28	23.98	24.25	6081700
20130405	24.15	24.35	23.86	24.29	6283600
20130404	24.41	24.52	24.25	24.50	3987100
20130403	24.73	24.76	24.40	24.45	6057700
20130402	24.65	24.79	24.56	24.66	5932100
20130401	24.78	24.79	24.35	24.46	6502000
20130328	24.49	24.75	24.40	24.68	6748700
20130327	24.48	24.60	24.35	24.53	5918200
20130326	24.75	24.80	24.44	24.57	6653900
20130325	24.64	24.73	24.33	24.56	4964200
20130322	24.50	24.66	24.39	24.63	6911500
20130321	24.37	24.51	24.29	24.40	6227400
20130320	24.07	24.65	24.05	24.52	7837200
20130319	24.55	24.67	24.09	24.22	8217100
20130318	24.26	24.66	24.15	24.51	4898200
20130315	24.64	24.77	24.36	24.55	6867900
20130314	24.68	24.83	24.63	24.73	5901800
20130313	24.54	24.58	24.28	24.54	7717900
20130312	24.62	24.70	24.25	24.45	7281600
20130311	24.55	24.70	24.37	24.48	10075600
20130308	24.81	24.91	24.49	24.57	8264400
20130307	24.65	24.72	24.41	24.67	8719300
20130306	24.36	24.57	24.15	24.52	9179200
20130305	24.00	24.41	24.00	24.20	11072700
20130304	23.52	24.03	23.52	23.96	10145500
20130301	23.40	23.76	23.21	23.68	8640200
20130228	23.08	23.75	23.07	23.44	11280000
20130227	22.45	23.27	22.44	23.23	11171600
20130226	22.47	22.66	22.19	22.46	6511700
20130225	22.93	23.06	22.43	22.43	10316800
20130222	22.45	22.95	22.33	22.93	12015200
20130221	22.50	22.60	22.18	22.31	13205200
20130220	22.72	22.89	22.55	22.56	11734600
20130219	22.48	22.72	22.41	22.60	9363100
20130215	22.73	22.91	22.46	22.53	7994600
20130214	22.51	22.73	22.41	22.67	5716700
20130213	22.69	22.80	22.47	22.62	6774200
20130212	22.62	22.91	22.59	22.70	6079800
20130211	22.60	22.73	22.50	22.64	5827400
20130208	22.25	22.69	22.22	22.59	9044400
20130207	22.28	22.30	22.08	22.24	9192500
20130206	21.99	22.32	21.89	22.28	8434900
20130205	21.87	22.21	21.76	22.16	8168100
20130204	22.02	22.07	21.63	21.65	6011200
20130201	21.86	22.21	21.80	22.12	8193700
20130131	22.01	22.11	21.74	21.77	7575200
20130130	21.82	22.04	21.81	21.98	8758900
20130129	21.95	21.96	21.66	21.91	9150900
20130128	22.13	22.26	21.87	21.89	8692100
20130125	21.68	22.14	21.67	22.13	11192900
20130124	21.20	21.85	21.09	21.71	19022900
20130123	21.75	21.82	21.09	21.46	19759900
20130122	20.66	20.86	20.51	20.86	11371200
20130118	20.84	20.92	20.46	20.68	10838800
20130117	20.76	21.14	20.57	20.85	12157700
20130116	20.74	20.90	20.58	20.71	9526500
20130115	20.23	20.89	20.13	20.85	16400900
20130114	19.89	20.04	19.79	19.91	5988100
20130111	19.99	20.03	19.85	19.94	5157200
20130110	19.59	20.00	19.50	19.94	8516300
20130109	19.42	19.62	19.39	19.52	4168100
20130108	19.65	19.70	19.25	19.42	6793200
20130107	19.71	19.75	19.38	19.65	6350600
20130104	19.41	19.70	19.37	19.62	5677000
20130103	19.43	19.72	19.28	19.41	8920400
20130102	19.19	19.50	19.10	19.50	8729700
20121231	18.08	18.83	18.01	18.82	6955700
20121228	18.13	18.33	17.98	18.16	3966100
20121227	18.29	18.40	17.90	18.22	5699400
20121226	18.42	18.61	18.22	18.31	2764300
20121224	18.56	18.70	18.40	18.42	1454900
20121221	18.47	18.66	18.25	18.54	8342000
20121220	18.60	18.66	18.38	18.64	6491500
20121219	18.89	19.00	18.60	18.61	5613800
20121218	18.65	18.92	18.56	18.79	6606800
20121217	18.73	18.89	18.39	18.52	7973700
20121214	18.45	18.75	18.45	18.68	6958700
20121213	18.82	18.99	18.43	18.54	7249700
20121212	19.15	19.24	18.71	18.75	5149700
20121211	18.84	19.11	18.80	19.09	4766900
20121210	18.82	18.98	18.72	18.72	6224500
20121207	18.90	19.02	18.71	18.95	6313400
20121206	18.76	18.89	18.68	18.85	6291800
20121205	18.65	18.90	18.54	18.87	9217600
20121204	18.66	18.70	18.44	18.66	4390100
20121203	18.94	19.08	18.52	18.60	7582500
20121130	18.65	18.83	18.55	18.76	6193100
20121129	18.39	18.78	18.35	18.62	7341000
20121128	18.01	18.25	17.71	18.23	8241600
20121127	18.31	18.52	18.01	18.02	6384700
20121126	18.40	18.43	18.19	18.30	4161900
20121123	18.35	18.49	18.25	18.47	2011200
20121121	18.05	18.34	17.98	18.21	3030500
20121120	18.11	18.18	17.86	18.02	4804000
20121119	18.18	18.38	18.05	18.19	6376400
20121116	17.53	18.06	17.41	17.97	12086000
20121115	17.53	17.64	17.38	17.56	5747400
20121114	17.91	18.00	17.49	17.53	6489900
20121113	17.68	18.04	17.68	17.79	7497500
20121112	18.01	18.06	17.92	17.96	4974900
20121109	18.00	18.22	17.93	17.97	8216600
20121108	18.19	18.27	17.94	17.95	5676500
20121107	18.67	18.67	18.10	18.21	11106200
20121106	18.71	19.04	18.70	18.85	7573100
20121105	18.70	18.89	18.64	18.71	8600900
20121102	18.85	18.89	18.73	18.80	9059500
20121101	18.19	18.72	18.15	18.71	9615100
20121031	18.40	18.41	18.11	18.19	9858700
20121026	18.34	18.66	18.15	18.39	9316800
20121025	18.77	19.09	17.84	18.54	28339800
20121024	17.51	17.57	17.35	17.38	11507200
20121023	17.19	17.44	17.02	17.37	7025800
20121022	17.50	17.50	17.14	17.33	6213800
20121019	17.78	17.83	17.40	17.43	7616100
20121018	17.86	18.00	17.62	17.77	7977700
20121017	18.20	18.27	17.80	17.86	6509200
20121016	18.09	18.36	17.90	18.32	5715500
20121015	17.87	18.02	17.78	17.96	6781700
20121012	17.93	18.07	17.75	17.88	8121800
20121011	17.79	18.10	17.69	17.95	6925700
20121010	17.65	17.78	17.55	17.68	8500000
20121009	17.70	17.75	17.50	17.67	7114900
20121008	17.97	18.03	17.72	17.76	6329300
20121005	18.16	18.39	17.99	18.03	6243000
20121004	17.88	18.02	17.75	18.01	5076500
20121003	17.97	18.13	17.79	17.91	9273100
20121002	17.86	18.07	17.80	17.94	7504800
20121001	18.05	18.19	17.74	17.78	8319500
20120928	18.08	18.12	17.96	17.98	6630000
20120927	18.05	18.32	18.02	18.21	7498300
20120926	18.03	18.11	17.61	18.07	9736500
20120925	18.39	18.56	18.05	18.08	8447900
20120924	18.39	18.59	18.21	18.24	11083200
20120921	18.95	19.08	18.52	18.53	15220600
20120920	18.90	18.95	18.69	18.90	10423700
20120919	18.97	19.08	18.88	18.94	5198000
20120918	19.07	19.10	18.91	19.00	6205900
20120917	19.07	19.11	18.90	19.11	7217800
20120914	19.25	19.54	19.12	19.14	12855300
20120913	19.11	19.32	18.84	19.20	8378500
20120912	19.03	19.23	18.96	19.06	10683100
20120911	18.92	19.09	18.85	19.00	9366700
20120910	18.91	19.08	18.80	18.96	7951000
20120907	18.91	19.00	18.77	18.92	9783200
20120906	18.00	19.16	17.95	18.95	19522100
20120905	17.80	17.99	17.71	17.93	9589600
20120904	17.74	18.00	17.70	17.88	8054900
20120831	17.74	17.88	17.59	17.83	8413000
20120830	17.68	17.78	17.49	17.67	5255700
20120829	17.72	17.89	17.67	17.83	4863500
20120828	17.63	17.90	17.61	17.75	7353500
20120827	17.78	17.83	17.61	17.63	6694300
20120824	17.65	17.84	17.57	17.73	7489800
20120823	17.80	17.90	17.62	17.76	9037100
20120822	17.96	18.07	17.77	17.83	7988700
20120821	17.91	18.04	17.85	17.99	12937700
20120820	17.91	17.96	17.60	17.87	9159300
20120817	18.00	18.07	17.78	18.01	11372300
20120816	17.38	18.09	17.36	17.99	21293500
20120815	17.12	17.70	17.02	17.67	10755700
20120814	17.32	17.39	17.09	17.18	7241200
20120813	17.51	17.80	17.16	17.22	9883800
20120810	17.04	17.30	16.88	17.28	16996600
20120809	17.15	17.30	16.99	17.00	9909300
