Date	Open	High	Low	Close	Volume
20130923	40.50	40.62	40.25	40.47	5780200
20130920	40.89	40.91	40.51	40.52	7179000
20130919	40.91	40.94	40.67	40.80	5066800
20130918	40.70	40.90	40.55	40.85	7654400
20130917	40.66	40.84	40.39	40.73	4061200
20130916	40.50	40.58	40.28	40.45	5393100
20130913	40.06	40.30	39.74	40.28	4272300
20130912	39.93	40.11	39.66	39.91	5855600
20130911	40.05	40.39	39.96	40.03	6720000
20130910	39.96	40.36	39.88	40.31	6427400
20130909	39.39	39.84	39.25	39.75	3656700
20130906	39.60	39.60	38.98	39.18	4770400
20130905	39.36	39.58	39.29	39.48	4374400
20130904	38.77	39.47	38.52	39.37	6224400
20130903	38.62	39.09	38.48	38.64	4466800
20130830	38.64	38.65	38.06	38.20	4377300
20130829	38.38	38.82	38.26	38.61	3192400
20130828	38.37	38.69	38.14	38.43	5115000
20130827	38.81	38.81	38.12	38.25	9172200
20130826	39.16	39.56	39.04	39.19	6757700
20130823	38.93	39.14	38.71	39.07	5162800
20130822	38.62	38.95	38.35	38.82	4258600
20130821	38.30	38.76	38.00	38.45	9314200
20130820	38.58	38.86	38.45	38.75	5428900
20130819	38.94	39.03	38.41	38.44	5365800
20130816	38.63	39.05	38.44	38.74	5714600
20130815	38.67	38.90	38.36	38.65	8551200
20130814	39.78	39.79	39.04	39.17	11735300
20130813	39.70	39.92	39.45	39.76	4100300
20130812	39.48	39.92	39.48	39.71	3506600
20130809	39.55	39.94	39.51	39.78	5768600
20130808	39.85	39.96	39.42	39.65	3897300
20130807	39.55	39.89	39.49	39.65	4513300
20130806	39.81	39.99	39.53	39.73	5140100
20130805	39.72	39.90	39.66	39.86	4514300
20130802	39.63	39.99	39.41	39.94	9305700
20130801	39.36	39.90	39.25	39.82	8625100
20130731	38.98	39.35	38.78	39.18	8871300
20130730	38.73	39.05	38.62	38.76	6160000
20130729	38.62	38.99	38.54	38.59	4970300
20130726	38.76	39.12	38.75	39.11	6965000
20130725	38.91	39.27	38.73	39.25	9191700
20130724	38.97	39.21	38.66	38.93	10252200
20130723	38.65	39.74	38.58	38.93	21958000
20130722	37.55	37.60	37.22	37.42	7906500
20130719	37.53	37.60	37.13	37.26	8238400
20130718	37.89	38.10	37.56	37.60	6911300
20130717	37.93	38.16	37.80	37.90	5810900
20130716	37.89	37.95	37.62	37.82	5192600
20130715	37.49	37.83	37.41	37.79	6279500
20130712	37.20	37.49	37.01	37.49	6618900
20130711	36.86	37.31	36.84	37.17	10298900
20130710	36.06	36.67	36.06	36.59	7016500
20130709	36.00	36.41	35.96	36.24	6284900
20130708	36.13	36.16	35.41	35.69	8024200
20130705	35.76	36.02	35.52	36.00	5764600
20130703	34.85	35.78	34.81	35.47	4074200
20130702	34.89	35.66	34.83	35.13	7795600
20130701	34.95	35.38	34.94	35.04	5246700
20130628	34.59	35.08	34.51	34.85	11343300
20130627	35.06	35.19	34.85	34.85	6720200
20130626	35.28	35.41	34.91	34.96	6596900
20130625	34.63	35.16	34.47	35.02	7825800
20130624	34.82	34.96	34.10	34.19	9087400
20130621	34.79	35.06	34.40	34.95	14860300
20130620	35.41	35.50	34.52	34.63	8734600
20130619	36.23	36.29	35.61	35.71	5850300
20130618	35.89	36.34	35.68	36.12	5691600
20130617	35.80	36.24	35.60	35.78	6750900
20130614	35.36	35.77	35.24	35.48	6267600
20130613	34.85	35.58	34.58	35.48	7036400
20130612	35.50	35.53	34.65	34.79	8378600
20130611	36.00	36.02	35.17	35.26	9795200
20130610	36.25	36.76	36.12	36.62	7941300
20130607	35.98	36.25	35.66	36.18	5828200
20130606	35.83	36.07	35.21	35.67	6104900
20130605	36.61	36.61	35.81	35.87	6851900
20130604	36.42	36.99	36.42	36.64	9021500
20130603	35.94	36.19	35.73	36.03	8403800
20130531	36.08	36.41	35.88	35.91	8188900
20130530	35.92	36.63	35.92	36.47	15275100
20130529	36.04	36.29	35.87	36.09	7809600
20130528	36.65	36.72	36.13	36.20	5578500
20130524	35.74	36.01	35.53	35.99	4786900
20130523	35.73	36.16	35.53	35.99	7566200
20130522	36.48	36.74	35.81	36.01	10122900
20130521	36.70	36.80	36.51	36.60	6651600
20130520	36.75	36.84	36.58	36.63	8727600
20130517	36.68	36.83	36.57	36.77	10018700
20130516	36.79	36.98	36.58	36.60	10209300
20130515	36.57	36.88	36.46	36.81	11922000
20130514	36.53	36.80	36.48	36.51	7124900
20130513	36.92	37.03	36.54	36.54	9398700
20130510	37.23	37.23	36.86	37.04	8742300
20130509	37.00	37.36	36.94	37.01	7754600
20130508	36.92	37.23	36.91	37.09	6355900
20130507	37.11	37.15	36.86	37.04	5820100
20130506	37.19	37.25	36.81	37.04	6140200
20130503	36.94	37.20	36.87	37.01	11805400
20130502	36.58	36.90	36.30	36.70	9582100
20130501	36.25	36.80	35.86	36.41	15212000
20130430	35.95	36.24	35.76	36.21	7430700
20130429	35.98	36.10	35.68	35.97	5335500
20130426	35.58	35.89	35.50	35.74	6990800
20130425	36.16	36.26	35.93	36.11	11218600
20130424	35.53	36.14	35.33	36.01	12074200
20130423	35.32	36.23	35.16	35.70	15246700
20130422	34.31	35.60	34.06	34.81	10722800
20130419	33.83	34.40	33.56	34.25	10701100
20130418	34.65	34.81	33.88	33.92	12616900
20130417	35.00	35.03	34.01	34.21	17043900
20130416	35.43	35.86	35.16	35.74	9367200
20130415	35.58	35.88	35.27	35.27	9517000
20130412	35.67	35.88	35.23	35.85	6753100
20130411	35.45	35.92	35.37	35.69	10085600
20130410	35.35	35.77	35.23	35.76	8048200
20130409	35.11	35.40	34.80	35.16	7745400
20130408	34.29	35.08	34.26	35.07	8662800
20130405	34.11	34.23	33.81	34.20	11092000
20130404	34.26	34.63	34.08	34.49	9406500
20130403	34.74	34.89	34.00	34.15	13625700
20130402	34.79	35.02	34.57	34.77	8763300
20130401	35.26	35.56	34.86	35.01	11066900
20130328	35.01	35.50	34.99	35.48	8651800
20130327	34.82	35.12	34.56	35.08	8214600
20130326	34.74	35.11	34.62	35.10	7249200
