Date	Open	High	Low	Close	Volume
20200203	26.930000	27.670000	26.740000	27.160000	27.059999
20200204	27.680000	28.610001	27.549999	28.430000	28.430000
20200205	28.959999	29.240000	28.549999	29.100000	29.100000
20200206	29.260000	29.450001	28.139999	28.299999	28.299999
20200207	28.059999	28.549999	27.780001	28.379999	28.379999
20200210	28.190001	28.809999	27.980000	28.790001	28.790001
20200211	29.059999	29.940001	28.969999	29.840000	29.840000
20200212	30.000000	30.780001	29.990000	30.469999	30.469999
20200213	30.030001	30.400000	29.730000	30.090000	30.090000
20200214	30.010000	30.270000	29.139999	29.200001	29.200001
20200218	29.040001	29.350000	28.490000	28.629999	28.629999
20200219	28.840000	28.879999	28.309999	28.330000	28.330000
20200220	28.240000	28.900000	28.200001	28.510000	28.510000
20200221	28.120001	28.299999	27.170000	27.820000	27.820000
20200224	25.980000	26.110001	25.000000	25.450001	25.450001
20200225	25.620001	25.750000	23.049999	23.120001	23.120001
20200226	23.570000	23.750000	22.110001	22.309999	22.309999
20200227	20.850000	22.480000	19.770000	20.600000	20.600000
20200228	19.799999	20.350000	18.770000	19.049999	19.049999
20200302	19.049999	19.059999	17.510000	18.860001	18.860001
20200303	19.660000	19.790001	17.799999	17.850000	17.850000
20200304	18.360001	18.549999	17.299999	18.530001	18.530001
20200305	17.540001	17.650000	15.980000	16.040001	16.040001
20200306	15.020000	17.120001	14.800000	15.970000	15.970000
20200309	14.870000	15.790000	14.460000	14.750000	14.750000
20200310	15.820000	17.670000	14.610000	17.000000	17.000000
20200311	16.309999	16.490000	15.520000	16.260000	16.260000
20200312	14.050000	15.750000	13.330000	13.450000	13.450000
20200313	15.300000	15.600000	13.120000	14.310000	14.310000
20200316	12.410000	16.200001	12.000000	15.920000	15.920000
20200317	15.790000	18.490000	14.790000	15.580000	15.580000
20200318	14.240000	14.280000	10.170000	11.650000	11.650000
20200319	11.600000	12.160000	10.010000	10.290000	10.290000
20200320	10.650000	12.000000	10.300000	10.380000	10.380000
20200323	10.900000	11.360000	10.010000	10.250000	10.250000
20200324	11.960000	14.810000	11.540000	13.920000	13.920000
20200325	16.690001	16.990000	14.310000	15.390000	15.390000
20200326	16.059999	17.240000	15.160000	15.660000	15.660000
20200327	14.980000	15.220000	13.910000	14.040000	14.040000
20200330	13.200000	13.220000	11.810000	12.250000	12.250000
20200331	12.900000	12.960000	12.100000	12.190000	12.190000
20200401	11.450000	11.480000	10.500000	10.690000	10.690000
20200402	10.610000	11.030000	10.000000	10.060000	10.060000
20200403	10.340000	10.490000	9.090000	9.390000	9.390000
20200406	9.720000	9.940000	9.110000	9.500000	9.500000
20200407	11.070000	12.200000	10.050000	10.220000	10.220000
20200408	10.910000	11.400000	10.500000	11.330000	11.330000
20200409	12.640000	13.400000	11.820000	12.510000	12.510000
20200413	12.900000	12.950000	11.250000	11.560000	11.560000
20200414	12.220000	12.600000	11.750000	11.950000	11.950000
20200415	12.520000	12.690000	11.390000	12.290000	12.290000
20200416	11.910000	12.030000	11.050000	11.070000	11.070000
20200417	11.870000	11.950000	11.500000	11.570000	11.570000
20200420	11.150000	11.350000	10.720000	11.060000	11.060000
20200421	10.800000	11.220000	10.700000	11.000000	11.000000
20200422	11.090000	11.130000	10.435000	10.505000	10.505000
