Date	Open	High	Low	Close	Volume
20200203	304.299988	313.489990	302.220001	308.660004	307.929199
20200204	315.309998	319.640015	313.630005	318.850006	318.095062
20200205	323.519989	324.760010	318.950012	321.450012	320.688934
20200206	322.570007	325.220001	320.260010	325.209991	324.440002
20200207	322.369995	323.399994	318.000000	320.029999	320.029999
20200210	314.179993	321.549988	313.850006	321.549988	321.549988
20200211	323.600006	323.899994	318.709991	319.609985	319.609985
20200212	321.470001	327.220001	321.470001	327.200012	327.200012
20200213	324.190002	326.220001	323.350006	324.869995	324.869995
20200214	324.739990	325.980011	322.850006	324.950012	324.950012
20200218	315.359985	319.750000	314.609985	319.000000	319.000000
20200219	320.000000	324.570007	320.000000	323.619995	323.619995
20200220	322.630005	324.649994	318.209991	320.299988	320.299988
20200221	318.619995	320.450012	310.500000	313.049988	313.049988
20200224	297.260010	304.179993	289.230011	298.179993	298.179993
20200225	300.950012	302.529999	286.130005	288.079987	288.079987
20200226	286.529999	297.880005	286.500000	292.649994	292.649994
20200227	281.100006	286.000000	272.959991	273.519989	273.519989
20200228	257.260010	278.410004	256.369995	273.359985	273.359985
20200302	282.279999	301.440002	277.720001	298.809998	298.809998
20200303	303.670013	304.000000	285.799988	289.320007	289.320007
20200304	296.440002	303.399994	293.130005	302.739990	302.739990
20200305	295.519989	299.549988	291.410004	292.920013	292.920013
20200306	282.000000	290.820007	281.230011	289.029999	289.029999
20200309	263.750000	278.089996	263.000000	266.170013	266.170013
20200310	277.140015	286.440002	269.369995	285.339996	285.339996
20200311	277.390015	281.220001	271.859985	275.429993	275.429993
20200312	255.940002	270.000000	248.000000	248.229996	248.229996
20200313	264.890015	279.920013	252.949997	277.970001	277.970001
20200316	241.949997	259.079987	240.000000	242.210007	242.210007
20200317	247.509995	257.609985	238.399994	252.860001	252.860001
20200318	239.770004	250.000000	237.119995	246.669998	246.669998
20200319	247.389999	252.839996	242.610001	244.779999	244.779999
20200320	247.179993	251.830002	228.000000	229.240005	229.240005
20200323	228.080002	228.500000	212.610001	224.369995	224.369995
20200324	236.360001	247.690002	234.300003	246.880005	246.880005
20200325	250.750000	258.250000	244.300003	245.520004	245.520004
20200326	246.520004	258.679993	246.360001	258.440002	258.440002
20200327	252.750000	255.869995	247.050003	247.740005	247.740005
20200330	250.740005	255.520004	249.399994	254.809998	254.809998
20200331	255.600006	262.489990	252.000000	254.289993	254.289993
20200401	246.500000	248.720001	239.130005	240.910004	240.910004
20200402	240.339996	245.149994	236.899994	244.929993	244.929993
20200403	242.800003	245.699997	238.970001	241.410004	241.410004
20200406	250.899994	263.109985	249.380005	262.470001	262.470001
20200407	270.799988	271.700012	259.000000	259.429993	259.429993
20200408	262.739990	267.369995	261.230011	266.070007	266.070007
20200409	268.700012	270.070007	264.700012	267.989990	267.989990
20200413	268.309998	273.700012	265.829987	273.250000	273.250000
20200414	280.000000	288.250000	278.049988	287.049988	287.049988
20200415	282.399994	286.329987	280.630005	284.429993	284.429993
20200416	287.380005	288.200012	282.350006	286.690002	286.690002
20200417	284.690002	286.950012	276.859985	282.799988	282.799988
20200420	277.950012	281.679993	276.850006	276.929993	276.929993
20200421	276.279999	277.250000	265.429993	268.369995	268.369995
20200422	273.609985	277.899994	272.200012	276.100006	276.100006
20200423	275.869995	281.750000	274.869995	275.029999	275.029999
20200424	277.200012	283.010010	277.000000	282.970001	282.970001
20200427	281.799988	284.540009	279.950012	283.170013	283.170013
20200428	285.079987	285.829987	278.200012	278.579987	278.579987
20200429	284.730011	289.670013	283.890015	287.730011	287.730011
20200430	289.959991	294.529999	288.350006	293.799988	293.799988
20200501	286.250000	299.000000	285.850006	289.070007	289.070007
20200504	289.170013	293.690002	286.320007	293.160004	293.160004
20200505	295.059998	301.000000	294.459991	297.559998	297.559998
20200506	300.459991	303.239990	298.869995	300.630005	300.630005
20200507	303.220001	305.170013	301.970001	303.959991	303.959991
