Date	Open	High	Low	Close	Volume
20200203	205.339996	208.419998	205.250000	207.800003	206.866592
20200204	210.000000	213.789993	209.750000	212.529999	211.575348
20200205	213.889999	214.460007	210.410004	212.220001	211.266739
20200206	213.000000	214.380005	212.309998	214.160004	213.198029
20200207	213.339996	213.389999	211.089996	211.580002	210.629608
20200210	210.190002	212.970001	210.190002	212.550003	211.595261
20200211	213.380005	213.979996	211.759995	212.139999	211.187088
20200212	212.199997	212.869995	211.539993	211.990005	211.037781
20200213	209.869995	213.539993	209.339996	212.399994	211.445923
20200214	213.250000	213.539993	211.350006	212.369995	211.416061
20200218	212.500000	214.059998	211.199997	213.759995	212.799820
20200219	215.000000	216.389999	214.380005	215.919998	214.950119
20200220	215.880005	216.320007	211.610001	213.899994	212.939178
20200221	212.589996	213.550003	210.490005	211.889999	210.938217
20200224	204.470001	207.869995	203.449997	204.360001	203.442047
20200225	204.779999	205.479996	195.860001	197.100006	196.214661
20200226	198.669998	201.449997	194.789993	195.669998	194.791077
20200227	192.199997	194.350006	186.369995	186.440002	185.602539
20200228	180.259995	183.199997	175.300003	180.589996	179.778809
20200302	182.000000	189.820007	178.020004	189.550003	188.698563
20200303	189.770004	191.899994	180.619995	182.220001	181.401489
20200304	185.800003	189.710007	184.300003	188.860001	188.011673
20200305	185.089996	187.460007	180.919998	182.559998	181.739960
20200306	177.449997	180.309998	173.919998	178.750000	177.947083
20200309	165.399994	170.880005	160.100006	164.110001	163.372833
20200310	171.080002	174.740005	166.039993	174.559998	173.775894
20200311	169.320007	171.169998	162.649994	165.110001	164.368347
20200312	153.000000	158.750000	147.080002	152.529999	151.844849
20200313	160.619995	166.710007	152.929993	166.509995	165.762054
20200316	148.289993	166.509995	143.509995	152.539993	151.854797
20200317	154.000000	160.660004	152.479996	157.710007	157.001602
20200318	151.570007	159.800003	142.000000	151.149994	150.471054
20200319	151.360001	177.800003	151.360001	158.500000	157.788040
20200320	157.529999	159.470001	147.419998	149.940002	149.266495
20200323	148.009995	148.009995	137.149994	143.690002	143.044571
20200324	152.259995	157.630005	149.490005	156.850006	156.145462
20200325	156.440002	159.690002	148.110001	151.820007	151.138046
20200326	153.399994	171.600006	150.000000	171.339996	170.570358
20200327	165.000000	169.289993	160.610001	162.880005	162.148376
20200330	164.119995	170.369995	163.779999	169.820007	169.057205
20200331	167.429993	169.880005	162.160004	163.259995	162.526657
20200401	158.570007	160.820007	152.580002	154.679993	153.985184
20200402	154.050003	160.500000	153.550003	156.270004	155.568054
20200403	155.600006	158.720001	148.279999	152.149994	151.466553
20200406	158.979996	166.750000	157.039993	166.050003	165.304123
20200407	171.080002	171.490005	163.929993	164.119995	163.382797
20200408	166.580002	172.690002	165.070007	171.729996	170.958603
20200409	173.229996	179.869995	172.509995	177.919998	177.120804
20200413	176.179993	177.009995	169.559998	172.570007	171.794846
20200414	177.000000	178.889999	176.020004	178.100006	177.300003
20200415	174.300003	174.309998	168.889999	169.449997	169.449997
20200416	171.259995	172.050003	167.520004	167.949997	167.949997
20200417	172.520004	175.160004	172.050003	175.089996	175.089996
20200420	172.589996	176.899994	171.759995	174.740005	174.740005
20200421	170.820007	172.800003	165.710007	166.240005	166.240005
20200422	170.039993	173.339996	169.210007	172.309998	172.309998
20200423	173.360001	175.320007	172.139999	172.899994	172.899994
20200424	176.399994	176.399994	172.570007	175.460007	175.460007
20200427	176.229996	180.539993	176.199997	179.429993	179.429993
20200428	182.080002	183.259995	176.910004	178.360001	178.360001
20200429	182.309998	188.169998	181.699997	187.559998	187.559998
20200430	185.529999	186.479996	184.190002	185.190002	185.190002
20200501	181.710007	182.990005	179.259995	180.089996	180.089996
20200504	177.979996	180.639999	176.880005	179.529999	179.529999
20200505	182.080002	183.889999	181.000000	181.619995	181.619995
20200506	182.100006	182.500000	179.050003	180.380005	180.380005
20200507	182.990005	186.250000	182.740005	186.119995	186.119995
