Date	Open	High	Low	Close	Volume
20200203	6.200000	6.370000	6.150000	6.250000	6.199128
20200204	6.340000	6.445000	6.320000	6.370000	6.318151
20200205	6.450000	6.570000	6.430000	6.570000	6.516523
20200206	6.590000	6.680000	6.500000	6.550000	6.496686
20200207	6.560000	6.610000	6.460000	6.590000	6.536361
20200210	6.550000	6.670000	6.505000	6.610000	6.556198
20200211	6.650000	6.840000	6.560000	6.830000	6.774407
20200212	6.900000	7.100000	6.870000	7.010000	6.952942
20200213	6.970000	6.980000	6.810000	6.950000	6.893430
20200214	6.970000	7.069000	6.900000	7.040000	6.982697
20200218	7.000000	7.040000	6.920000	7.020000	6.962860
20200219	7.030000	7.255000	6.920000	7.220000	7.161232
20200220	7.220000	7.340000	7.090000	7.150000	7.091802
20200221	7.100000	7.130000	6.945000	6.980000	6.923186
20200224	6.750000	6.990000	6.620000	6.940000	6.883512
20200225	7.000000	7.060000	6.850000	6.900000	6.843837
20200226	6.960000	6.960000	6.210000	6.290000	6.238802
20200227	6.160000	6.700000	6.040000	6.440000	6.387581
20200228	6.250000	6.390000	6.065000	6.390000	6.337988
20200302	6.380000	6.600000	6.030000	6.600000	6.546279
20200303	6.610000	6.860000	6.275000	6.320000	6.268558
20200304	6.450000	6.770000	6.370000	6.770000	6.714895
20200305	6.610000	6.720000	6.190000	6.270000	6.218965
20200306	5.780000	6.300000	5.650000	5.920000	5.871814
20200309	5.410000	5.490000	5.180000	5.270000	5.227105
20200310	5.430000	5.470000	4.900000	5.240000	5.197349
20200311	5.100000	5.140000	4.715000	4.750000	4.711337
20200312	4.420000	4.830000	3.930000	4.830000	4.790686
20200313	5.120000	5.200000	4.670000	4.700000	4.661744
20200316	4.330000	4.330000	3.855000	4.030000	3.997198
20200317	4.140000	4.470000	3.877000	4.300000	4.265000
20200318	3.970000	4.120000	3.780000	3.840000	3.840000
20200319	3.810000	4.450000	3.690000	3.970000	3.970000
20200320	4.030000	4.180000	3.850000	3.870000	3.870000
20200323	3.880000	4.000000	3.405000	3.720000	3.720000
20200324	3.950000	4.410000	3.940000	4.320000	4.320000
20200325	4.420000	4.690000	4.190000	4.420000	4.420000
20200326	4.510000	4.800000	4.392000	4.660000	4.660000
20200327	4.660000	4.770000	4.285000	4.710000	4.710000
20200330	4.600000	4.650000	4.260000	4.340000	4.340000
20200331	4.350000	4.545000	4.250000	4.320000	4.320000
20200401	4.220000	4.295000	4.040000	4.090000	4.090000
20200402	4.160000	4.160000	3.995000	4.110000	4.110000
20200403	4.100000	4.220000	4.020000	4.170000	4.170000
20200406	4.290000	4.390000	4.200000	4.380000	4.380000
20200407	4.470000	4.580000	4.090000	4.200000	4.200000
20200408	4.280000	4.870000	4.210000	4.700000	4.700000
20200409	4.780000	5.400000	4.740000	5.350000	5.350000
20200413	5.380000	5.390000	5.060000	5.150000	5.150000
20200414	5.220000	5.720000	5.220000	5.710000	5.710000
20200415	5.660000	5.770000	5.200000	5.320000	5.320000
20200416	5.310000	5.451000	5.180000	5.280000	5.280000
20200417	5.430000	5.680000	5.350000	5.370000	5.370000
20200420	5.240000	5.420000	5.180000	5.250000	5.250000
20200421	5.100000	5.190000	5.000000	5.050000	5.050000
