Date	Open	High	Low	Close	Volume
20200203	19.969999	20.379999	19.900000	20.309999	20.107183
20200204	20.389999	20.690001	20.350000	20.610001	20.404188
20200205	20.680000	20.910000	20.620001	20.760000	20.552691
20200206	20.830000	20.870001	20.559999	20.580000	20.374487
20200207	20.549999	20.610001	20.420000	20.500000	20.295286
20200210	20.500000	20.559999	20.379999	20.520000	20.315086
20200211	20.610001	20.889999	20.600000	20.790001	20.582392
20200212	20.750000	21.010000	20.690001	20.959999	20.750692
20200213	20.910000	20.959999	20.740000	20.830000	20.621990
20200214	20.850000	20.969999	20.820000	20.930000	20.720993
20200218	20.940001	21.230000	20.840000	21.030001	20.819994
20200219	21.139999	21.150000	20.910000	20.910000	20.701191
20200220	20.870001	20.940001	20.660000	20.799999	20.592289
20200221	20.799999	20.900000	20.700001	20.750000	20.542789
20200224	20.330000	20.490000	20.129999	20.250000	20.047783
20200225	20.309999	20.320000	19.360001	19.379999	19.186470
20200226	19.490000	19.530001	18.680000	18.690001	18.503361
20200227	18.559999	19.059999	18.250000	18.290001	18.107357
20200228	16.000000	17.389999	15.750000	16.730000	16.562933
20200302	16.770000	18.240000	16.480000	18.219999	18.038054
20200303	18.010000	18.430000	17.410000	17.430000	17.255943
20200304	17.680000	17.910000	17.299999	17.830000	17.651949
20200305	17.530001	17.540001	16.580000	16.730000	16.562933
20200306	16.129999	16.930000	15.890000	16.820000	16.652035
20200309	15.650000	15.800000	14.490000	14.580000	14.434403
20200310	15.100000	15.280000	14.290000	15.210000	15.058112
20200311	14.760000	14.960000	14.040000	14.160000	14.018598
20200312	13.060000	13.140000	11.700000	12.180000	12.058371
20200313	12.990000	13.230000	11.980000	13.000000	12.870181
20200316	11.550000	12.700000	10.990000	10.990000	10.880253
20200317	11.300000	11.720000	9.840000	11.560000	11.444562
20200318	11.150000	11.150000	8.110000	9.560000	9.464534
20200319	9.500000	11.270000	9.000000	10.990000	10.880253
20200320	11.210000	12.130000	10.840000	11.870000	11.751466
20200323	11.980000	12.990000	11.530000	11.870000	11.751466
20200324	12.650000	13.420000	12.150000	12.660000	12.533577
20200325	12.750000	13.590000	11.810000	12.820000	12.691978
20200326	12.930000	13.680000	12.700000	13.500000	13.365189
20200327	12.850000	13.830000	12.680000	13.450000	13.315687
20200330	13.750000	13.960000	13.280000	13.660000	13.523590
20200331	13.500000	13.930000	13.180000	13.600000	13.464190
20200401	13.000000	13.270000	12.340000	12.800000	12.672179
20200402	12.660000	13.570000	12.480000	13.040000	12.909782
20200403	12.750000	13.080000	12.130000	12.240000	12.117770
20200406	12.900000	13.780000	12.800000	13.620000	13.483990
20200407	14.330000	14.610000	13.200000	13.230000	13.097884
20200408	13.210000	14.270000	13.160000	14.130000	13.988897
20200409	14.450000	14.990000	14.400000	14.720000	14.573006
20200413	14.630000	14.630000	13.920000	14.190000	14.048298
20200414	14.410000	14.490000	13.760000	14.010000	13.870096
20200415	13.310000	13.650000	12.660000	12.690000	12.563276
20200416	12.700000	12.880000	12.010000	12.160000	12.038569
20200417	12.590000	13.190000	12.480000	13.120000	12.988983
20200420	12.870000	13.100000	12.560000	12.700000	12.573177
20200421	12.400000	12.580000	12.250000	12.460000	12.335574
20200422	12.790000	12.860000	12.350000	12.680000	12.553377
20200423	12.820000	13.140000	12.650000	12.690000	12.563276
20200424	12.740000	13.020000	12.530000	12.860000	12.731579
20200427	13.000000	13.450000	12.890000	13.280000	13.147385
20200428	13.700000	14.010000	13.400000	13.630000	13.493891
20200429	13.980000	14.480000	13.870000	14.320000	14.176999
20200430	14.030000	14.040000	13.220000	13.250000	13.250000
20200501	13.000000	13.170000	12.600000	12.940000	12.940000
20200504	12.870000	12.880000	12.540000	12.810000	12.810000
20200505	13.020000	13.210000	12.900000	13.050000	13.050000
20200506	13.110000	13.110000	12.450000	12.530000	12.530000
20200507	12.530000	13.050000	12.435000	12.797900	12.797900
