Date	Open	High	Low	Close	Volume
20200203	186.669998	188.570007	186.669998	188.440002	187.005966
20200204	189.669998	190.639999	189.490005	190.160004	188.712891
20200205	190.800003	192.509995	190.770004	192.100006	190.638123
20200206	192.830002	193.169998	191.860001	192.880005	191.412186
20200207	194.279999	197.759995	193.789993	197.050003	195.550446
20200210	197.119995	200.289993	197.029999	199.649994	198.130661
20200211	200.000000	201.710007	199.770004	200.990005	199.460480
20200212	200.850006	202.220001	200.580002	202.100006	200.562027
20200213	200.800003	201.399994	199.139999	199.259995	198.470337
20200214	199.399994	199.399994	197.940002	198.320007	197.534073
20200218	197.820007	198.979996	197.240005	198.000000	197.215332
20200219	198.050003	199.169998	197.539993	198.809998	198.022125
20200220	198.449997	198.929993	197.309998	198.740005	197.952408
20200221	198.149994	200.399994	198.000000	200.149994	199.356812
20200224	197.550003	198.800003	197.300003	198.169998	197.384659
20200225	198.429993	198.429993	193.130005	193.729996	192.962250
20200226	194.139999	195.740005	193.009995	193.190002	192.424408
20200227	191.399994	194.000000	188.039993	189.520004	188.768951
20200228	185.809998	190.679993	185.410004	190.669998	189.914383
20200302	190.669998	193.839996	188.460007	193.839996	193.071823
20200303	193.979996	195.600006	190.139999	191.940002	191.179352
20200304	193.690002	195.979996	193.270004	195.940002	195.163498
20200305	193.949997	195.250000	192.039993	192.889999	192.125595
20200306	189.270004	192.380005	188.800003	191.949997	191.189316
20200309	185.199997	189.210007	184.000000	185.460007	184.725037
20200310	188.270004	189.949997	184.949997	189.210007	188.460175
20200311	186.529999	188.229996	184.039993	185.500000	184.764877
20200312	178.660004	180.729996	172.880005	174.570007	173.878204
20200313	179.940002	184.779999	178.360001	183.850006	183.121414
20200316	173.750000	175.990005	164.460007	164.699997	164.047302
20200317	167.220001	174.190002	159.070007	171.839996	171.159012
20200318	171.000000	172.199997	158.669998	169.229996	168.559341
20200319	167.190002	175.279999	164.139999	171.259995	170.581299
20200320	173.220001	174.460007	168.110001	170.880005	170.202820
20200323	167.789993	172.529999	164.729996	167.699997	167.035416
20200324	172.679993	174.990005	170.589996	170.850006	170.172943
20200325	169.720001	172.520004	168.300003	169.000000	168.330261
20200326	170.130005	175.929993	170.039993	175.539993	174.844345
20200327	170.960007	176.589996	170.960007	173.000000	172.314407
20200330	174.639999	177.330002	174.309998	176.309998	175.611298
20200331	175.860001	179.020004	175.149994	177.100006	176.398163
20200401	173.490005	175.949997	173.039993	174.899994	174.206879
20200402	174.000000	178.630005	173.339996	177.539993	176.836411
20200403	177.020004	178.410004	174.570007	175.710007	175.013687
20200406	178.119995	179.539993	176.470001	178.149994	177.444000
20200407	179.759995	181.520004	178.240005	178.259995	177.553558
20200408	178.880005	181.869995	177.789993	181.080002	180.362396
20200409	181.899994	182.850006	181.210007	182.199997	181.477951
20200413	182.110001	184.009995	181.600006	183.830002	183.101501
20200414	184.929993	187.639999	184.929993	186.729996	185.989990
20200415	184.000000	187.020004	183.850006	185.710007	185.710007
20200416	187.270004	196.190002	184.669998	185.190002	185.190002
20200417	187.089996	187.710007	185.830002	187.000000	187.000000
20200420	186.699997	189.149994	185.880005	187.389999	187.389999
20200421	185.850006	186.399994	183.940002	184.039993	184.039993
20200422	185.360001	185.990005	185.160004	185.800003	185.800003
