Date	Open	High	Low	Close	Volume
20200203	10.590000	10.770000	10.410000	10.680000	10.554545
20200204	10.800000	10.940000	10.760000	10.870000	10.742313
20200205	10.940000	11.100000	10.890000	11.020000	10.890552
20200206	11.050000	11.050000	10.950000	11.010000	10.880669
20200207	10.910000	10.950000	10.800000	10.820000	10.692901
20200210	10.780000	10.940000	10.660000	10.810000	10.683019
20200211	10.850000	11.040000	10.830000	10.970000	10.841139
20200212	10.760000	10.830000	10.340000	10.470000	10.347013
20200213	10.330000	10.350000	10.140000	10.160000	10.040653
20200214	10.090000	10.350000	10.070000	10.210000	10.090066
20200218	10.240000	10.260000	10.130000	10.210000	10.090066
20200219	10.230000	10.380000	10.170000	10.180000	10.060419
20200220	10.210000	10.360000	10.200000	10.270000	10.149362
20200221	10.210000	10.260000	10.060000	10.240000	10.119714
20200224	10.110000	10.130000	9.900000	9.930000	9.813355
20200225	9.960000	9.970000	9.640000	9.670000	9.556410
20200226	9.740000	9.890000	9.700000	9.760000	9.645352
20200227	9.720000	9.730000	9.360000	9.460000	9.348876
20200228	9.270000	9.430000	9.130000	9.320000	9.210521
20200302	9.680000	9.800000	9.380000	9.790000	9.675000
20200303	9.590000	9.830000	9.440000	9.590000	9.590000
20200304	9.710000	9.790000	9.420000	9.770000	9.770000
20200305	9.510000	9.680000	9.340000	9.390000	9.390000
20200306	9.310000	9.390000	9.100000	9.320000	9.320000
20200309	8.900000	9.190000	8.610000	8.880000	8.880000
20200310	8.990000	9.040000	8.490000	8.970000	8.970000
20200311	8.230000	8.390000	7.940000	7.990000	7.990000
20200312	6.920000	7.100000	6.550000	6.700000	6.700000
20200313	7.040000	7.300000	6.320000	6.820000	6.820000
20200316	6.110000	6.430000	5.800000	5.950000	5.950000
20200317	6.150000	6.230000	5.850000	6.230000	6.230000
20200318	5.900000	6.500000	5.820000	6.390000	6.390000
20200319	6.430000	7.530000	6.380000	7.430000	7.430000
20200320	7.370000	7.950000	7.100000	7.300000	7.300000
20200323	7.120000	7.200000	6.580000	6.620000	6.620000
20200324	7.100000	7.570000	6.980000	7.520000	7.520000
20200325	7.410000	7.910000	7.330000	7.710000	7.710000
20200326	7.710000	8.210000	7.640000	8.130000	8.130000
20200327	7.680000	8.040000	7.380000	7.800000	7.800000
20200330	7.890000	8.340000	7.880000	8.280000	8.280000
20200331	8.150000	8.320000	8.040000	8.120000	8.120000
20200401	7.960000	8.180000	7.800000	7.860000	7.860000
20200402	8.070000	8.400000	8.030000	8.180000	8.180000
20200403	8.020000	8.230000	7.760000	7.840000	7.840000
20200406	8.170000	8.330000	8.060000	8.220000	8.220000
20200407	8.470000	8.590000	8.120000	8.130000	8.130000
20200408	8.220000	8.670000	8.080000	8.510000	8.510000
20200409	8.650000	9.260000	8.610000	9.160000	9.160000
20200413	9.090000	9.180000	8.840000	8.900000	8.900000
20200414	8.960000	9.110000	8.840000	9.040000	9.040000
20200415	8.660000	8.770000	8.600000	8.650000	8.650000
20200416	8.550000	8.600000	8.310000	8.460000	8.460000
20200417	8.600000	8.900000	8.600000	8.780000	8.780000
20200420	8.740000	8.790000	8.560000	8.640000	8.640000
20200421	8.320000	8.460000	8.180000	8.260000	8.260000
20200422	8.370000	8.420000	8.230000	8.235000	8.235000
