Date	Open	High	Low	Close	Volume
20200203	27.260000	27.690001	27.100000	27.559999	27.478750
20200204	28.190001	28.549999	28.059999	28.139999	28.057039
20200205	28.809999	29.440001	28.620001	28.900000	28.814800
20200206	28.950001	29.230000	28.280001	28.940001	28.854683
20200207	28.280001	28.580000	27.990000	28.110001	28.027130
20200210	27.879999	28.020000	27.459999	27.969999	27.887541
20200211	28.580000	28.809999	28.139999	28.170000	28.086952
20200212	28.930000	29.030001	28.430000	28.480000	28.396038
20200213	28.370001	28.510000	27.830000	27.920000	27.837688
20200214	28.049999	28.080000	27.240000	27.360001	27.279341
20200218	27.049999	28.219999	26.950001	28.110001	28.027130
20200219	28.400000	28.680000	27.969999	28.469999	28.386066
20200220	28.590000	29.209999	28.440001	28.580000	28.495743
20200221	28.139999	28.480000	27.520000	28.400000	28.316273
20200224	26.959999	27.030001	26.410000	26.750000	26.671139
20200225	27.240000	27.290001	25.340000	25.500000	25.424824
20200226	25.500000	25.860001	24.400000	24.430000	24.357979
20200227	23.809999	26.959999	23.379999	25.070000	24.996090
20200228	24.000000	25.520000	23.830000	24.920000	24.846533
20200302	25.490000	25.889999	24.650000	25.520000	25.444765
20200303	25.700001	26.570000	24.750000	24.990000	24.916327
20200304	25.360001	25.620001	24.530001	25.129999	25.055914
20200305	24.430000	25.209999	24.030001	24.340000	24.268244
20200306	23.420000	23.510000	20.219999	20.700001	20.638975
20200309	13.420000	13.700000	9.320000	9.550000	9.521846
20200310	11.370000	11.500000	9.400000	10.790000	10.758190
20200311	10.100000	10.110000	7.950000	8.250000	8.225678
20200312	6.930000	8.300000	6.600000	7.760000	7.737123
20200313	8.500000	8.590000	6.950000	8.070000	8.046208
20200316	6.730000	6.920000	5.450000	5.460000	5.443903
20200317	5.690000	5.710000	4.400000	4.460000	4.446851
20200318	4.160000	4.750000	3.800000	4.440000	4.426910
20200319	4.550000	5.400000	4.070000	4.950000	4.935407
20200320	5.160000	5.470000	4.650000	4.830000	4.815761
20200323	4.810000	4.900000	4.300000	4.310000	4.297294
20200324	4.810000	5.840000	4.680000	5.580000	5.563550
20200325	6.130000	6.670000	5.310000	5.890000	5.872635
20200326	5.940000	6.600000	5.610000	5.760000	5.743019
20200327	5.380000	5.400000	4.760000	4.860000	4.845672
20200330	4.760000	4.770000	4.000000	4.110000	4.097883
20200331	4.410000	4.580000	4.110000	4.180000	4.167677
20200401	4.040000	4.160000	3.860000	4.020000	4.008149
20200402	4.750000	5.300000	4.310000	4.690000	4.676173
20200403	5.440000	5.630000	4.560000	5.380000	5.364139
20200406	5.200000	6.000000	5.130000	5.870000	5.852695
20200407	6.600000	7.240000	6.360000	6.520000	6.500778
20200408	6.830000	7.620000	6.720000	7.580000	7.557653
20200409	9.110000	10.070000	7.130000	8.200000	8.175825
20200413	8.790000	8.990000	8.030000	8.380000	8.355295
20200414	8.200000	8.310000	7.620000	8.080000	8.056179
20200415	7.120000	8.070000	7.080000	7.940000	7.916592
20200416	7.960000	7.980000	7.380000	7.490000	7.467918
20200417	7.450000	8.500000	7.420000	8.490000	8.464971
20200420	7.640000	8.850000	7.510000	8.480000	8.455000
20200421	8.190000	8.810000	8.060000	8.570000	8.570000
20200422	9.000000	9.620000	8.840000	9.420000	9.420000
20200423	9.820000	10.970000	9.800000	10.500000	10.500000
20200424	11.120000	11.450000	10.160000	10.690000	10.690000
20200427	10.200000	10.800000	9.750000	10.500000	10.500000
20200428	10.850000	10.950000	10.210000	10.670000	10.670000
20200429	11.320000	13.150000	11.130000	13.050000	13.050000
20200430	13.350000	14.050000	12.180000	13.080000	13.080000
20200501	12.420000	12.760000	11.110000	11.280000	11.280000
20200504	10.720000	12.070000	10.500000	12.060000	12.060000
20200505	12.990000	13.180000	11.630000	11.780000	11.780000
20200506	11.810000	12.140000	11.310000	11.610000	11.610000
20200507	11.810000	12.380000	11.350000	12.275000	12.275000
