Date	Open	High	Low	Close	Volume
20200203	130.550003	132.220001	130.449997	131.000000	130.276337
20200204	132.880005	133.339996	131.720001	131.850006	131.121643
20200205	133.429993	133.800003	131.289993	133.600006	132.861984
20200206	134.160004	134.350006	133.110001	133.250000	132.513901
20200207	132.570007	132.750000	131.339996	131.820007	131.091812
20200210	131.610001	132.500000	131.350006	132.240005	131.509491
20200211	133.029999	133.649994	132.320007	132.630005	131.897339
20200212	133.389999	133.720001	132.529999	133.240005	132.503967
20200213	133.149994	134.669998	133.059998	134.460007	133.717224
20200214	134.710007	136.369995	134.529999	135.869995	135.119431
20200218	135.869995	136.750000	134.940002	135.600006	134.850937
20200219	136.300003	137.419998	136.119995	136.929993	136.173569
20200220	136.410004	138.039993	134.899994	136.580002	135.825516
20200221	136.199997	136.270004	133.889999	134.899994	134.154785
20200224	129.429993	130.960007	127.230003	128.190002	127.481857
20200225	127.709999	127.989998	119.910004	120.900002	120.232132
20200226	121.269997	122.430000	118.470001	118.500000	117.845390
20200227	115.900002	117.480003	112.779999	112.809998	112.186821
20200228	109.050003	111.029999	107.000000	109.930000	109.322731
20200302	111.110001	113.989998	108.589996	113.870003	113.240967
20200303	115.019997	116.400002	107.000000	108.010002	107.413338
20200304	110.250000	115.790001	109.250000	115.699997	115.060852
20200305	111.620003	112.589996	109.699997	110.940002	110.327156
20200306	105.730003	108.769997	103.790001	108.239998	107.642059
20200309	100.870003	101.440002	96.940002	98.290001	97.747032
20200310	101.930000	103.370003	97.449997	103.300003	102.729355
20200311	100.300003	100.959999	93.870003	95.379997	94.853104
20200312	87.660004	89.610001	81.809998	83.529999	83.068565
20200313	90.379997	100.080002	84.300003	99.599998	99.049789
20200316	82.440002	93.180000	80.370003	85.870003	85.395645
20200317	87.610001	88.940002	83.220001	86.580002	86.101723
20200318	80.019997	81.519997	67.000000	73.750000	73.342590
20200319	72.540001	77.889999	69.790001	77.070000	76.644257
20200320	78.980003	82.440002	72.559998	74.120003	73.710548
20200323	72.820000	75.419998	68.120003	68.959999	68.579056
20200324	73.510002	84.769997	71.699997	84.050003	83.585701
20200325	87.610001	96.459999	85.320000	90.169998	89.671883
20200326	92.239998	99.690002	90.839996	93.290001	92.774651
20200327	87.940002	91.970001	85.820000	88.730003	88.239845
20200330	88.510002	91.389999	85.269997	90.269997	89.771332
20200331	89.940002	90.900002	85.070000	85.610001	85.137077
20200401	80.650002	81.309998	77.000000	77.839996	77.409996
20200402	77.059998	79.120003	75.830002	76.660004	76.660004
20200403	76.000000	76.660004	72.610001	73.599998	73.599998
20200406	80.220001	84.250000	78.739998	83.870003	83.870003
20200407	91.430000	93.300003	87.419998	87.580002	87.580002
20200408	89.209999	93.000000	88.120003	92.080002	92.080002
20200409	94.589996	97.849998	93.459999	94.820000	94.820000
20200413	93.290001	93.419998	87.940002	90.330002	90.330002
20200414	91.459999	92.500000	85.910004	88.389999	88.389999
20200415	83.430000	85.400002	80.680000	83.790001	83.790001
20200416	83.790001	83.940002	80.330002	81.349998	81.349998
20200417	85.320000	87.389999	84.279999	87.389999	87.389999
20200420	84.589996	85.269997	82.690002	84.010002	84.010002
20200421	80.730003	82.459999	79.470001	81.519997	81.519997
20200422	83.599998	83.654999	81.970001	82.120003	82.120003
