Date	Open	High	Low	Close	Volume
20200203	25.350000	25.700001	25.200001	25.200001	24.807840
20200204	25.660000	26.030001	25.570000	25.580000	25.181925
20200205	26.070000	26.379999	25.910000	26.309999	25.900564
20200206	26.570000	26.690001	26.010000	26.080000	25.674145
20200207	25.600000	25.990000	25.459999	25.600000	25.201614
20200210	25.469999	25.610001	25.280001	25.600000	25.201614
20200211	25.510000	25.570000	24.900000	25.160000	24.768461
20200212	25.400000	25.629999	24.530001	24.610001	24.227022
20200213	24.490000	24.639999	24.010000	24.209999	23.833244
20200214	24.219999	24.400000	23.959999	24.360001	23.980911
20200218	27.030001	27.600000	25.309999	26.049999	25.644611
20200219	26.160000	26.260000	25.129999	25.370001	24.975195
20200220	25.440001	25.930000	25.290001	25.670000	25.270525
20200221	25.410000	25.480000	24.990000	25.200001	24.807840
20200224	24.260000	24.709999	24.100000	24.190001	23.813557
20200225	24.420000	24.459999	23.530001	23.580000	23.213049
20200226	23.709999	23.820000	23.000000	23.010000	22.651920
20200227	22.480000	23.840000	22.190001	22.639999	22.287678
20200228	21.860001	22.139999	21.360001	21.760000	21.421373
20200302	21.950001	23.360001	21.730000	23.350000	22.986629
20200303	23.200001	24.000000	22.959999	23.389999	23.026005
20200304	23.530001	23.670000	22.920000	23.420000	23.055540
20200305	22.450001	22.639999	21.709999	22.129999	21.785614
20200306	21.250000	22.490000	21.170000	21.650000	21.313084
20200309	19.719999	20.600000	19.500000	19.510000	19.206387
20200310	20.469999	20.680000	18.719999	20.150000	19.836426
20200311	19.559999	19.719999	18.309999	18.799999	18.507435
20200312	17.389999	17.780001	16.430000	16.760000	16.499182
20200313	17.799999	18.379999	16.799999	18.110001	17.828175
20200316	15.700000	18.309999	15.300000	17.760000	17.483620
20200317	18.180000	20.160000	17.670000	20.160000	19.846272
20200318	18.850000	22.040001	18.500000	19.799999	19.491873
20200319	19.379999	21.430000	19.360001	19.430000	19.127632
20200320	19.430000	19.430000	16.700001	16.900000	16.637003
20200323	16.830000	17.150000	15.290000	15.300000	15.061903
20200324	16.150000	16.910000	15.610000	16.559999	16.302294
20200325	16.650000	17.910000	15.880000	16.790001	16.528715
20200326	16.900000	18.270000	16.549999	18.219999	17.936460
20200327	17.780001	18.190001	17.080000	17.350000	17.080000
20200330	17.200001	17.900000	16.860001	17.760000	17.760000
20200331	17.540001	17.690001	16.570000	16.690001	16.690001
20200401	16.059999	16.209999	15.650000	15.860000	15.860000
20200402	15.830000	16.750000	15.760000	16.059999	16.059999
20200403	16.059999	16.500000	15.330000	15.610000	15.610000
20200406	16.240000	16.910000	16.180000	16.750000	16.750000
20200407	17.110001	17.540001	16.580000	16.639999	16.639999
20200408	16.820000	17.459999	16.180000	17.190001	17.190001
20200409	17.260000	17.740000	16.610001	16.809999	16.809999
20200413	16.850000	16.879999	15.900000	16.090000	16.090000
20200414	16.600000	16.860001	16.090000	16.320000	16.320000
20200415	15.850000	15.880000	15.210000	15.310000	15.310000
20200416	15.430000	15.520000	14.910000	15.420000	15.420000
20200417	16.100000	16.459999	15.780000	16.340000	16.340000
20200420	16.070000	16.580000	15.830000	16.280001	16.280001
20200421	15.870000	16.219999	15.760000	15.980000	15.980000
20200422	16.320000	16.440001	16.000000	16.129999	16.129999
20200423	16.160000	16.590000	15.710000	15.860000	15.860000
20200424	16.010000	16.200001	15.710000	15.920000	15.920000
20200427	16.110001	17.020000	15.910000	16.840000	16.840000
20200428	17.330000	17.740000	17.219999	17.400000	17.400000
20200429	18.000000	18.549999	17.580000	18.490000	18.490000
20200430	18.490000	19.350000	17.780001	18.840000	18.840000
20200501	18.129999	18.230000	17.280001	18.030001	18.030001
20200504	17.770000	18.379999	17.469999	18.330000	18.330000
20200505	18.559999	18.790001	17.900000	17.959999	17.959999
20200506	18.120001	18.370001	17.379999	17.740000	17.740000
20200507	18.059999	18.610001	18.010000	18.600000	18.600000
