Date	Open	High	Low	Close	Volume
20200203	1838.869995	1858.160034	1830.050049	1839.030029	1839.030029
20200204	1857.060059	1895.500000	1848.180054	1864.510010	1864.510010
20200205	1898.699951	1943.979980	1882.709961	1939.290039	1939.290039
20200206	1958.900024	1972.000000	1937.010010	1960.900024	1960.900024
20200207	1950.229980	1960.000000	1904.160034	1909.589966	1909.589966
20200210	1901.689941	1912.589966	1883.000000	1886.640015	1886.640015
20200211	1894.479980	1918.890015	1892.619995	1909.300049	1909.300049
20200212	1923.949951	1967.000000	1911.209961	1960.359985	1960.359985
20200213	1944.000000	1960.880005	1929.099976	1959.939941	1959.939941
20200214	1998.439941	2024.880005	1984.660034	1990.959961	1990.959961
20200218	1972.250000	1988.189941	1961.949951	1976.280029	1976.280029
20200219	1982.760010	1989.989990	1962.319946	1968.489990	1968.489990
20200220	1960.000000	1987.760010	1956.390015	1970.910034	1970.910034
20200221	1965.000000	1968.099976	1922.160034	1928.719971	1928.719971
20200224	1830.930054	1835.500000	1777.880005	1792.540039	1792.540039
20200225	1803.000000	1811.310059	1711.010010	1726.579956	1726.579956
20200226	1731.219971	1742.939941	1659.640015	1678.199951	1678.199951
20200227	1612.979980	1730.000000	1592.449951	1659.849976	1659.849976
20200228	1643.640015	1718.000000	1634.540039	1695.660034	1695.660034
20200302	1709.750000	1732.920044	1651.760010	1728.979980	1728.979980
20200303	1726.630005	1749.989990	1646.930054	1683.020020	1683.020020
20200304	1697.150024	1736.890015	1671.239990	1732.130005	1732.130005
20200305	1662.989990	1680.040039	1632.579956	1647.439941	1647.439941
20200306	1603.089966	1684.000000	1584.000000	1612.089966	1612.089966
20200309	1483.989990	1588.670044	1476.510010	1527.800049	1527.800049
20200310	1589.949951	1615.000000	1499.939941	1559.000000	1559.000000
20200311	1522.290039	1528.530029	1420.560059	1442.500000	1442.500000
20200312	1297.000000	1369.989990	1280.000000	1280.400024	1280.400024
20200313	1336.800049	1421.670044	1270.869995	1421.329956	1421.329956
20200316	1275.000000	1411.829956	1252.219971	1289.670044	1289.670044
20200317	1309.560059	1370.520020	1252.910034	1368.260010	1368.260010
20200318	1277.859985	1327.089966	1165.020020	1233.750000	1233.750000
20200319	1211.160034	1236.640015	1150.000000	1191.479980	1191.479980
20200320	1216.339966	1299.949951	1157.410034	1177.430054	1177.430054
20200323	1166.979980	1226.140015	1107.290039	1152.239990	1152.239990
20200324	1218.619995	1279.000000	1200.579956	1259.469971	1259.469971
20200325	1259.469971	1449.479980	1246.949951	1365.849976	1365.849976
20200326	1380.329956	1429.479980	1353.520020	1406.000000	1406.000000
20200327	1344.869995	1355.459961	1253.609985	1255.150024	1255.150024
20200330	1261.270020	1321.890015	1216.979980	1308.229980	1308.229980
20200331	1303.010010	1390.390015	1296.010010	1345.319946	1345.319946
20200401	1293.810059	1328.339966	1248.180054	1271.630005	1271.630005
20200402	1270.969971	1334.989990	1241.219971	1260.000000	1260.000000
20200403	1244.180054	1279.160034	1203.079956	1230.680054	1230.680054
20200406	1303.280029	1363.349976	1292.810059	1356.680054	1356.680054
20200407	1412.010010	1495.000000	1366.790039	1376.369995	1376.369995
20200408	1382.650024	1428.719971	1360.010010	1372.060059	1372.060059
20200409	1424.760010	1450.000000	1403.000000	1420.640015	1420.640015
20200413	1413.189941	1428.010010	1368.390015	1421.010010	1421.010010
20200414	1460.089966	1469.959961	1424.000000	1449.420044	1449.420044
20200415	1407.839966	1440.000000	1390.670044	1424.609985	1424.609985
20200416	1432.349976	1432.349976	1391.020020	1407.400024	1407.400024
20200417	1469.000000	1484.660034	1450.189941	1470.869995	1470.869995
20200420	1462.050049	1470.000000	1410.000000	1411.630005	1411.630005
20200421	1382.810059	1387.739990	1317.400024	1342.219971	1342.219971
20200422	1365.010010	1375.010010	1342.089966	1367.099976	1367.099976
