Date	Open	High	Low	Close	Volume
20200203	150.679993	150.929993	148.940002	149.190002	148.026352
20200204	149.630005	151.860001	148.899994	150.449997	149.276520
20200205	150.270004	150.759995	149.309998	149.960007	148.790344
20200206	150.130005	151.210007	149.410004	150.500000	149.326126
20200207	151.059998	151.059998	150.429993	150.490005	149.316208
20200210	151.059998	153.000000	150.889999	152.919998	151.727249
20200211	154.339996	163.509995	153.369995	161.029999	159.774002
20200212	160.830002	163.440002	158.800003	163.210007	161.936996
20200213	163.059998	164.220001	162.330002	163.919998	162.641449
20200214	164.470001	166.399994	164.009995	165.970001	164.675461
20200218	166.050003	166.259995	164.880005	166.210007	164.913605
20200219	166.270004	166.850006	164.520004	165.600006	164.308365
20200220	165.869995	167.940002	165.410004	166.990005	165.687515
20200221	166.660004	168.750000	165.910004	168.059998	166.749161
20200224	165.350006	168.490005	163.500000	166.360001	165.062424
20200225	167.050003	167.919998	162.429993	163.020004	161.748474
20200226	163.740005	165.169998	162.330002	162.690002	161.421051
20200227	148.740005	156.250000	147.000000	148.399994	147.242508
20200228	145.130005	147.970001	140.710007	143.289993	142.172363
20200302	143.929993	156.520004	143.820007	156.240005	155.021362
20200303	156.830002	162.490005	155.669998	158.130005	156.896622
20200304	160.619995	164.220001	158.449997	163.559998	162.284256
20200305	160.809998	164.119995	160.100006	162.240005	160.974564
20200306	159.259995	161.589996	154.729996	160.820007	159.565643
20200309	152.979996	155.259995	148.820007	150.279999	149.107849
20200310	153.610001	159.429993	148.639999	159.350006	158.107101
20200311	155.080002	156.110001	151.289993	153.850006	152.650009
20200312	143.190002	150.350006	132.690002	142.509995	142.509995
20200313	149.630005	158.000000	143.169998	155.089996	155.089996
20200316	138.929993	147.360001	135.029999	135.820007	135.820007
20200317	138.699997	153.259995	138.210007	146.869995	146.869995
20200318	141.160004	148.679993	131.110001	138.309998	138.309998
20200319	137.910004	138.119995	127.250000	130.750000	130.750000
20200320	129.309998	136.500000	125.599998	128.059998	128.059998
20200323	126.800003	128.690002	115.650002	116.980003	116.980003
20200324	121.830002	124.400002	114.180000	123.709999	123.709999
20200325	122.970001	134.979996	121.669998	127.959999	127.959999
20200326	128.000000	143.740005	128.000000	142.470001	142.470001
20200327	139.419998	141.800003	135.169998	136.889999	136.889999
20200330	140.500000	148.660004	139.300003	148.059998	148.059998
20200331	145.949997	147.809998	141.789993	144.399994	144.399994
20200401	137.669998	140.229996	133.800003	137.589996	137.589996
20200402	137.500000	146.970001	136.059998	146.369995	146.369995
20200403	144.850006	147.529999	142.610001	145.619995	145.619995
20200406	148.389999	150.000000	144.740005	148.750000	148.750000
20200407	153.550003	154.479996	146.300003	146.539993	146.539993
20200408	148.000000	158.029999	146.789993	157.360001	157.360001
20200409	158.259995	164.770004	157.820007	164.139999	164.139999
20200413	163.190002	163.570007	156.320007	157.050003	157.050003
20200414	160.289993	165.899994	159.139999	165.779999	165.779999
20200415	166.020004	166.309998	161.479996	162.460007	162.460007
20200416	164.440002	165.029999	160.949997	161.800003	161.800003
20200417	165.229996	167.830002	163.770004	167.050003	167.050003
20200420	165.259995	166.520004	162.399994	162.419998	162.419998
20200421	160.169998	160.899994	158.149994	159.669998	159.669998
20200422	161.860001	165.190002	161.550003	163.169998	163.169998
20200423	162.740005	163.779999	159.729996	160.550003	160.550003
20200424	161.610001	162.250000	158.529999	161.610001	161.610001
20200427	163.000000	164.720001	161.970001	163.800003	163.800003
20200428	163.029999	166.000000	160.949997	161.259995	161.259995
20200429	163.410004	163.479996	155.059998	155.440002	155.440002
20200430	150.600006	159.899994	150.600006	159.429993	159.429993
20200501	156.979996	158.000000	155.080002	156.410004	156.410004
20200504	157.149994	157.800003	152.289993	157.729996	157.729996
20200505	157.589996	159.979996	157.389999	158.679993	158.679993
20200506	159.190002	159.940002	154.979996	154.990005	154.990005
20200507	156.320007	157.929993	154.440002	154.970001	154.970001
