Date	Open	High	Low	Close	Volume
20200203	218.000000	218.440002	214.160004	214.570007	213.726654
20200204	216.479996	218.440002	214.789993	215.539993	214.692825
20200205	216.220001	216.899994	211.389999	213.429993	212.591110
20200206	213.169998	214.570007	210.279999	212.630005	211.794281
20200207	212.750000	215.259995	212.660004	213.199997	212.362030
20200210	213.699997	215.000000	212.139999	213.369995	212.531357
20200211	213.589996	215.139999	211.300003	211.649994	210.818115
20200212	208.100006	210.000000	204.009995	207.639999	206.823883
20200213	207.699997	210.250000	206.869995	208.309998	207.491241
20200214	208.220001	213.240005	208.020004	213.130005	212.292313
20200218	210.149994	214.149994	210.149994	213.369995	212.531357
20200219	213.500000	214.320007	207.350006	207.500000	206.684433
20200220	207.979996	209.289993	204.690002	209.000000	208.178543
20200221	208.779999	210.639999	207.500000	208.830002	208.009201
20200224	207.279999	212.220001	206.250000	209.300003	208.477356
20200225	209.660004	211.220001	206.889999	208.320007	207.501221
20200226	212.960007	222.289993	211.660004	220.179993	219.314590
20200227	220.399994	225.360001	210.229996	210.389999	209.563065
20200228	206.160004	208.830002	195.929993	198.820007	198.038559
20200302	198.460007	210.330002	198.369995	209.399994	208.576965
20200303	209.389999	218.789993	208.710007	216.070007	215.220749
20200304	217.699997	224.559998	214.809998	223.630005	222.751038
20200305	219.000000	223.820007	216.660004	221.820007	220.948151
20200306	217.460007	220.490005	212.740005	216.259995	215.409988
20200309	203.440002	212.860001	202.309998	204.910004	204.910004
20200310	208.399994	212.479996	199.720001	207.009995	207.009995
20200311	201.399994	203.039993	192.360001	194.679993	194.679993
20200312	178.410004	187.850006	171.250000	172.309998	172.309998
20200313	180.270004	184.160004	164.759995	182.009995	182.009995
20200316	163.000000	168.460007	148.369995	148.539993	148.539993
20200317	153.770004	168.429993	149.899994	166.020004	166.020004
20200318	156.000000	159.100006	137.490005	142.970001	142.970001
20200319	145.460007	158.330002	131.800003	155.220001	155.220001
20200320	155.160004	163.869995	140.190002	158.410004	158.410004
20200323	157.820007	157.820007	136.720001	139.539993	139.539993
20200324	147.199997	153.259995	144.669998	152.259995	152.259995
20200325	152.000000	160.589996	146.350006	156.330002	156.330002
20200326	158.000000	176.979996	157.009995	174.839996	174.839996
20200327	167.000000	178.330002	164.160004	171.339996	171.339996
20200330	174.899994	176.899994	170.880005	173.990005	173.990005
20200331	172.139999	174.809998	166.860001	172.910004	172.910004
20200401	164.470001	167.619995	162.550003	166.199997	166.199997
20200402	166.529999	169.479996	162.809998	168.570007	168.570007
20200403	167.020004	174.880005	166.100006	173.740005	173.740005
20200406	179.770004	184.000000	178.380005	182.440002	182.440002
20200407	187.330002	189.479996	176.220001	176.809998	176.809998
20200408	179.869995	181.860001	176.179993	180.970001	180.970001
20200409	181.869995	191.039993	181.869995	190.160004	190.160004
20200413	187.580002	188.580002	181.220001	182.679993	182.679993
20200414	183.720001	189.149994	183.720001	188.070007	188.070007
20200415	183.940002	186.990005	183.440002	184.979996	184.979996
20200416	186.500000	188.240005	184.210007	187.339996	187.339996
20200417	189.470001	192.259995	188.000000	191.619995	191.619995
20200420	192.139999	192.270004	180.169998	184.619995	184.619995
20200421	179.500000	182.589996	170.929993	178.020004	178.020004
20200422	181.410004	182.000000	177.339996	179.399994	179.399994
