Date	Open	High	Low	Close	Volume
20200203	161.309998	164.470001	160.330002	162.889999	161.617661
20200204	167.000000	168.639999	160.839996	161.000000	159.742432
20200205	162.699997	166.589996	162.039993	166.429993	165.130005
20200206	168.639999	168.649994	164.880005	165.949997	164.653763
20200207	164.440002	164.919998	160.399994	160.800003	159.543991
20200210	160.250000	162.710007	160.110001	162.229996	160.962814
20200211	163.100006	165.220001	163.100006	164.300003	163.016647
20200212	165.539993	168.419998	164.919998	168.039993	166.727432
20200213	168.699997	170.110001	165.789993	166.100006	164.802597
20200214	166.169998	166.899994	164.880005	166.779999	165.477280
20200218	165.929993	167.100006	164.380005	166.059998	164.762894
20200219	166.059998	168.220001	166.059998	167.839996	166.528992
20200220	166.100006	169.710007	165.059998	167.119995	167.119995
20200221	165.960007	167.529999	163.559998	167.460007	167.460007
20200224	162.330002	163.809998	161.210007	162.779999	162.779999
20200225	163.720001	164.330002	160.289993	161.009995	161.009995
20200226	162.789993	163.899994	157.639999	157.970001	157.970001
20200227	155.220001	160.369995	151.929993	154.460007	154.460007
20200228	149.679993	152.000000	146.979996	151.289993	151.289993
20200302	151.559998	155.940002	149.009995	155.660004	155.660004
20200303	155.169998	159.309998	151.339996	152.149994	152.149994
20200304	154.500000	157.339996	153.500000	156.440002	156.440002
20200305	152.020004	153.630005	147.470001	148.660004	148.660004
20200306	144.679993	149.130005	144.199997	148.600006	148.600006
20200309	138.199997	141.320007	136.570007	139.270004	139.270004
20200310	144.179993	145.800003	137.990005	145.630005	145.630005
20200311	141.899994	145.080002	139.500000	141.070007	141.070007
20200312	132.539993	135.330002	127.070000	129.089996	129.089996
20200313	135.820007	137.919998	129.500000	136.839996	136.839996
20200316	124.910004	136.240005	122.949997	131.449997	131.449997
20200317	133.740005	137.809998	128.740005	136.800003	136.800003
20200318	127.449997	131.919998	117.790001	123.470001	123.470001
20200319	121.849998	122.489998	115.000000	118.550003	118.550003
20200320	120.910004	122.169998	115.160004	116.480003	116.480003
20200323	114.349998	114.980003	101.029999	102.760002	102.760002
20200324	110.959999	124.769997	108.940002	124.489998	124.489998
20200325	126.050003	132.130005	121.820000	127.769997	127.769997
20200326	131.509995	135.869995	125.589996	134.960007	134.960007
20200327	127.550003	135.440002	127.550003	131.660004	131.660004
20200330	132.000000	136.869995	131.199997	134.479996	134.479996
20200331	133.520004	138.410004	131.389999	135.320007	135.320007
20200401	129.770004	131.660004	127.300003	130.389999	130.389999
20200402	128.889999	134.229996	127.610001	132.759995	132.759995
20200403	132.070007	135.009995	129.460007	132.270004	132.270004
20200406	138.619995	144.740005	137.729996	142.119995	142.119995
20200407	147.910004	149.529999	144.000000	145.839996	145.839996
20200408	147.279999	150.589996	144.529999	149.559998	149.559998
20200409	152.520004	154.300003	148.830002	150.699997	150.699997
20200413	150.039993	150.690002	144.339996	146.449997	146.449997
20200414	149.399994	150.750000	145.369995	148.139999	148.139999
20200415	144.000000	145.550003	142.110001	145.460007	145.460007
20200416	146.000000	146.179993	143.070007	145.039993	145.039993
20200417	149.300003	150.679993	147.289993	149.179993	149.179993
20200420	147.910004	148.199997	145.699997	146.100006	146.100006
20200421	144.000000	144.050003	140.929993	142.380005	142.380005
20200422	145.449997	145.580002	143.449997	144.059998	144.059998
