Date	Open	High	Low	Close	Volume
20200203	63.310001	63.410000	62.279999	62.880001	62.880001
20200204	61.820000	64.000000	60.500000	61.970001	61.970001
20200205	63.169998	66.339996	63.119999	66.070000	66.070000
20200206	65.809998	65.989998	63.709999	64.349998	64.349998
20200207	64.430000	64.440002	62.900002	63.160000	63.160000
20200210	63.150002	63.270000	62.500000	63.000000	63.000000
20200211	63.139999	64.209999	63.040001	63.709999	63.709999
20200212	64.660004	67.070000	64.570000	66.489998	66.489998
20200213	65.790001	66.849998	65.720001	65.889999	65.889999
20200214	65.779999	65.879997	64.269997	64.940002	64.940002
20200218	65.029999	66.870003	64.779999	66.709999	66.709999
20200219	66.720001	67.449997	66.070000	67.370003	67.370003
20200220	66.699997	66.919998	65.139999	65.730003	65.730003
20200221	65.209999	65.919998	64.839996	65.489998	65.489998
20200224	62.369999	63.459999	58.750000	59.349998	59.349998
20200225	59.779999	59.900002	55.830002	55.950001	55.950001
20200226	55.840000	56.570000	53.540001	54.389999	54.389999
20200227	53.270000	55.220001	52.150002	52.619999	52.619999
20200228	50.660000	53.070000	50.459999	53.020000	53.020000
20200302	53.509998	55.599998	51.549999	55.439999	55.439999
20200303	55.500000	57.349998	53.240002	54.029999	54.029999
20200304	60.900002	63.389999	59.740002	62.459999	62.459999
20200305	60.389999	62.580002	58.619999	59.720001	59.720001
20200306	57.400002	58.830002	56.330002	58.560001	58.560001
20200309	53.939999	57.330002	53.000000	55.360001	55.360001
20200310	57.259998	60.700001	56.330002	60.369999	60.369999
20200311	58.119999	59.980000	57.150002	57.950001	57.950001
20200312	52.750000	60.669998	51.869999	57.130001	57.130001
20200313	59.500000	63.970001	56.980000	63.570000	63.570000
20200316	56.770000	58.430000	54.020000	54.029999	54.029999
20200317	55.130001	58.520000	52.750000	57.990002	57.990002
20200318	54.029999	55.660000	43.959999	52.680000	52.680000
20200319	51.959999	54.500000	48.029999	53.599998	53.599998
20200320	54.480000	57.349998	47.950001	48.849998	48.849998
20200323	47.970001	48.070000	44.810001	45.549999	45.549999
20200324	48.169998	50.250000	46.270000	48.730000	48.730000
20200325	48.500000	54.849998	46.709999	52.290001	52.290001
20200326	53.250000	58.610001	52.169998	58.299999	58.299999
20200327	55.630001	57.480000	53.900002	55.099998	55.099998
20200330	55.240002	58.959999	54.869999	57.709999	57.709999
20200331	57.709999	59.910000	56.230000	59.410000	59.410000
20200401	56.360001	57.639999	55.650002	56.119999	56.119999
20200402	55.520000	57.459999	54.020000	56.360001	56.360001
20200403	55.950001	56.750000	53.830002	54.599998	54.599998
20200406	56.990002	60.619999	56.369999	60.119999	60.119999
20200407	62.410000	63.220001	59.200001	60.150002	60.150002
20200408	60.630001	65.860001	59.700001	65.150002	65.150002
20200409	65.129997	68.629997	64.470001	66.419998	66.419998
20200413	65.919998	66.150002	63.820000	65.150002	65.150002
20200414	66.669998	67.500000	65.849998	66.400002	66.400002
20200415	66.349998	69.480003	65.959999	69.019997	69.019997
20200416	69.500000	73.209999	68.959999	72.849998	72.849998
20200417	74.489998	74.699997	70.500000	71.290001	71.290001
20200420	70.360001	70.739998	68.160004	68.419998	68.419998
20200421	67.089996	68.089996	65.779999	66.239998	66.239998
20200422	67.949997	69.290001	67.629997	68.349998	68.349998
20200423	69.029999	70.260002	68.430000	69.239998	69.239998
20200424	69.949997	70.750000	68.940002	70.580002	70.580002
20200427	71.379997	72.449997	69.910004	70.820000	70.820000
20200428	69.790001	70.029999	65.150002	67.169998	67.169998
20200429	68.510002	68.589996	66.029999	66.169998	66.169998
20200430	65.500000	67.849998	65.010002	66.580002	66.580002
20200501	65.349998	66.570000	63.790001	64.970001	64.970001
20200504	64.919998	65.919998	63.860001	65.860001	65.860001
20200505	66.440002	68.680000	65.500000	68.349998	68.349998
20200506	68.309998	68.370003	65.379997	65.500000	65.500000
20200507	66.500000	66.779999	65.260002	65.839996	65.839996
