Date	Open	High	Low	Close	Volume
20200203	26.530001	26.760000	26.330000	26.340000	26.057926
20200204	26.309999	26.740000	26.230000	26.520000	26.235998
20200205	26.530001	26.940001	26.420000	26.750000	26.463535
20200206	26.750000	26.940001	26.570000	26.860001	26.572357
20200207	26.910000	26.910000	26.660000	26.719999	26.433855
20200210	26.719999	27.400000	26.570000	26.860001	26.572357
20200211	26.950001	27.150000	26.910000	27.030001	26.740538
20200212	27.030001	27.190001	26.940001	27.120001	26.829573
20200213	27.010000	27.250000	27.000000	27.180000	26.888929
20200214	27.299999	27.530001	27.110001	27.180000	26.888929
20200218	27.180000	27.370001	26.959999	27.080000	26.790001
20200219	26.740000	26.860001	26.240000	26.430000	26.430000
20200220	26.330000	26.389999	25.530001	25.719999	25.719999
20200221	25.620001	25.780001	25.230000	25.270000	25.270000
20200224	25.070000	25.299999	24.740000	25.219999	25.219999
20200225	25.230000	25.450001	24.450001	24.490000	24.490000
20200226	24.500000	24.750000	24.040001	24.080000	24.080000
20200227	24.110001	25.330000	23.600000	24.160000	24.160000
20200228	23.740000	23.790001	22.480000	23.020000	23.020000
20200302	23.080000	23.750000	22.790001	23.750000	23.750000
20200303	23.639999	24.180000	22.799999	23.100000	23.100000
20200304	23.270000	23.950001	22.959999	23.820000	23.820000
20200305	23.430000	23.469999	22.490000	22.670000	22.670000
20200306	22.000000	22.110001	20.930000	21.549999	21.549999
20200309	20.639999	21.549999	17.160000	18.030001	18.030001
20200310	18.629999	18.809999	17.420000	18.709999	18.709999
20200311	18.120001	18.250000	16.969999	17.660000	17.660000
20200312	16.340000	16.400000	14.630000	14.870000	14.870000
20200313	15.570000	15.740000	14.000000	15.550000	15.550000
20200316	14.210000	14.450000	12.350000	12.480000	12.480000
20200317	12.750000	14.660000	12.210000	14.650000	14.650000
20200318	13.660000	13.860000	11.670000	12.470000	12.470000
20200319	12.350000	12.740000	11.580000	12.230000	12.230000
20200320	12.490000	13.730000	11.680000	12.480000	12.480000
20200323	12.370000	12.860000	11.930000	12.100000	12.100000
20200324	13.100000	13.870000	12.900000	13.630000	13.630000
20200325	13.980000	15.750000	13.070000	15.130000	15.130000
20200326	15.170000	16.230000	15.020000	15.890000	15.890000
20200327	15.220000	17.020000	15.080000	16.299999	16.299999
20200330	16.400000	16.549999	15.520000	16.230000	16.230000
20200331	16.070000	16.219999	15.340000	15.450000	15.450000
20200401	14.450000	14.580000	13.650000	14.120000	14.120000
20200402	13.810000	14.700000	13.580000	14.130000	14.130000
20200403	13.980000	14.170000	13.060000	13.440000	13.440000
20200406	14.020000	15.470000	13.850000	15.300000	15.300000
20200407	16.459999	16.650000	15.390000	15.470000	15.470000
20200408	15.700000	16.900000	15.430000	16.820000	16.820000
20200409	17.200001	18.240000	17.200001	17.809999	17.809999
20200413	17.879999	17.920000	16.750000	16.889999	16.889999
20200414	17.250000	17.450001	16.799999	17.000000	17.000000
20200415	16.240000	16.400000	15.730000	15.870000	15.870000
20200416	15.900000	16.129999	15.460000	15.790000	15.790000
20200417	16.330000	16.900000	16.250000	16.530001	16.530001
20200420	15.950000	16.350000	15.620000	15.750000	15.750000
20200421	15.290000	15.800000	15.180000	15.510000	15.510000
20200422	15.890000	16.400000	15.310000	16.190001	16.190001
20200423	16.250000	16.700001	16.209999	16.420000	16.420000
20200424	16.520000	16.780001	16.160000	16.680000	16.680000
20200427	16.780001	17.400000	16.709999	17.320000	17.320000
20200428	17.780001	18.129999	17.270000	17.410000	17.410000
20200429	18.030001	18.180000	17.580000	17.690001	17.690001
20200430	17.510000	17.540001	16.770000	17.030001	17.030001
20200501	16.680000	16.730000	16.170000	16.459999	16.459999
20200504	16.270000	16.389999	15.750000	16.360001	16.360001
20200505	16.600000	16.799999	16.330000	16.389999	16.389999
20200506	16.500000	16.559999	15.930000	15.980000	15.980000
20200507	17.580000	19.110001	17.660000	17.985001	17.985001
