Date	Open	High	Low	Close	Volume
20200203	59.410000	60.340000	58.860001	59.180000	58.764076
20200204	58.930000	59.820000	56.430000	56.490002	56.092983
20200205	57.279999	58.950001	56.820000	58.779999	58.366886
20200206	59.070000	59.070000	57.930000	58.410000	57.999489
20200207	57.810001	58.369999	57.560001	57.990002	57.582443
20200210	57.459999	58.139999	57.209999	57.869999	57.463284
20200211	58.849998	59.009998	58.209999	58.709999	58.297379
20200212	59.900002	61.150002	59.540001	59.759998	59.340000
20200213	59.090000	59.450001	58.599998	58.820000	58.820000
20200214	58.869999	59.099998	58.180000	58.619999	58.619999
20200218	58.410000	58.570000	57.709999	58.299999	58.299999
20200219	58.750000	59.360001	58.680000	59.259998	59.259998
20200220	59.250000	59.549999	58.580002	58.880001	58.880001
20200221	58.320000	58.610001	57.770000	58.439999	58.439999
20200224	56.150002	56.939999	55.990002	56.380001	56.380001
20200225	56.520000	56.689999	53.540001	53.830002	53.830002
20200226	54.020000	54.250000	51.110001	51.169998	51.169998
20200227	49.599998	49.610001	47.130001	47.130001	47.130001
20200228	45.419998	48.439999	45.119999	48.419998	48.419998
20200302	49.320000	49.380001	46.880001	49.230000	49.230000
20200303	49.529999	51.490002	47.450001	48.119999	48.119999
20200304	48.750000	49.549999	47.740002	49.430000	49.430000
20200305	47.980000	48.639999	46.779999	47.700001	47.700001
20200306	45.980000	46.490002	44.680000	45.330002	45.330002
20200309	33.950001	36.200001	32.000000	34.070000	34.070000
20200310	36.639999	37.419998	33.000000	34.880001	34.880001
20200311	33.590000	33.950001	31.510000	32.560001	32.560001
20200312	30.340000	31.410000	27.820000	28.200001	28.200001
20200313	30.600000	31.740000	27.590000	31.379999	31.379999
20200316	27.490000	31.150000	25.910000	26.080000	26.080000
20200317	26.360001	26.850000	24.389999	26.250000	26.250000
20200318	24.250000	25.600000	20.840000	22.670000	22.670000
20200319	23.129999	25.990000	21.000000	25.590000	25.590000
20200320	27.059999	28.389999	25.889999	26.840000	26.840000
20200323	26.750000	26.969999	23.350000	24.549999	24.549999
20200324	26.450001	30.870001	26.450001	30.740000	30.740000
20200325	31.230000	32.560001	29.490000	30.940001	30.940001
20200326	31.120001	32.459999	30.400000	32.090000	32.090000
20200327	30.120001	30.270000	28.799999	29.250000	29.250000
20200330	28.510000	30.139999	27.520000	29.290001	29.290001
20200331	30.030001	31.920000	29.709999	30.799999	30.799999
20200401	29.320000	30.530001	28.830000	29.620001	29.620001
20200402	31.250000	35.419998	30.709999	33.860001	33.860001
20200403	34.610001	34.980000	31.610001	32.910000	32.910000
20200406	33.480000	33.799999	31.790001	32.799999	32.799999
20200407	34.880001	35.939999	33.020000	33.270000	33.270000
20200408	34.049999	35.889999	33.869999	35.680000	35.680000
20200409	37.930000	37.980000	33.290001	34.730000	34.730000
20200413	35.939999	35.980000	33.770000	34.299999	34.299999
20200414	34.369999	34.470001	33.669998	34.080002	34.080002
20200415	32.169998	33.000000	30.730000	32.200001	32.200001
20200416	31.840000	32.230000	30.520000	31.070000	31.070000
20200417	31.980000	35.369999	31.850000	35.259998	35.259998
20200420	32.470001	35.669998	32.400002	34.570000	34.570000
20200421	32.950001	34.130001	32.610001	33.189999	33.189999
20200422	35.200001	35.529999	34.540001	34.980000	34.980000
20200423	36.610001	37.200001	35.369999	36.180000	36.180000
20200424	36.970001	37.299999	35.779999	36.090000	36.090000
20200427	35.869999	37.410000	34.680000	37.150002	37.150002
20200428	37.889999	38.990002	37.560001	38.480000	38.480000
20200429	40.070000	42.549999	39.639999	42.209999	42.209999
20200430	42.580002	43.580002	40.840000	42.099998	42.099998
20200501	40.540001	41.299999	38.709999	39.139999	39.139999
20200504	38.619999	40.400002	38.150002	40.360001	40.360001
20200505	43.099998	43.570000	40.660000	40.919998	40.919998
20200506	41.090000	41.830002	39.820000	40.490002	40.490002
20200507	42.000000	43.349998	41.820000	42.634998	42.634998
