Date	Open	High	Low	Close	Volume
20200203	307.000000	308.579987	301.670013	302.000000	300.677673
20200204	304.570007	305.910004	302.760010	304.899994	303.564972
20200205	307.000000	309.589996	305.399994	308.950012	307.597260
20200206	309.350006	311.839996	307.850006	310.609985	309.901947
20200207	310.000000	313.809998	309.119995	313.630005	312.915100
20200210	313.760010	316.940002	312.600006	313.790009	313.074738
20200211	314.029999	314.429993	310.470001	310.679993	309.971802
20200212	310.769989	315.480011	310.769989	315.119995	314.401703
20200213	314.850006	318.790009	313.540009	318.200012	317.474701
20200214	318.869995	319.809998	316.950012	318.309998	317.584412
20200218	319.000000	323.480011	318.609985	322.049988	321.315887
20200219	322.079987	324.529999	321.730011	323.019989	322.283691
20200220	322.320007	325.070007	321.010010	324.079987	323.341248
20200221	322.559998	325.260010	321.029999	321.950012	321.216125
20200224	315.500000	320.000000	313.260010	313.619995	312.905121
20200225	315.000000	316.570007	304.399994	304.869995	304.175049
20200226	307.549988	311.299988	304.679993	305.690002	304.993195
20200227	301.980011	305.000000	293.000000	293.130005	292.461823
20200228	285.250000	287.329987	271.279999	281.140015	280.499176
20200302	294.440002	309.510010	291.380005	309.140015	308.435333
20200303	309.140015	314.170013	301.029999	302.730011	302.039948
20200304	308.290009	320.970001	305.019989	320.739990	320.008881
20200305	315.769989	324.510010	313.200012	315.760010	315.040253
20200306	312.140015	317.489990	302.750000	311.339996	310.630310
20200309	295.850006	310.329987	293.000000	301.980011	301.291656
20200310	307.970001	309.730011	294.420013	309.399994	308.694733
20200311	300.859985	307.790009	294.190002	297.429993	296.752014
20200312	280.440002	295.630005	276.339996	279.850006	279.212097
20200313	288.829987	303.250000	278.269989	302.269989	301.580963
20200316	281.829987	299.529999	279.510010	283.179993	282.534485
20200317	289.000000	307.190002	286.299988	306.989990	306.290222
20200318	298.000000	318.000000	296.000000	307.500000	306.799072
20200319	310.410004	313.850006	302.630005	305.220001	304.524261
20200320	307.920013	308.010010	287.019989	290.420013	289.758026
20200323	292.010010	295.670013	278.420013	285.529999	284.879150
20200324	294.589996	297.350006	282.829987	284.940002	284.290497
20200325	284.209991	290.720001	279.209991	280.859985	280.219788
20200326	281.339996	293.730011	280.859985	292.299988	291.633698
20200327	287.130005	293.489990	283.329987	284.329987	283.681854
20200330	287.489990	291.679993	285.839996	291.119995	290.456390
20200331	287.420013	291.519989	284.000000	285.130005	284.480072
20200401	282.359985	288.799988	280.899994	286.779999	286.126282
20200402	284.380005	292.779999	282.820007	291.480011	290.815582
20200403	289.160004	292.339996	285.799988	288.649994	287.992035
20200406	293.000000	305.489990	289.570007	305.119995	304.424500
20200407	306.500000	310.000000	303.220001	303.630005	302.937897
20200408	305.109985	307.420013	302.279999	305.970001	305.272552
20200409	299.450012	304.350006	297.579987	300.010010	299.326141
20200413	298.579987	303.950012	297.660004	299.619995	298.937012
20200414	302.750000	314.750000	301.250000	314.140015	313.423950
20200415	311.640015	313.750000	306.820007	310.269989	309.562744
20200416	314.730011	322.630005	312.040009	321.559998	320.827026
20200417	321.309998	322.130005	314.019989	317.920013	317.195313
20200420	317.950012	318.380005	311.529999	312.079987	311.368622
20200421	311.140015	311.890015	299.350006	301.329987	300.643127
20200422	304.000000	311.130005	302.040009	309.420013	308.714691
20200423	307.029999	309.640015	304.790009	305.399994	304.703857
20200424	307.329987	310.829987	305.510010	310.549988	309.842102
20200427	313.049988	313.290009	307.589996	308.779999	308.076141
20200428	310.829987	311.269989	304.279999	304.950012	304.254883
20200429	304.950012	308.679993	301.119995	307.089996	306.389984
20200430	306.149994	307.899994	302.570007	303.000000	303.000000
20200501	301.779999	304.820007	300.179993	301.920013	301.920013
20200504	303.000000	305.529999	300.070007	304.489990	304.489990
20200505	305.059998	309.799988	303.440002	307.920013	307.920013
20200506	309.920013	311.040009	306.540009	308.890015	308.890015
20200507	309.339996	309.829987	305.464996	308.529999	308.529999
