Date	Open	High	Low	Close	Volume
20200203	102.199997	103.309998	100.610001	100.800003	100.800003
20200204	101.870003	103.169998	101.339996	102.650002	102.650002
20200205	103.919998	104.099998	101.959999	102.160004	102.160004
20200206	102.220001	103.010002	101.559998	102.949997	102.949997
20200207	103.160004	103.650002	102.190002	102.580002	102.580002
20200210	102.559998	103.860001	102.339996	102.529999	102.529999
20200211	103.110001	103.250000	101.910004	102.309998	102.309998
20200212	102.430000	103.139999	100.809998	102.489998	102.489998
20200213	102.379997	103.970001	102.300003	103.349998	103.349998
20200214	103.160004	103.790001	102.680000	103.250000	103.250000
20200218	103.000000	104.360001	102.300003	102.419998	102.419998
20200219	102.860001	104.879997	102.620003	104.500000	104.500000
20200220	97.000000	100.480003	90.690002	97.300003	97.300003
20200221	97.050003	98.400002	94.709999	95.250000	95.250000
20200224	92.800003	94.589996	91.760002	92.769997	92.769997
20200225	92.949997	93.389999	88.000000	88.940002	88.940002
20200226	89.830002	92.120003	87.970001	88.360001	88.360001
20200227	86.820000	88.199997	84.529999	84.589996	84.589996
20200228	81.379997	84.620003	79.919998	84.480003	84.480003
20200302	84.120003	86.889999	82.129997	86.690002	86.690002
20200303	85.750000	88.139999	83.430000	83.760002	83.760002
20200304	84.889999	87.040001	83.629997	86.989998	86.989998
20200305	84.709999	85.529999	82.459999	83.519997	83.519997
20200306	79.889999	82.070000	78.599998	80.190002	80.190002
20200309	74.139999	77.680000	73.540001	75.910004	75.910004
20200310	77.540001	79.040001	74.629997	79.040001	79.040001
20200311	76.830002	77.800003	74.070000	75.730003	75.730003
20200312	71.059998	73.910004	68.760002	68.849998	68.849998
20200313	72.209999	73.940002	68.489998	73.839996	73.839996
20200316	66.000000	70.760002	62.770000	66.570000	66.570000
20200317	67.589996	70.230003	64.320000	69.529999	69.529999
20200318	65.250000	67.379997	59.740002	67.190002	67.190002
20200319	66.529999	72.169998	63.360001	69.989998	69.989998
20200320	71.489998	73.470001	59.750000	60.150002	60.150002
20200323	60.000000	60.130001	55.689999	58.779999	58.779999
20200324	61.799999	69.430000	61.630001	68.980003	68.980003
20200325	68.370003	74.930000	66.730003	71.589996	71.589996
20200326	72.500000	75.550003	68.839996	72.559998	72.559998
20200327	70.120003	71.949997	69.900002	70.300003	70.300003
20200330	70.120003	72.400002	69.620003	71.839996	71.839996
20200331	70.709999	71.370003	68.000000	68.519997	68.519997
20200401	64.910004	66.540001	63.200001	64.790001	64.790001
20200402	63.619999	66.250000	63.000000	64.410004	64.410004
20200403	64.120003	64.120003	61.509998	61.799999	61.799999
20200406	65.080002	65.760002	63.470001	65.389999	65.389999
20200407	67.839996	72.250000	66.709999	69.900002	69.900002
20200408	69.400002	72.779999	68.900002	71.980003	71.980003
20200409	73.930000	77.110001	73.459999	74.989998	74.989998
20200413	74.580002	74.870003	70.570000	70.669998	70.669998
20200414	72.000000	72.529999	70.739998	71.139999	71.139999
20200415	69.709999	71.160004	68.430000	70.089996	70.089996
20200416	70.180000	70.690002	68.349998	69.150002	69.150002
20200417	71.220001	73.059998	71.169998	72.099998	72.099998
20200420	70.480003	70.980003	68.029999	68.629997	68.629997
20200421	67.000000	67.589996	65.680000	66.150002	66.150002
20200422	67.410004	68.570000	66.430000	68.080002	68.080002
20200423	69.050003	69.599998	68.129997	68.839996	68.839996
20200424	69.769997	74.239998	68.800003	73.830002	73.830002
20200427	74.620003	76.330002	73.550003	76.070000	76.070000
20200428	77.470001	81.089996	77.430000	80.650002	80.650002
20200429	83.849998	83.849998	81.809998	83.010002	83.010002
20200430	81.910004	82.669998	79.639999	80.110001	80.110001
20200501	78.570000	80.000000	77.940002	78.550003	78.550003
20200504	77.550003	78.120003	76.279999	78.000000	78.000000
20200505	78.709999	80.639999	78.330002	79.620003	79.620003
20200506	79.550003	81.459999	79.379997	80.129997	80.129997
20200507	81.529999	82.260002	81.029999	82.250000	82.250000
