Date	Open	High	Low	Close	Volume
20200203	29.059999	30.260000	28.820000	30.120001	29.976046
20200204	30.610001	31.110001	30.045000	30.950001	30.802078
20200205	30.320000	31.709999	29.690001	31.709999	31.558445
20200206	32.000000	32.070000	31.299999	31.590000	31.439018
20200207	31.410000	31.430000	30.795000	31.040001	30.891649
20200210	30.740000	31.014999	30.465000	30.600000	30.453751
20200211	30.660000	31.350000	30.410000	30.510000	30.364182
20200212	30.740000	31.090000	30.650000	30.940001	30.792126
20200213	30.680000	31.040001	30.455000	30.600000	30.453751
20200214	30.660000	30.930000	30.580000	30.709999	30.563223
20200218	30.680000	31.480000	30.610001	31.400000	31.249926
20200219	31.400000	31.799999	31.219999	31.520000	31.369354
20200220	31.370001	32.080002	31.320000	31.570000	31.419113
20200221	31.350000	31.670000	31.180000	31.219999	31.070787
20200224	30.469999	30.889999	30.270000	30.660000	30.513464
20200225	30.620001	30.820000	28.230000	28.379999	28.244360
20200226	28.410000	29.333000	28.320000	28.500000	28.363787
20200227	28.120001	28.670000	27.240000	27.290001	27.159571
20200228	26.530001	27.200001	25.860001	27.200001	27.070002
20200302	27.270000	28.260000	26.862000	28.240000	28.240000
20200303	28.480000	29.260000	27.490000	27.920000	27.920000
20200304	28.190001	28.920000	27.809999	28.900000	28.900000
20200305	28.000000	28.424999	27.160000	27.309999	27.309999
20200306	26.520000	26.580000	24.920000	25.299999	25.299999
20200309	23.280001	24.320000	22.870001	23.070000	23.070000
20200310	24.400000	25.990000	23.879999	25.910000	25.910000
20200311	25.010000	25.660000	24.450001	25.000000	25.000000
20200312	22.870001	24.950001	22.260000	22.340000	22.340000
20200313	23.830000	25.000000	21.549999	24.820000	24.820000
20200316	21.510000	23.340000	20.565001	20.740000	20.740000
20200317	21.230000	24.139999	20.719999	22.670000	22.670000
20200318	21.080000	23.400000	20.379999	21.570000	21.570000
20200319	21.180000	24.799999	20.540001	23.260000	23.260000
20200320	23.200001	23.240000	21.110001	22.530001	22.530001
20200323	22.219999	23.528999	21.420000	21.920000	21.920000
20200324	23.010000	23.969999	21.500000	22.330000	22.330000
20200325	22.750000	25.139999	22.139999	23.400000	23.400000
20200326	23.110001	24.850000	22.885000	24.139999	24.139999
20200327	23.110001	24.809999	22.665001	23.209999	23.209999
20200330	23.280001	24.320000	22.910000	24.090000	24.090000
20200331	24.230000	24.570000	23.350000	23.500000	23.500000
20200401	23.250000	23.600000	22.350000	22.510000	22.510000
20200402	22.850000	23.430000	21.816999	22.240000	22.240000
20200403	22.209999	23.049999	22.120001	22.620001	22.620001
20200406	23.500000	24.572001	23.219999	24.260000	24.260000
20200407	25.000000	25.930000	24.350000	24.530001	24.530001
20200408	24.549999	26.170000	24.410000	26.049999	26.049999
20200409	26.200001	28.070000	26.200001	27.930000	27.930000
20200413	27.320000	27.490000	25.900000	26.559999	26.559999
20200414	27.590000	27.844999	26.040001	26.440001	26.440001
20200415	26.070000	26.150000	24.615000	25.510000	25.510000
20200416	25.379999	25.743999	24.580000	25.160000	25.160000
20200417	25.940001	26.315001	24.920000	25.510000	25.510000
20200420	25.860001	25.860001	24.570000	24.629999	24.629999
20200421	24.010000	24.950001	23.860001	24.270000	24.270000
20200422	24.750000	24.950001	24.325001	24.459999	24.459999
