Date	Open	High	Low	Close	Volume
20200203	75.870003	76.349998	74.790001	75.620003	75.138237
20200204	76.389999	77.150002	75.889999	76.180000	75.694672
20200205	78.389999	82.190002	78.199997	81.769997	81.249054
20200206	82.349998	82.349998	80.459999	80.459999	79.947403
20200207	79.519997	79.750000	78.290001	79.089996	78.586128
20200210	78.169998	78.279999	76.750000	77.290001	76.797600
20200211	78.820000	79.239998	77.570000	78.169998	77.671982
20200212	80.250000	81.019997	78.650002	79.139999	78.635811
20200213	78.220001	79.540001	77.550003	78.639999	78.138992
20200214	78.849998	79.230003	76.800003	77.930000	77.433517
20200218	77.070000	77.480003	76.139999	76.639999	76.151733
20200219	79.379997	82.900002	78.089996	82.449997	81.924721
20200220	81.940002	82.500000	80.370003	81.339996	80.821793
20200221	80.529999	80.529999	78.080002	79.379997	78.874275
20200224	75.580002	75.889999	73.339996	74.589996	74.114799
20200225	75.160004	75.540001	70.430000	71.139999	70.686775
20200226	71.629997	72.550003	68.250000	68.559998	68.123207
20200227	65.430000	68.440002	63.529999	64.489998	64.266617
20200228	61.430000	68.139999	61.419998	68.019997	67.784386
20200302	69.019997	70.459999	66.370003	69.059998	68.820786
20200303	69.180000	69.800003	66.279999	67.589996	67.355881
20200304	69.180000	69.180000	66.470001	68.690002	68.452072
20200305	66.699997	67.849998	63.910000	64.980003	64.754929
20200306	61.959999	62.790001	57.000000	58.000000	57.799099
20200309	36.000000	50.439999	34.200001	47.790001	47.624466
20200310	51.189999	51.810001	45.580002	50.299999	50.125771
20200311	47.799999	50.099998	44.540001	46.320000	46.159557
20200312	42.200001	42.200001	37.520000	39.529999	39.393074
20200313	43.770000	46.930000	38.840000	46.869999	46.707649
20200316	37.490002	46.000000	36.349998	40.090000	39.951138
20200317	40.520000	40.520000	35.709999	37.990002	37.858410
20200318	33.970001	36.750000	33.130001	36.000000	35.875301
20200319	36.000000	42.240002	35.669998	40.250000	40.110580
20200320	41.549999	44.139999	39.549999	40.560001	40.419510
20200323	40.500000	41.259998	36.939999	38.029999	37.898270
20200324	41.459999	44.750000	37.970001	44.250000	44.096725
20200325	44.570000	46.290001	41.480000	43.759998	43.608421
20200326	43.740002	46.570000	42.810001	44.799999	44.644821
20200327	42.840000	43.919998	41.349998	42.110001	41.964138
20200330	40.560001	42.250000	38.950001	41.080002	40.937710
20200331	42.759998	45.220001	42.070000	42.849998	42.701576
20200401	41.439999	42.419998	40.380001	41.639999	41.495766
20200402	43.810001	51.029999	43.299999	46.680000	46.518311
20200403	48.869999	49.299999	45.660000	47.779999	47.614498
20200406	48.860001	48.860001	45.110001	48.040001	47.873600
20200407	50.369999	52.580002	48.590000	48.830002	48.660866
20200408	50.220001	53.000000	49.200001	52.130001	51.949432
20200409	54.570000	55.419998	49.220001	52.740002	52.557320
20200413	54.480000	54.740002	50.680000	52.049999	51.869709
20200414	52.349998	52.349998	50.279999	51.169998	50.992756
20200415	47.990002	49.680000	46.279999	49.169998	48.999683
20200416	48.730000	49.070000	44.770000	46.000000	45.840664
20200417	47.070000	52.119999	46.630001	51.939999	51.760090
20200420	48.639999	53.310001	48.639999	50.570000	50.394836
20200421	48.279999	51.130001	47.570000	49.610001	49.438160
20200422	52.459999	54.299999	52.279999	53.130001	52.945969
20200423	55.970001	56.340000	53.810001	53.980000	53.793022
20200424	54.669998	55.000000	52.220001	53.090000	52.906105
20200427	52.110001	54.529999	50.369999	53.849998	53.663471
20200428	55.320000	55.630001	53.360001	54.040001	53.852818
20200429	56.439999	59.520000	55.330002	59.290001	59.084633
20200430	59.299999	59.770000	56.000000	56.720001	56.523533
20200501	59.830002	60.990002	54.730000	56.730000	56.533497
20200504	55.590000	57.740002	54.799999	57.720001	57.520069
20200505	61.270000	63.189999	57.770000	58.119999	57.918682
20200506	58.750000	59.700001	57.639999	57.740002	57.540001
20200507	59.490002	60.615002	57.400002	58.070000	58.070000
